document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
doc/dev-guide/source/request_format/index.rst,Request Format,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/dev-guide/source/request_format/request_example.rst,Request Example,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/audit_using_cts/viewing_traces.rst,Viewing Traces,/home/ubuntu/repotesting/elastic-cloud-server/umn/source/_static/images/en-us_image_0000001744598325.png,figure,33,screenshot,True,False,True,"Contains interactive buttons ('Reset', 'Export') that are not magenta.",3,3,3,3,3,1.00,fail,,200,completed,2,Image shows the filter UI described in the RST. | Hard fail triggered due to non-magenta interactive buttons.,
umn/source/eips/binding_an_eip.rst,Binding an EIP,/home/ubuntu/repotesting/elastic-cloud-server/umn/source/_static/images/en-us_image_0000002493552933.png,figure,29,screenshot,True,False,True,Visible interactive button 'Bind EIP' is not magenta.,3,3,3,3,3,1.00,fail,,200,completed,1,Image shows the EIPs tab and the 'Bind EIP' button as described in step 5.,
umn/source/eips/unbinding_an_eip.rst,Unbinding an EIP,/home/ubuntu/repotesting/elastic-cloud-server/umn/source/_static/images/en-us_image_0000002351518800.png,figure,33,screenshot,True,False,True,"The 'Unbind' button is blue, not magenta.",3,3,3,3,3,1.00,fail,,200,completed,1,"The screenshot shows the EIPs tab and the Unbind button, directly illustrating step 5 of the procedure.",
umn/source/elastic_network_interfaces/enabling_nic_multi-queue.rst,Enabling NIC Multi-Queue,/home/ubuntu/repotesting/elastic-cloud-server/umn/source/_static/images/en-us_image_0193026956.png,figure,163,screenshot,True,False,True,"Interactive buttons (Send, Save) are blue, not magenta.",3,3,3,3,3,1.00,fail,,200,completed,1,The image shows an API client interface with a PATCH request body that exactly matches the RST example for enabling NIC multi-queue via API.,
umn/source/faqs/disk_partition_attachment_and_expansion/how_can_i_enable_virtual_memory_on_a_windows_ecs.rst,How Can I Enable Virtual Memory on a Windows ECS?,/home/ubuntu/repotesting/elastic-cloud-server/umn/source/_static/images/en-us_image_0120795956.png,figure,27,screenshot,True,False,True,Visible interactive buttons are not magenta.,3,3,3,3,3,1.00,fail,,200,completed,1,Image shows the Performance Options dialog as described in step 3. | UI elements match the RST description.,
umn/source/faqs/disk_partition_attachment_and_expansion/how_can_i_enable_virtual_memory_on_a_windows_ecs.rst,How Can I Enable Virtual Memory on a Windows ECS?,/home/ubuntu/repotesting/elastic-cloud-server/umn/source/_static/images/en-us_image_0120795935.png,figure,51,screenshot,True,False,True,Visible interactive buttons are not magenta.,3,3,3,3,3,1.00,fail,,200,completed,1,Image shows the Virtual Memory dialog as described in step 6. | Values for Initial size (16) and Maximum size (4096) match the RST.,
umn/source/faqs/disk_partition_attachment_and_expansion/why_cant_i_find_my_newly_purchased_data_disk_after_i_log_in_to_my_windows_ecs.rst,Why Can't I Find My Newly Purchased Data Disk After I Log In to My Windows ECS?,/home/ubuntu/repotesting/elastic-cloud-server/umn/source/_static/images/en-us_image_0251063932.png,figure,44,screenshot,True,False,True,"The interactive control 'Online' is blue, not magenta.",3,3,3,3,3,1.00,fail,,200,completed,1,"The image displays the Windows Disk Management interface. | It shows a context menu for 'Disk 1' which is marked as 'Offline'. | The 'Online' option is highlighted, illustrating the step to bring the disk online. | This matches the RST instruction to right-click the disk and choose 'Online'.",
umn/source/faqs/ecs_failure/why_does_the_system_display_a_question_mark_when_i_attempt_to_obtain_console_logs.rst,Why Does the System Display a Question Mark When I Attempt to Obtain Console Logs?,/home/ubuntu/repotesting/elastic-cloud-server/umn/source/_static/images/en-us_image_0088242234.jpg,figure,14,screenshot,True,False,True,Interactive buttons 'Query' and 'Download' are not magenta.,3,3,3,3,3,1.00,fail,,200,completed,1,"The image displays the ECS console interface with the 'Console Logs' tab active. | A question mark is clearly visible in the console output, matching the symptom described in the document. | The 'Query' and 'Download' buttons are visible but are gray, not magenta, which triggers the hard fail rule.",
umn/source/faqs/ecs_lag_windows/why_is_my_windows_ecs_running_slowly.rst,Why Is My Windows ECS Running Slowly?,/home/ubuntu/repotesting/elastic-cloud-server/umn/source/_static/images/en-us_image_0281773972.png,figure,41,screenshot,True,False,True,"Screenshot contains interactive UI tabs (CPU, Network) that are not magenta.",3,3,3,3,3,1.00,fail,,200,completed,1,"Image displays the Resource Monitor window with the CPU and Network tabs highlighted, aligning with the RST step to check CPU or bandwidth usage.",
umn/source/faqs/ecs_lag_windows/why_is_my_windows_ecs_running_slowly.rst,Why Is My Windows ECS Running Slowly?,/home/ubuntu/repotesting/elastic-cloud-server/umn/source/_static/images/en-us_image_0000001695612925.png,figure,63,screenshot,True,False,True,Screenshot contains interactive UI context menu items that are not magenta.,3,3,3,3,3,1.00,fail,,200,completed,1,"Image shows the Windows Task Manager with a right-click context menu open on a process, highlighting 'Open File Location', which matches the RST troubleshooting step.",
umn/source/faqs/ecs_lag_windows/why_is_my_windows_ecs_running_slowly.rst,Why Is My Windows ECS Running Slowly?,/home/ubuntu/repotesting/elastic-cloud-server/umn/source/_static/images/en-us_image_0000001762549449.png,figure,87,screenshot,True,False,True,"Screenshot contains interactive UI buttons (OK, Cancel, Apply) that are not magenta.",3,3,3,3,3,1.00,fail,,200,completed,1,"Image shows the driver Properties window with the 'Digital Signatures' tab selected, matching the RST step to verify the driver source.",
umn/source/faqs/file_upload_data_transfer/how_can_i_transfer_files_from_a_local_mac_to_a_windows_ecs.rst,How Can I Transfer Files from a Local Mac to a Windows ECS?,/home/ubuntu/repotesting/elastic-cloud-server/umn/source/_static/images/en-us_image_0295099237.png,figure,32,screenshot,True,False,True,"Screenshot contains interactive buttons (e.g., 'Add Desktop') that are blue, not magenta.",3,3,3,3,3,1.00,fail,,200,completed,1,Matches RST step 2 'Click Add Desktop'. | Shows the Microsoft Remote Desktop welcome screen with the 'Add Desktop' button.,
umn/source/faqs/file_upload_data_transfer/how_can_i_transfer_files_from_a_local_mac_to_a_windows_ecs.rst,How Can I Transfer Files from a Local Mac to a Windows ECS?,/home/ubuntu/repotesting/elastic-cloud-server/umn/source/_static/images/en-us_image_0295099238.png,figure,48,screenshot,True,False,True,"Screenshot contains interactive buttons (e.g., 'Add') that are blue, not magenta.",3,3,3,3,3,1.00,fail,,200,completed,1,"Matches RST step 3a 'Add a User Account' dialog. | Shows fields for Username, Password, and Friendly name as described.",
umn/source/faqs/file_upload_data_transfer/how_can_i_transfer_files_from_a_local_mac_to_a_windows_ecs.rst,How Can I Transfer Files from a Local Mac to a Windows ECS?,/home/ubuntu/repotesting/elastic-cloud-server/umn/source/_static/images/en-us_image_0295099198.png,figure,54,screenshot,True,False,True,"Screenshot contains interactive buttons (e.g., 'Add') that are blue, not magenta.",3,3,3,3,3,1.00,fail,,200,completed,1,Matches RST step 3 'Set login parameters'. | Shows the 'Add PC' dialog with PC name and User account fields highlighted.,
umn/source/faqs/file_upload_data_transfer/how_can_i_transfer_files_from_a_local_windows_computer_to_a_windows_ecs.rst,How Can I Transfer Files from a Local Windows Computer to a Windows ECS?,/home/ubuntu/repotesting/elastic-cloud-server/umn/source/_static/images/en-us_image_0166287347.png,substitution_image,54,screenshot,True,False,True,"Visible interactive buttons (Connect, Help, Show Options) are not magenta.",3,3,3,3,3,1.00,fail,,200,completed,2,Image shows the initial Remote Desktop Connection window as described in step 2. | Matches the RST instruction to click Options.,
umn/source/faqs/file_upload_data_transfer/how_can_i_transfer_files_from_a_local_windows_computer_to_a_windows_ecs.rst,How Can I Transfer Files from a Local Windows Computer to a Windows ECS?,/home/ubuntu/repotesting/elastic-cloud-server/umn/source/_static/images/en-us_image_0166287348.png,substitution_image,55,screenshot,True,False,True,"Visible interactive buttons (Connect, Help, Hide Options) are not magenta.",3,3,3,3,3,1.00,fail,,200,completed,2,Image shows the General tab with Computer and User name fields. | Matches RST step 3 specifying EIP and Administrator username.,
umn/source/faqs/file_upload_data_transfer/how_can_i_transfer_files_from_a_local_windows_computer_to_a_windows_ecs.rst,How Can I Transfer Files from a Local Windows Computer to a Windows ECS?,/home/ubuntu/repotesting/elastic-cloud-server/umn/source/_static/images/en-us_image_0166287349.png,substitution_image,56,screenshot,True,False,True,"Visible interactive buttons (Connect, Help, Settings, More) are not magenta.",3,3,3,3,3,1.00,fail,,200,completed,2,Image shows the Local Resources tab. | Matches RST step 4 verifying that Clipboard is selected.,
