document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,/home/ubuntu/repotesting/key-management-service/umn/source/_static/images/en-us_image_0218728478.jpg,figure,20,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
umn/source/faqs/how_do_cloud_services_use_kms_to_encrypt_data.rst,How Do Cloud Services Use KMS to Encrypt Data?,/home/ubuntu/repotesting/key-management-service/umn/source/_static/images/en-us_image_0232858228.png,figure,21,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/faqs/how_do_cloud_services_use_kms_to_encrypt_data.rst,How Do Cloud Services Use KMS to Encrypt Data?,/home/ubuntu/repotesting/key-management-service/umn/source/_static/images/en-us_image_0232858842.png,figure,37,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/faqs/how_do_i_use_the_online_tool_to_encrypt_or_decrypt_small_volumes_of_data.rst,How Do I Use the Online Tool to Encrypt or Decrypt Small Volumes of Data?,/home/ubuntu/repotesting/key-management-service/umn/source/_static/images/en-us_image_0000001284811084.png,substitution_image,79,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Small location/region pin icon used as |image1| and |image3| in the RST. | Referenced for selecting a region or project in the upper left corner of the console. | The icon is a teardrop-shaped location marker, consistent with a region selector. | Image is small and somewhat blurry, limiting detail assessment.","Icon is low-resolution and blurry, making it difficult to confirm exact visual details. | No surrounding UI context visible to confirm placement in the upper left corner."
umn/source/faqs/how_do_i_use_the_online_tool_to_encrypt_or_decrypt_small_volumes_of_data.rst,How Do I Use the Online Tool to Encrypt or Decrypt Small Volumes of Data?,/home/ubuntu/repotesting/key-management-service/umn/source/_static/images/en-us_image_0000002511598247.png,substitution_image,78,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Small hamburger menu icon (three horizontal lines) used as |image2| in the RST. | Referenced for clicking on the left to navigate to Security > Key Management Service. | The three-line icon is a standard navigation/menu symbol, consistent with the described action. | Image is small, limiting detailed visual assessment.",Icon is very small with no surrounding UI context. | Cannot confirm exact placement or label from the icon alone.
umn/source/faqs/how_do_i_use_the_online_tool_to_encrypt_or_decrypt_small_volumes_of_data.rst,How Do I Use the Online Tool to Encrypt or Decrypt Small Volumes of Data?,/home/ubuntu/repotesting/key-management-service/umn/source/_static/images/en-us_image_0000002511605033.png,substitution_image,80,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Small hamburger menu icon (three horizontal lines) used as |image4| in the RST. | Referenced in the Decrypting Data section for clicking on the left to navigate to Security > Key Management Service. | The three-line icon is a standard navigation/menu symbol, consistent with the described action. | Image is small, limiting detailed visual assessment.",Icon is very small with no surrounding UI context. | Cannot confirm exact placement or label from the icon alone.
umn/source/key_management_service/creating_cmks_using_imported_key_materials/deleting_key_materials.rst,Deleting Key Materials,/home/ubuntu/repotesting/key-management-service/umn/source/_static/images/en-us_image_0000001284811084.png,substitution_image,47,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a small blue location pin icon, consistent with a region/project selector in the upper-left corner of a management console. | The RST step 2 instructs to click this icon to select a region or project, which aligns with a location pin symbol. | The icon is a generic UI navigation element, not specific to KMS or key management content. | The image is very small and slightly blurry, limiting detailed visual assessment.",The image is too small to confirm exact styling or branding of the icon. | No surrounding UI context is visible to confirm it is in the upper-left corner of a console.
umn/source/key_management_service/creating_cmks_using_imported_key_materials/deleting_key_materials.rst,Deleting Key Materials,/home/ubuntu/repotesting/key-management-service/umn/source/_static/images/en-us_image_0000002479477326.png,substitution_image,48,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image shows a hamburger menu icon (three horizontal lines), a standard navigation menu symbol. | The RST step 3 instructs to click this icon on the left to navigate to Security > Key Management Service, which is consistent with a hamburger menu. | The icon is a generic UI navigation element, not specific to KMS or key management content. | The image is small but clearly recognizable as a three-line menu icon.",No surrounding UI context is visible to confirm it is on the left side of a console. | The image does not show the resulting navigation menu (Security > Key Management Service).
umn/source/key_management_service/creating_cmks_using_imported_key_materials/importing_key_materials.rst,Importing Key Materials,/home/ubuntu/repotesting/key-management-service/umn/source/_static/images/en-us_image_0000002141499297.png,figure,137,other,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"Shows a downloaded file named 'wrappingKey_...a7-a29927851940.bin', matching Figure 2 'Downloading a file'. | Corresponds to the wrapping key file (wrappingKey_KeyID) described in the RST.",The middle portion of the KeyID in the filename is obscured/blurred. | No surrounding UI context is shown.
umn/source/key_management_service/creating_cmks_using_imported_key_materials/importing_key_materials.rst,Importing Key Materials,/home/ubuntu/repotesting/key-management-service/umn/source/_static/images/en-us_image_0000001284811084.png,substitution_image,400,icon,False,False,False,,2,1,2,3,3,0.70,partial,,,,200,stop,1,A blue location/map-pin icon used as the region/project selector in the upper-left of the console. | Referenced in the RST as the icon to click to select a region or project.,No text label or surrounding console UI is visible to confirm exact placement.
umn/source/key_management_service/creating_cmks_using_imported_key_materials/importing_key_materials.rst,Importing Key Materials,/home/ubuntu/repotesting/key-management-service/umn/source/_static/images/en-us_image_0000002511514115.png,substitution_image,397,icon,False,False,False,,2,1,2,3,3,0.70,partial,,,,200,stop,1,A hamburger (three-line) menu icon used to open the left navigation menu. | Referenced in the RST as the icon to click to choose Security > Key Management Service.,No menu items or labels are visible in the isolated icon.
umn/source/key_management_service/creating_cmks_using_imported_key_materials/importing_key_materials.rst,Importing Key Materials,/home/ubuntu/repotesting/key-management-service/umn/source/_static/images/en-us_image_0000002479477424.png,substitution_image,399,icon,False,False,False,,2,1,2,3,3,0.70,partial,,,,200,stop,1,A hamburger (three-line) menu icon for opening the left navigation menu. | Referenced in the RST for navigating to Security > Key Management Service.,No menu items or labels are visible in the isolated icon.
umn/source/key_management_service/creating_cmks_using_imported_key_materials/importing_key_materials.rst,Importing Key Materials,/home/ubuntu/repotesting/key-management-service/umn/source/_static/images/en-us_image_0000002479637434.png,substitution_image,401,icon,False,False,False,,2,1,2,3,3,0.70,partial,,,,200,stop,1,A hamburger (three-line) menu icon for opening the left navigation menu. | Referenced in the RST for navigating to Security > Key Management Service.,No menu items or labels are visible in the isolated icon.
umn/source/key_management_service/key_alias.rst,Key Alias,/home/ubuntu/repotesting/key-management-service/umn/source/_static/images/en-us_image_0000001284811084.png,substitution_image,44,icon,False,False,False,,1,2,2,2,3,0.62,partial,,,,200,stop,1,"Image is a blue location-pin pictogram, an isolated UI symbol. | RST uses this icon (image1/image3) for 'select a region or project' in the upper-left corner, which matches a region/locator icon. | Icon supports the navigation step but does not depict key-alias content itself. | No contradiction between the icon and the described region-selection action.",No rendered console UI shown; only the standalone pin symbol is visible. | No label or text confirming it is the region selector.
umn/source/key_management_service/key_alias.rst,Key Alias,/home/ubuntu/repotesting/key-management-service/umn/source/_static/images/en-us_image_0000002511598459.png,substitution_image,43,icon,False,False,False,,1,2,2,2,3,0.62,partial,,,,200,stop,1,"Image is a three-line hamburger-menu pictogram, an isolated UI symbol. | RST uses this icon (image2) for 'Click on the left and choose Security > Key Management Service', consistent with a navigation-menu toggle. | Icon is generic and not specific to key-alias functionality. | No contradiction between the menu icon and the described navigation action.",No rendered menu or console UI shown; only the standalone hamburger symbol is visible. | No text confirming the menu leads to Security > Key Management Service.
umn/source/key_management_service/key_alias.rst,Key Alias,/home/ubuntu/repotesting/key-management-service/umn/source/_static/images/en-us_image_0000002479645998.png,substitution_image,45,icon,False,False,False,,1,2,2,2,3,0.62,partial,,,,200,stop,1,"Image is a three-line hamburger-menu pictogram, an isolated UI symbol. | RST uses this icon (image4) for 'Click on the left and choose Security > Key Management Service' in the Deleting an Alias section, consistent with a navigation-menu toggle. | Icon is generic and not specific to key-alias functionality. | No contradiction between the menu icon and the described navigation action.",No rendered menu or console UI shown; only the standalone hamburger symbol is visible. | No text confirming the menu leads to Security > Key Management Service.
umn/source/key_management_service/managing_a_grant/creating_a_grant.rst,Creating a Grant,/home/ubuntu/repotesting/key-management-service/umn/source/_static/images/en-us_image_0000001284811084.png,substitution_image,103,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Small blue location-pin icon used as the region/project selector in step 2 of the procedure | Matches the RST instruction to 'Click |image1| in the upper left corner of the management console and select a region or project' | Icon is small and slightly blurry, limiting visual detail assessment","Icon is low-resolution and blurry, making it difficult to confirm exact visual details | No surrounding UI context visible to confirm placement in upper-left corner"
umn/source/key_management_service/managing_a_grant/creating_a_grant.rst,Creating a Grant,/home/ubuntu/repotesting/key-management-service/umn/source/_static/images/en-us_image_0000002479480874.png,substitution_image,104,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Hamburger menu icon (three horizontal lines) used as the navigation menu trigger in step 3 | Matches the RST instruction to 'Click |image2| on the left and choose Security > Key Management Service' | Icon is small and slightly blurry, limiting visual detail assessment","Icon is low-resolution and blurry, making it difficult to confirm exact visual details | No surrounding UI context visible to confirm placement on the left side of the console"
umn/source/key_management_service/managing_a_grant/querying_a_grant.rst,Querying a Grant,/home/ubuntu/repotesting/key-management-service/umn/source/_static/images/en-us_image_0000001284811084.png,substitution_image,46,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a small blue location-pin icon, consistent with a region/project selector referenced in step 2 of the procedure. | The RST states 'Click |image1| in the upper left corner of the management console and select a region or project,' which aligns with a location-pin icon. | The icon is part of the procedural steps to reach the grant query page but does not itself show grant details. | The image is small and slightly blurry but the pin shape is identifiable.","No surrounding UI context is visible to confirm it is specifically in the upper-left corner of a management console. | The image is very small, making fine details hard to assess."
umn/source/key_management_service/managing_a_grant/querying_a_grant.rst,Querying a Grant,/home/ubuntu/repotesting/key-management-service/umn/source/_static/images/en-us_image_0000002511520841.png,substitution_image,47,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a hamburger-menu icon (three horizontal lines), consistent with a left-side navigation menu referenced in step 3. | The RST states 'Click |image2| on the left and choose Security > Key Management Service,' which aligns with a hamburger menu icon used for navigation. | The icon is part of the procedural steps to reach the KMS grant page but does not itself show grant details. | The three-line hamburger pattern is clearly visible and unambiguous.","No surrounding UI context is visible to confirm it is specifically on the left side of a management console. | The image is very small, but the hamburger pattern is still clearly identifiable."
umn/source/key_management_service/managing_a_grant/revoking_a_grant.rst,Revoking a Grant,/home/ubuntu/repotesting/key-management-service/umn/source/_static/images/en-us_image_0000001284811084.png,substitution_image,43,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a small blue location-pin icon, consistent with a region/project selector referenced in step 2 of the procedure. | The RST states 'Click |image1| in the upper left corner of the management console and select a region or project,' which matches a location-pin icon. | The icon is part of the general navigation procedure, not specific to the grant-revocation topic itself. | No contradictions between the image and the RST text.","The image is very small and low-resolution, making it difficult to confirm exact visual details. | No surrounding UI context is visible to confirm it is in the upper-left corner of a management console."
umn/source/key_management_service/managing_a_grant/revoking_a_grant.rst,Revoking a Grant,/home/ubuntu/repotesting/key-management-service/umn/source/_static/images/en-us_image_0000002479481472.png,substitution_image,44,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a hamburger-menu icon (three horizontal lines), consistent with a navigation menu toggle referenced in step 3 of the procedure. | The RST states 'Click |image2| on the left and choose Security > Key Management Service,' which matches a hamburger-menu icon used to open a navigation panel. | The icon is part of the general navigation procedure, not specific to the grant-revocation topic itself. | No contradictions between the image and the RST text.","The image is very small and low-resolution, making it difficult to confirm exact visual details. | No surrounding UI context is visible to confirm it is on the left side of a management console."
umn/source/key_management_service/managing_cmks/canceling_the_scheduled_deletion_of_one_or_more_cmks.rst,Canceling the Scheduled Deletion of One or More CMKs,/home/ubuntu/repotesting/key-management-service/umn/source/_static/images/en-us_image_0000001284811084.png,substitution_image,30,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a small blue location pin icon, consistent with a region/project selector in a cloud management console. | The RST step 2 instructs to 'Click |image1| in the upper left corner of the management console and select a region or project,' which aligns with a location/region icon. | The icon is generic and not specific to KMS, but it is part of the navigation procedure to reach the KMS console. | No contradictions between the icon and the surrounding text.","The icon is very small and low-resolution, making it difficult to confirm exact visual details. | No surrounding UI context is visible to confirm it is specifically a region selector in the upper-left corner."
umn/source/key_management_service/managing_cmks/canceling_the_scheduled_deletion_of_one_or_more_cmks.rst,Canceling the Scheduled Deletion of One or More CMKs,/home/ubuntu/repotesting/key-management-service/umn/source/_static/images/en-us_image_0000002511597849.png,substitution_image,31,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a hamburger menu icon (three horizontal lines), a standard representation for a navigation menu in a console UI. | The RST step 3 instructs to 'Click |image2| on the left and choose Security > Key Management Service,' which aligns with a menu icon used to open a navigation panel. | The icon is generic and not specific to KMS, but it is part of the navigation procedure to reach the KMS service. | No contradictions between the icon and the surrounding text.","The icon is very small and low-resolution, making it difficult to confirm exact visual details. | No surrounding UI context is visible to confirm it is specifically the left-side navigation menu of the management console."
umn/source/key_management_service/managing_cmks/disabling_a_key.rst,Disabling a Key,/home/ubuntu/repotesting/key-management-service/umn/source/_static/images/en-us_image_0000001284811084.png,substitution_image,36,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a small blue location-pin icon, consistent with a region/project selector in a management console. | The RST step 2 says 'Click |image1| in the upper left corner of the management console and select a region or project,' which matches a location-pin icon. | The icon is a generic UI navigation element, not specific to KMS or key management, so topic match is moderate. | No contradiction between the icon and the described action.",The icon is very small and low-resolution; exact label or tooltip is not visible. | No surrounding UI context is shown to confirm it is in the upper-left corner of a console.
umn/source/key_management_service/managing_cmks/disabling_a_key.rst,Disabling a Key,/home/ubuntu/repotesting/key-management-service/umn/source/_static/images/en-us_image_0000002511517795.png,substitution_image,37,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a hamburger-menu icon (three horizontal lines), a common symbol for opening a navigation sidebar. | The RST step 3 says 'Click |image2| on the left and choose Security > Key Management Service,' which matches a navigation-menu toggle icon. | The icon is a generic UI navigation element, not specific to KMS or key management, so topic match is moderate. | No contradiction between the icon and the described action of opening a left-side navigation menu.",The icon is very small and low-resolution; no label or tooltip is visible. | No surrounding UI context is shown to confirm it is on the left side of a console.
umn/source/key_management_service/managing_cmks/enabling_a_key.rst,Enabling a Key,/home/ubuntu/repotesting/key-management-service/umn/source/_static/images/en-us_image_0000001284811084.png,substitution_image,29,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a small blue location pin icon, consistent with a region/project selector in the upper-left corner of a management console. | The RST step 2 says 'Click |image1| in the upper left corner of the management console and select a region or project,' which matches a location pin icon. | The icon is relevant to the procedure for navigating to the KMS console but is not directly about key management itself. | The image is small and slightly blurry but the location pin shape is identifiable.","The image is low resolution and somewhat blurry, making fine details hard to discern. | No surrounding UI context is visible to confirm it is specifically a region selector button."
