document,title,image,image_type,result,score,reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,fail,,kein valides Bild,No model result was produced.
umn/source/auditing/viewing_traces_on_the_cts_console.rst,Viewing Traces on the CTS Console,en-us_image_0266235352.png,screenshot,pass,1.00,"Shows a CTS trace list table with columns Trace Name, Resource Type, Trace Source, Resource ID, Trace Status, Operator, Operation Time, Operation. | Displays an expanded trace row (createDCSInstanceS..., Redis, DCS) with Trace ID, Trace Type, Source IP Address, Generated, matching Figure 1 'Expanding trace details'. | Includes a 'View Trace' link in the Operation column, consistent with step 7 of the procedure.",No filter panel or region/project selector visible in this crop.
umn/source/auditing/viewing_traces_on_the_cts_console.rst,Viewing Traces on the CTS Console,en-us_image_0266235315.png,screenshot,pass,1.00,"Displays a JSON-style trace structure with fields such as time, user, request, engine (Redis), engine_version, capacity, vpc_id, security_group_id, subnet_id, available_zones. | Matches Figure 2 'Viewing traces' which shows the trace structure details in the dialog box after clicking View Trace. | Content is consistent with a DCS/Redis operation trace record described in the RST.",No dialog box title or surrounding UI chrome visible; only the raw trace payload is shown.
umn/source/auditing/viewing_traces_on_the_cts_console.rst,Viewing Traces on the CTS Console,en-us_image_0143929918.png,icon,pass,0.88,"A small location-pin / map-marker pictogram, matching |image1| used in step 2 to select a region and project. | Symbolic icon rather than a full UI screenshot, consistent with a region selector control.",No surrounding console UI or label visible to confirm exact placement in the upper-left corner.
umn/source/auditing/viewing_traces_on_the_cts_console.rst,Viewing Traces on the CTS Console,en-us_image_0266235373.png,icon,pass,0.88,"A small downward chevron / expand arrow pictogram, matching |image2| used in step 6 to expand trace details. | Symbolic expand/collapse icon rather than a full interface screenshot.",No adjacent trace row or table context visible to confirm it sits on the left of a trace entry.
umn/source/backing_up_and_restoring_instance_data/configuring_an_automatic_backup_policy.rst,Configuring an Automatic Backup Policy,en-us_image_0143929918.png,icon,partial,0.77,The image is a location pin icon used as a region/project selector in the DCS console | The RST references it in step 2: 'Click |image1| in the upper left corner and select a region and a project' | The icon is consistent with a region selector control in a cloud console UI | It is a prerequisite step for navigating to the backup configuration page,The image does not show the full console context (upper left corner placement) | No text label is visible on the icon to confirm it is specifically a region selector
umn/source/backing_up_and_restoring_instance_data/configuring_an_automatic_backup_policy.rst,Configuring an Automatic Backup Policy,en-us_image_0000001256735725.png,icon,pass,1.00,"The image is a toggle switch in the off position, matching the RST instruction to 'Slide |image2| to the right to enable automatic backup' | This is the primary control for enabling the automatic backup feature described in the document | The toggle is shown in its initial (off) state, consistent with the instruction to slide it to the right | Directly relevant to the core topic of configuring an automatic backup policy","No label or text is visible on the toggle to explicitly identify it as the 'automatic backup' switch | The surrounding UI context (instance details page, Backups & Restorations tab) is not visible"
umn/source/backing_up_and_restoring_instance_data/downloading_a_backup_file.rst,Downloading a Backup File,en-us_image_0143929918.png,icon,partial,0.77,"The image is a small location-pin (map marker) icon, consistent with a region/project selector in a cloud console. | The RST step 2 instructs to click this icon in the upper left corner to select a region and a project, which semantically matches a location pin symbol. | The icon is placed within the Procedure section and supports the navigation steps for accessing the DCS console. | No visible interactive controls or buttons are present; it is an isolated symbolic graphic.","The image does not show surrounding UI context (e.g., the upper-left corner of the console) to confirm exact placement. | No label or text accompanies the icon to explicitly confirm it is the region/project selector."
umn/source/backing_up_and_restoring_instance_data/manually_backing_up_a_dcs_instance.rst,Manually Backing Up a DCS Instance,en-us_image_0143929918.png,icon,partial,0.77,"The image is a small location-pin / map-marker symbol, consistent with an isolated UI icon. | In the RST, |image1| is used in step 2 to indicate clicking the region/project selector in the upper-left corner, which matches a location icon. | The icon is referenced within the Procedure section of the DCS backup guide, so it is contextually relevant. | The visual clearly shows a location pin glyph, providing direct visual evidence for the region selector reference. | No contradiction between the icon and the surrounding text.",The image is a generic location pin; it does not show the actual console UI or the region/project menu it opens. | No label or text accompanies the icon to confirm it is the region selector.
umn/source/backing_up_and_restoring_instance_data/restoring_a_dcs_instance.rst,Restoring a DCS Instance,en-us_image_0143929918.png,icon,pass,1.00,"The image is a small gray location/map-pin icon, matching the region/project selector referenced in step 2 of the procedure. | The RST states 'Click |image1| in the upper left corner and select a region and a project,' which semantically aligns with a location pin icon. | The icon is used within the Procedure section for navigating the DCS console, consistent with the document's topic of restoring a DCS instance. | No contradiction between the icon's meaning (region/location selection) and its usage in the text.",The image is a generic location pin; it does not show the surrounding console UI or the upper-left corner context described in the text. | No label or text accompanies the icon to confirm it is specifically the region/project selector.
