document,title,image,image_type,result,score,reasons,missing_evidence
umn/source/accessing-applications-with-ssoc.rst,1 Accessing Integrated Applications with Single Sign-On,accessing-applications_1.png,screenshot,pass,1.00,"The image is a screenshot of the T-Systems Service Portal (CSM Portal) home/landing page, matching the document's topic of accessing integrated applications via SSO. | The highlighted row of application cards shows Shop (eShop), Financial Dashboard, Invoice History, and Audit Reports, plus an 'Alerting' link, which aligns with the RST's list of available integrated applications. | The image is placed directly under the 'Available Applications' section and visually illustrates the T Cloud Public integrated applications described in the text. | Clear visual evidence: navigation bar, 'My T Cloud Public Tenants' table, application cards with descriptions and action links (Visit, Dashboard, Alerting, Download), and a Recent activities panel. | No clear contradiction with the RST; the applications and the T Cloud Public context are consistent with the described behavior.","The 'T Cloud Public' section is not labeled as a distinct header for the application cards; the cards appear below a 'My T Cloud Public Tenants' table. | Alerting Service is shown as a sub-link within the Financial Dashboard card rather than as a standalone application card, slightly differing from the RST's flat list. | No sign-in screen or explicit SSO session indicator is visible to confirm the 'no additional sign-in' claim."
umn/source/index.rst,T Cloud Public in the CSM Portal,index_1_1.png,screenshot,pass,1.00,"The image is a clear UI screenshot of the T-Systems Service Portal (CSM Portal) homepage, matching the alt text and Overview description. | It displays the 'My T Cloud Public Tenants' table, consistent with the 'Manage your T Cloud Public tenants' activity. | Integrated application cards (Shop, Financial Dashboard, Invoice History, Audit Reports) and a 'Report an incident' service align with the 'Access integrated applications' and 'Report and track incidents' features. | The 'Recent activities' section with My Incidents/My Requests tabs supports the incident tracking description. | No visible contradiction between the image content and the RST text.","The Tenant Picker and Role Shop are not visible in this screenshot, though mentioned in the RST. | The Alerting Service appears only as a link under Financial Dashboard rather than as a standalone card."
umn/source/managing-tenants.rst,2 Managing Your T Cloud Public Tenants,managing-tenants_1.png,screenshot,pass,1.00,"Shows the CSM Portal home page with the My T Cloud Public Tenants widget highlighted in a green border | Widget displays a table with Name, T Cloud Public Tenant, Install Date, and State columns matching the RST description | The widget is located in the T Cloud Public section as described in the RST | Additional portal elements (Shop, Financial Dashboard, Invoice History, Audit Reports cards) are visible below the widget",
umn/source/managing-tenants.rst,2 Managing Your T Cloud Public Tenants,managing-tenants_2.png,screenshot,pass,1.00,"Shows a zoomed-in view of the My T Cloud Public Tenants table | The Open Details icon (external link arrow) is highlighted with a green box, matching the RST description | The RST states to click the Open Details icon next to a tenant to launch the T Cloud Public Console | Three tenant rows are visible with the icon clearly marked",
umn/source/managing-tenants.rst,2 Managing Your T Cloud Public Tenants,managing-tenants_3.png,screenshot,pass,1.00,"Shows the T Cloud Public Console interface with the T Cloud Public header | Displays My Navigation section with cloud services (Elastic Cloud Server, Auto Scaling, etc.) | Shows My Resources, Status Dashboard, and Latest News sections | Matches the RST description of launching the T Cloud Public Console via Single Sign-On",
umn/source/managing-tenants.rst,2 Managing Your T Cloud Public Tenants,managing-tenants_4.png,screenshot,pass,1.00,"Shows a Details modal dialog with the Attributes tab highlighted in a green box | The magnifying glass icons on the left are highlighted, matching the RST instruction to click the magnifying icon | Displays a comprehensive list of tenant attributes (Name, T Cloud Public tenant, Install date, State, Lifecycle Status, etc.) | Matches the RST section 'View Tenant Information' which says to see all attributes of the tenant",
umn/source/managing-tenants.rst,2 Managing Your T Cloud Public Tenants,managing-tenants_5.png,screenshot,pass,1.00,"Shows the Details modal with the Incident History tab highlighted in a green box | Displays a table with Number, Description, State, Requester, and Date columns | One incident entry is visible (CS0960938, E2E incident Demo, Closed) | Matches the RST section 'Review Incident History' which describes viewing previously reported incidents",
umn/source/managing-tenants.rst,2 Managing Your T Cloud Public Tenants,managing-tenants_6.png,screenshot,pass,1.00,Shows the CSM Portal with the My T Cloud Public Tenants widget | A dropdown menu is open from the hamburger icon showing 'Report an Incident' highlighted in a green box | The 'Rename the Tenant' option is also visible in the dropdown | Matches the RST section 'Report an Incident' which describes creating a new support incident,
umn/source/managing-tenants.rst,2 Managing Your T Cloud Public Tenants,managing-tenants_7.png,screenshot,pass,1.00,Shows the CSM Portal with the My T Cloud Public Tenants widget | A dropdown menu is open with 'Rename the Tenant' highlighted in a green box | The 'Report an Incident' option is also visible but not highlighted | Matches the RST section 'Rename a Tenant' which describes submitting a request to assign a more meaningful name,
umn/source/managing-users-role-shop.rst,9 Managing Users with the Role Shop,managing-users-role-shop_1.png,screenshot,pass,1.00,"Image shows the T Cloud Public section of the CSM Portal with the Administration dropdown open, revealing the 'Roleshop' option highlighted in a green box. | Directly illustrates the 'Accessing the Role Shop' section by showing the navigation path from T Cloud Public to Roleshop. | The tenant list and service cards (Shop, Financial Dashboard, Invoice History, Audit Reports) provide context for the T Cloud Public environment. | Matches the alt text 'Screenshot showing the Role Shop in the T Cloud Public section' accurately.",
umn/source/managing-users-role-shop.rst,9 Managing Users with the Role Shop,managing-users-role-shop_2.png,screenshot,pass,1.00,"Shows the Roleshop page with the 'Users' tab selected (green box), displaying a list of users with their email addresses. | The create-user button (green box) and edit icons per user row illustrate the user management actions described in the 'Managing Users' section. | Search User field and All/Locked out filters are visible, matching the user administration tasks listed in the RST. | Matches the alt text 'Screenshot of user management actions' accurately.",
