document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/api_reference_enterprise_edition_vpn/before_you_start.rst,Before You Start,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/api_reference_enterprise_edition_vpn/calling_apis/response.rst,Response,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/administrator_guide/configuring_vpn_when_fortinet_fortigate_firewall_is_used.rst,Configuring VPN When Fortinet FortiGate Firewall Is Used,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/faqs/s2c_classic_vpn/what_are_the_differences_between_the_application_scenarios_and_connection_modes_of_ipsec_and_ssl_vpns.rst,What Are the Differences Between the Application Scenarios and Connection Modes of IPsec and SSL VPNs?,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/faqs/s2c_classic_vpn/what_is_the_vpn_quota.rst,What Is the VPN Quota?,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started/s2c_classic_vpn/creating_a_vpn.rst,Creating a VPN,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started/s2c_enterprise_edition_vpn/overview.rst,Overview,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started/s2c_enterprise_edition_vpn/step_1_creating_a_vpn_gateway.rst,Step 1: Creating a VPN Gateway,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started/s2c_enterprise_edition_vpn/step_4_configuring_the_customer_gateway_device.rst,Step 4: Configuring the Customer Gateway Device,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started/s2c_enterprise_edition_vpn/step_5_verifying_network_connectivity.rst,Step 5: Verifying Network Connectivity,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
