document,title,image,image_type,result,score,reasons,missing_evidence
umn/source/backup_management/deleting_a_backup.rst,Deleting a Backup,en-us_image_0159365094.png,icon,partial,0.77,"The image is a location pin icon, consistent with a region selector in a cloud console. | The RST references this icon in step 1a: 'click |image1| and select a region', which matches a location/region icon. | The icon is small and symbolic, fitting the 'icon' classification. | No contradictions between the image and the RST text.",The icon is generic; it does not show any CBR-specific branding or label. | No surrounding UI context is visible to confirm it is in the upper-left corner of a console.
umn/source/backup_management/deleting_a_backup.rst,Deleting a Backup,en-us_image_0000001599534545.jpg,icon,partial,0.77,"The image is a hamburger menu icon (three horizontal lines), a standard navigation menu symbol. | The RST references this icon in step 1b: 'Click |image2| and choose Storage > Cloud Backup and Recovery', which matches a navigation menu icon. | The icon is small and symbolic, fitting the 'icon' classification. | No contradictions between the image and the RST text.",The icon is generic; no CBR-specific branding or label is visible. | No surrounding UI context is visible to confirm it is part of a console navigation bar.
umn/source/backup_management/deleting_a_backup.rst,Deleting a Backup,en-us_image_0000002120263914.png,screenshot,pass,1.00,"The screenshot shows a 'Delete Backup' dialog box, directly matching the RST step 4 description. | The dialog includes a warning message, backup details table (Name, Status, Server Name, Created), and a confirmation text field requiring 'DELETE' to be entered. | The RST states 'enter DELETE, and click OK', and the screenshot shows the DELETE text in the input field and an OK button. | The backup status shown is 'Available', consistent with the prerequisite that backups must be in Available or Error state. | No contradictions between the image content and the RST text.","The screenshot does not show the full CBR console context (e.g., the Backups tab or Operation column). | The exact region or account context is not visible."
umn/source/backup_management/replicating_a_backup_across_regions.rst,Replicating a Backup Across Regions,en-us_image_0000002449862949.png,icon,pass,0.93,"The image is a location pin icon used as the region selector in the management console. | It is referenced in step 1 of the procedure: 'Click |image1| in the upper left corner of the management console and select the region.' | The icon is semantically appropriate for a region/area selector in a cloud management console. | The icon is small and symbolic, fitting the 'icon' classification.",The icon is generic; it does not show any specific region name or label. | No surrounding UI context is visible to confirm it is in the upper-left corner of the console.
umn/source/backup_management/replicating_a_backup_across_regions.rst,Replicating a Backup Across Regions,en-us_image_0000001706852702.png,screenshot,pass,1.00,"The screenshot shows a 'Create Replica' dialog box, which directly matches the procedure described in the RST. | All four parameters from Table 1 are visible: Name, Description, Destination Region, and Destination Vault. | The Name field shows a pre-filled value matching the default naming pattern 'resource name_xxxx' described in the table. | The Destination Region field shows 'eu-nl' with a location icon, consistent with the region selection described. | The Destination Vault field shows a vault identifier, matching the table description. | A note about traffic costs is visible, matching the note in the RST. | Cancel and OK buttons are present at the bottom, matching step 5 ('Click OK'). | The dialog is labeled 'Create Replica' matching the action in step 3.",The screenshot does not show the 'More > Create Replica' menu path from step 3. | The specific project selection within the destination region (mentioned in the table for multi-project regions) is not visible.
umn/source/backup_management/sharing_a_backup.rst,Sharing a Backup,en-us_image_0159365094.png,icon,partial,0.77,Location pin icon used as the region selector in the CBR console navigation steps | Matches the RST instruction 'click |image1| and select a region' | Standard UI icon for region/area selection in cloud console interfaces,No surrounding UI context visible to confirm it is specifically the CBR console region selector
umn/source/backup_management/sharing_a_backup.rst,Sharing a Backup,en-us_image_0000001599534545.jpg,icon,partial,0.77,Hamburger menu icon (three horizontal lines) used for navigation to Storage > Cloud Backup and Recovery | Matches the RST instruction 'Click |image2| and choose Storage > Cloud Backup and Recovery' | Standard navigation menu icon in cloud console interfaces,No surrounding UI context visible to confirm it is specifically the CBR console navigation menu
umn/source/backup_management/sharing_a_backup.rst,Sharing a Backup,en-us_image_0000001953593985.png,screenshot,pass,1.00,"Directly shows the Share Backup dialog which is the core topic of the document | Displays all fields mentioned in the RST: backup name, backup ID, server name, backup type, region | Shows the Share Backup / Cancel Sharing radio buttons, project ID input field, Add button, and OK/Cancel buttons | Matches step 3 of the Initiating Backup Sharing section where the user locates the target backup and chooses Share Backup","The 'Added Projects' table is empty, so no example of a shared project is shown | The 'Learn how to obtain a project ID' link is visible but its target is not shown"
umn/source/backup_management/viewing_a_backup.rst,Viewing a Backup,en-us_image_0159365094.png,icon,pass,1.00,"The image is a location pin icon, consistent with a region selector in the upper left corner of a cloud console. | The RST references this as |image1| in step 1a: 'click |image1| and select a region.' | The icon is a standard map/location marker used for region selection in cloud interfaces.",
umn/source/backup_management/viewing_a_backup.rst,Viewing a Backup,en-us_image_0000001599534545.jpg,icon,pass,1.00,"The image is a hamburger menu icon (three horizontal lines), a standard navigation menu symbol. | The RST references this as |image2| in step 1b: 'Click |image2| and choose Storage > Cloud Backup and Recovery.' | The icon is consistent with a menu button that opens a navigation panel to select services.",
