document,title,image,image_type,result,score,reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/before_you_start/concepts.rst,Concepts,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/calling_apis/response.rst,Response,,,fail,,kein valides Bild,No model result was produced.
umn/source/getting_started/connecting_to_a_db_instance_using_a_database_client/connecting_to_a_db_instance_over_a_public_network.rst,Connecting to a DB Instance over a Public Network,en-us_image_0000002088517922.png,icon,pass,1.00,"The image is a location pin icon, which is a standard UI symbol for region selection in cloud consoles. | The RST states 'Click |image1| in the upper left corner and select a region and project,' which aligns perfectly with a region/location selector icon. | The icon is clearly rendered and identifiable as a map pin / location marker. | No contradictions between the image and its described usage in the document.",The icon is small and monochrome; no surrounding UI context is visible to confirm it is specifically the region selector in the GaussDB console.
umn/source/getting_started/connecting_to_a_db_instance_using_a_database_client/connecting_to_a_db_instance_over_a_public_network.rst,Connecting to a DB Instance over a Public Network,en-us_image_0000002124197217.png,icon,pass,1.00,"The image is a hamburger menu icon (three horizontal lines), a standard UI symbol for opening a navigation menu. | The RST states 'Click |image2| in the upper left corner of the page and choose Databases > GaussDB,' which matches the function of a hamburger menu for service navigation. | The icon is clearly rendered and identifiable as a three-line menu toggle. | No contradictions between the image and its described usage in the document.",No surrounding UI context is visible to confirm it is specifically the navigation menu in the GaussDB console.
umn/source/getting_started/connecting_to_a_db_instance_using_a_database_client/connecting_to_a_db_instance_over_a_public_network.rst,Connecting to a DB Instance over a Public Network,en-us_image_0000002088517998.png,icon,pass,1.00,"The image is a download icon (downward arrow into a tray), a standard UI symbol for downloading files. | The RST states 'click |image3| next to the SSL field to download the root certificate or certificate bundle,' which aligns perfectly with a download action icon. | The icon is clearly rendered and identifiable as a download symbol. | No contradictions between the image and its described usage in the document.",No surrounding UI context is visible to confirm it is specifically the download button next to the SSL field in the GaussDB console.
umn/source/getting_started/connecting_to_a_db_instance_using_a_database_client/connecting_to_an_instance_over_a_private_network.rst,Connecting to an Instance over a Private Network,en-us_image_0000002088517922.png,icon,pass,0.83,"The image is a small location/region pin icon, consistent with the RST instruction to 'select a region and project' in the upper left corner. | It is a symbolic UI icon used as a navigation reference, not a full screenshot. | The icon semantically matches the action of selecting a region in a cloud console. | No contradictions between the image and the surrounding text.",The icon is generic and does not show any specific cloud provider branding or label.
umn/source/getting_started/connecting_to_a_db_instance_using_a_database_client/connecting_to_an_instance_over_a_private_network.rst,Connecting to an Instance over a Private Network,en-us_image_0000002124197217.png,icon,pass,0.83,"The image is a hamburger menu icon (three horizontal lines), matching the RST instruction to 'Click |image2| in the upper left corner of the page and choose Databases > GaussDB.' | It is a small symbolic UI icon representing a navigation menu toggle. | The icon is consistent with standard cloud console navigation patterns for accessing service categories. | No contradictions between the image and the surrounding text.",The icon is generic and does not show any specific label or branding.
umn/source/getting_started/connecting_to_a_db_instance_using_a_database_client/connecting_to_an_instance_over_a_private_network.rst,Connecting to an Instance over a Private Network,en-us_image_0000002088517998.png,icon,pass,1.00,"The image is a download icon (downward arrow with a tray/line at the bottom), directly matching the RST instruction to 'click |image3| next to the SSL field to download the root certificate or certificate bundle.' | It is a small symbolic UI icon representing a download action. | The icon is directly relevant to the SSL connection step of downloading a certificate for the GaussDB instance. | No contradictions between the image and the surrounding text.",The icon is generic and does not show any specific label or file type indicator.
umn/source/getting_started/connecting_to_a_db_instance_using_a_database_client/connecting_to_an_instance_through_das.rst,Connecting to an Instance Through DAS,en-us_image_0000002088517922.png,icon,pass,0.83,"The image is a location pin icon, a standard symbol for region selection in cloud management consoles. | The RST step 2 instructs to 'Click |image1| in the upper left corner and select a region and project,' which aligns perfectly with a location/region icon. | The icon is a small, isolated symbolic graphic with no surrounding UI, confirming it is an icon rather than a screenshot. | No contradictions between the image content and the RST description.","The image does not show the surrounding console UI context (e.g., the upper-left corner placement), but this is expected for an icon reference."
umn/source/getting_started/connecting_to_a_db_instance_using_a_database_client/connecting_to_an_instance_through_das.rst,Connecting to an Instance Through DAS,en-us_image_0000002124277857.png,icon,pass,0.83,"The image is a hamburger menu icon (three horizontal lines), a standard navigation menu symbol. | The RST step 3 instructs to 'Click |image2| in the upper left corner of the page and choose Databases > Data Admin Service,' which aligns with a navigation menu icon. | The icon is a small, isolated symbolic graphic with no surrounding UI, confirming it is an icon rather than a screenshot. | No contradictions between the image content and the RST description.","The image does not show the dropdown menu or the 'Databases > Data Admin Service' path, but this is expected for a menu trigger icon."
umn/source/getting_started/connecting_to_a_db_instance_using_a_driver/using_odbc_to_connect_to_a_database.rst,Using ODBC to Connect to a Database,en-us_image_0000002088678114.jpg,screenshot,pass,1.00,"Image shows the PostgreSQL ANSI ODBC Driver (psqlODBC) Setup dialog, which directly matches the document's step 3 instruction to configure the data source on Windows | All fields visible in the image (Data Source, Database, Server, Port, User Name, Password, SSL Mode) correspond to parameters described in Table 3 of the document | The image is referenced as |image1| in the Windows procedure section, step 3, where the user is instructed to choose PostgreSQL Unicode for setup | The dialog clearly shows the ODBC configuration interface with interactive buttons (Test, Save, Cancel, Datasource, Global, Manage DSN) | No contradictions between the image content and the document text; minor naming difference (ANSI vs Unicode) is acknowledged in the document's note about identifiers for 64-bit OS",The document mentions choosing 'PostgreSQL Unicode' but the image title shows 'PostgreSQL ANSI ODBC Driver (psqlODBC) Setup' — a minor naming variation that the document partially addresses with its note about identifiers
umn/source/getting_started/connecting_to_a_db_instance_using_a_driver/using_odbc_to_connect_to_a_database.rst,Using ODBC to Connect to a Database,en-us_image_0000002124197557.jpg,screenshot,pass,1.00,"Image shows the Connection Test dialog with 'Connection successful' message, which directly matches the document's step 5 description of a successful connection test | The Test button is highlighted with a red border, indicating it was clicked to perform the test, consistent with the document's instruction to 'Click Test to test the connection' | The image is referenced as |image2| in the Windows procedure section, step 5, where the document states 'If the following information is displayed, the configuration is correct and the connection succeeds' | The background shows the same ODBC setup dialog as image1, maintaining visual continuity with the preceding steps | No contradictions between the image and the document; the 'Connection successful' message aligns perfectly with the expected outcome described in the text","The document does not specify the exact visual appearance of the success dialog, but the image clearly shows the expected outcome"
umn/source/getting_started/creating_a_db_instance.rst,Creating a DB Instance,en-us_image_0000002088517922.png,icon,pass,0.83,"The image is a location pin icon, consistent with the RST instruction to click it to select a region and project. | It is a small symbolic graphic (map pin), classified as an icon. | The icon is used in step 2 of the Procedure section for region selection, which is directly relevant to creating a DB instance. | The visual clearly shows a standard location/marker pin symbol.",The icon is generic and not specific to GaussDB or the management console branding. | No surrounding UI context is visible to confirm it appears in the upper left corner as described.
umn/source/getting_started/creating_a_db_instance.rst,Creating a DB Instance,en-us_image_0000002124197217.png,icon,pass,0.83,"The image is a hamburger menu icon (three horizontal lines), consistent with the RST instruction to click it to access the navigation menu for Databases > GaussDB. | It is a small symbolic graphic (hamburger menu), classified as an icon. | The icon is used in step 3 of the Procedure section to open the navigation menu, directly relevant to the workflow. | The visual clearly shows three horizontal lines representing a menu toggle.",The icon is generic and not specific to GaussDB or the management console branding. | No surrounding UI context is visible to confirm it appears in the upper left corner as described.
umn/source/getting_started/creating_a_db_instance.rst,Creating a DB Instance,en-us_image_0000002124197653.png,icon,pass,0.90,"The image is a refresh/reload icon (circular arrow), consistent with the RST instruction to click it to refresh the instance list. | It is a small symbolic graphic (circular arrow), classified as an icon. | The icon is used in step 7 of the Procedure section to refresh the instance list after creation, directly relevant to the workflow. | The visual clearly shows a circular arrow refresh symbol, which is the standard representation for a refresh action.",The icon is generic and not specific to GaussDB or the management console branding. | No surrounding UI context is visible to confirm it appears in the upper right corner of the list as described.
umn/source/getting_started/example_using_das_to_connect_to_an_instance_and_execute_sql_statements.rst,Example: Using DAS to Connect to an Instance and Execute SQL Statements,en-us_image_0000002088518414.png,icon,pass,1.00,"Image is a location-pin icon matching the RST instruction to click the region selector in the upper left corner. | Used as |image1| in the 'Creating an Instance' step 2 for selecting a region. | Icon is isolated and symbolic, consistent with a region selector control.",No surrounding UI context visible; only the icon is shown.
umn/source/getting_started/example_using_das_to_connect_to_an_instance_and_execute_sql_statements.rst,Example: Using DAS to Connect to an Instance and Execute SQL Statements,en-us_image_0000002124277613.png,icon,pass,1.00,Image is a hamburger (three-line) menu icon matching the RST instruction to click the left navigation menu. | Used as |image2| (and |image4|) for choosing Databases > GaussDB / Data Admin Service. | Isolated symbolic graphic consistent with a left-side navigation toggle.,No menu items visible; only the toggle icon is shown.
umn/source/getting_started/example_using_das_to_connect_to_an_instance_and_execute_sql_statements.rst,Example: Using DAS to Connect to an Instance and Execute SQL Statements,en-us_image_0000002124278013.png,icon,pass,1.00,Image is a location-pin icon matching the RST instruction to click the region selector in the upper left corner. | Used as |image3| in the 'Connecting to an Instance Through DAS' step 2 for selecting a region. | Isolated symbolic graphic consistent with a region selector control.,No surrounding UI context visible; only the icon is shown.
umn/source/getting_started/example_using_das_to_connect_to_an_instance_and_execute_sql_statements.rst,Example: Using DAS to Connect to an Instance and Execute SQL Statements,en-us_image_0000002124197713.png,screenshot,pass,1.00,"Screenshot shows the DAS SQL editor with 'CREATE USER joe WITH PASSWORD ...' and a Messages panel reporting 'executed successfully'. | Matches |image5| in the 'Getting Started with SQL' step confirming user creation. | Visible interactive controls (Execute SQL, Format SQL, Execute SQL Plan, SQL Favorites) confirm a UI screenshot.",Password value is masked in the image.
umn/source/getting_started/example_using_das_to_connect_to_an_instance_and_execute_sql_statements.rst,Example: Using DAS to Connect to an Instance and Execute SQL Statements,en-us_image_0000002088518426.png,screenshot,pass,1.00,Screenshot shows the DAS SQL editor with 'CREATE DATABASE db_tpcds;' and a Messages panel reporting 'executed successfully'. | Matches |image6| in the 'Getting Started with SQL' step confirming database creation. | Visible interactive controls confirm a UI screenshot.,No additional context beyond the SQL editor and message panel.
umn/source/getting_started/example_using_das_to_connect_to_an_instance_and_execute_sql_statements.rst,Example: Using DAS to Connect to an Instance and Execute SQL Statements,en-us_image_0000002124197717.png,screenshot,pass,1.00,"Screenshot shows the Database dropdown in the upper left with 'db_tpcds' highlighted, matching the instruction to switch to the newly created database. | Matches |image7| in the 'Getting Started with SQL' step. | Visible dropdown and search controls confirm a UI screenshot.",Only the upper-left portion of the interface is shown.
umn/source/getting_started/example_using_das_to_connect_to_an_instance_and_execute_sql_statements.rst,Example: Using DAS to Connect to an Instance and Execute SQL Statements,en-us_image_0000002088678282.png,screenshot,pass,1.00,Screenshot shows 'INSERT INTO myschema.mytable values (200);' and 'SELECT * FROM myschema.mytable;' with a Result Set showing firstcol values 100 and 200. | Matches |image8| in the final step verifying inserted data. | Visible interactive controls and result table confirm a UI screenshot.,A warning note ('The table below cannot...') is partially cut off on the right.
umn/source/getting_started/operation_guide.rst,Operation Guide,en-us_image_0000002088677762.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/service_overview/basic_concepts.rst,Basic Concepts,en-us_image_0000002088518190.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/service_overview/what_is_gaussdb.rst,What Is GaussDB?,en-us_image_0000002088677798.png,other,pass,1.00,"The image is an architecture diagram, not a UI screenshot or isolated icon, so it is classified as 'other'. | The RST states 'The overall architecture of a distributed GaussDB instance is as follows' and the image depicts exactly that overall architecture. | The diagram shows distributed components (Coordinator Node, GTM, Data Nodes with Distributed execution/SQL/Storage engine) consistent with the text's description of a distributed relational database. | It also illustrates intra-city cross-AZ deployment and 3DC geo-redundant DR, matching the text's mention of intra-city cross-AZ deployment and high availability. | No interactive controls are visible; it is a static schematic.","The diagram does not explicitly show the 'more than 1,000 nodes' or 'petabytes of storage' figures mentioned in the text. | No explicit labels for backup, restoration, monitoring, or alarm reporting services are present in the diagram."
umn/source/working_with_gaussdb/data_backup/configuring_an_automated_backup_policy_for_instances.rst,Configuring an Automated Backup Policy for Instances,en-us_image_0000002088517922.png,icon,partial,0.77,"The image is a location pin icon, consistent with step 2 which instructs the user to click it to select a region and project. | A location/region selector icon is semantically appropriate for choosing a region in a cloud management console. | The icon is a small, isolated UI symbol with no visible interactive controls or text. | No contradiction between the icon and the surrounding RST text.","The icon is generic and does not show any specific region or project name, so it cannot be verified against a particular console layout."
umn/source/working_with_gaussdb/data_backup/configuring_an_automated_backup_policy_for_instances.rst,Configuring an Automated Backup Policy for Instances,en-us_image_0000002124197217.png,icon,partial,0.77,"The image is a hamburger menu icon (three horizontal lines), consistent with step 3 which instructs the user to click it to open a navigation menu and choose Databases > GaussDB. | A hamburger menu icon is a standard UI symbol for opening a navigation drawer, matching the described action. | The icon is a small, isolated UI symbol with no visible interactive controls or text. | No contradiction between the icon and the surrounding RST text.","The icon is generic and does not show any menu items or labels, so the specific 'Databases > GaussDB' path cannot be visually confirmed from the image alone."
umn/source/working_with_gaussdb/data_backup/creating_a_manual_backup_for_instances.rst,Creating a Manual Backup for Instances,en-us_image_0000002088517922.png,icon,partial,0.77,"The image is a small location pin icon, consistent with its use as a region/project selector in the upper-left corner of the console. | The RST states 'Click |image1| in the upper left corner and select a region and project,' which aligns with a location/region icon. | The icon is a generic location marker, not specific to GaussDB or backup operations, so topic match is moderate. | The visual clearly shows a location pin symbol, providing strong visual evidence for its intended purpose.",No surrounding UI context is visible; the icon is shown in isolation. | No label or text accompanies the icon to confirm it is specifically the region selector.
umn/source/working_with_gaussdb/data_backup/creating_a_manual_backup_for_instances.rst,Creating a Manual Backup for Instances,en-us_image_0000002124197217.png,icon,partial,0.77,"The image is a hamburger menu icon (three horizontal lines), consistent with its use as a navigation menu trigger in the upper-left corner. | The RST states 'Click |image2| in the upper left corner of the page and choose Databases > GaussDB,' which aligns with a menu icon that opens a service list. | The icon is a generic hamburger menu symbol, not specific to GaussDB, so topic match is moderate. | The visual clearly shows three horizontal lines forming a standard menu icon, providing strong visual evidence.",No surrounding UI context is visible; the icon is shown in isolation. | No dropdown or menu content is shown to confirm it leads to 'Databases > GaussDB'.
umn/source/working_with_gaussdb/data_backup/deleting_a_manual_backup.rst,Deleting a Manual Backup,en-us_image_0000002088517922.png,icon,partial,0.77,"The image is a location pin icon, consistent with the RST instruction to 'select a region and project' in step 2. | It is a small symbolic graphic (icon), not a screenshot of the full interface. | The icon is part of the navigation procedure to reach the backup management page, not the core backup-deletion action itself. | No contradiction between the icon's meaning (location/region) and its described use in the RST.",The image does not show the actual management console interface or the region/project selection dropdown. | No surrounding UI context is visible to confirm the exact placement in the upper-left corner.
umn/source/working_with_gaussdb/data_backup/deleting_a_manual_backup.rst,Deleting a Manual Backup,en-us_image_0000002124197217.png,icon,partial,0.77,"The image is a hamburger menu icon (three horizontal lines), consistent with the RST instruction to open a navigation menu and choose 'Databases > GaussDB' in step 3. | It is a small symbolic graphic (icon), not a screenshot of the full interface. | The icon is part of the navigation procedure to reach the GaussDB console, not the core backup-deletion action itself. | No contradiction between the icon's meaning (menu/navigation) and its described use in the RST.",The image does not show the actual navigation menu with 'Databases > GaussDB' options. | No surrounding UI context is visible to confirm the exact placement in the upper-left corner.
umn/source/working_with_gaussdb/data_backup/exporting_backup_information.rst,Exporting Backup Information,en-us_image_0000002088517922.png,icon,partial,0.77,"Image shows a location pin/marker icon, consistent with region selection in step 2 | The RST states 'Click |image1| in the upper left corner and select a region and project' which aligns with a location icon | Icon is a small symbolic graphic used for navigation, not a full screenshot",No visible text or labels in the icon to confirm it specifically represents region selection | Cannot verify it appears in the upper left corner of the actual UI from the icon alone
umn/source/working_with_gaussdb/data_backup/exporting_backup_information.rst,Exporting Backup Information,en-us_image_0000002124197217.png,icon,pass,0.83,"Image shows a hamburger menu icon (three horizontal lines), standard for navigation menus | The RST states 'Click |image2| in the upper left corner of the page and choose Databases > GaussDB' which matches a hamburger menu pattern | Icon is a small symbolic graphic for navigation, not a full screenshot",No visible text or labels in the icon to confirm it leads to Databases > GaussDB specifically | Cannot verify it appears in the upper left corner of the actual UI from the icon alone
