document,title,image,image_type,result,score,reasons,missing_evidence
api-ref/source/before_you_start/basic_concepts.rst,Basic Concepts,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/calling_apis/returned_values.rst,Returned Values,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/getting_started/task_creation_process.rst,Task Creation Process,,,fail,,kein valides Bild,No model result was produced.
umn/source/backup_migration/task_management/editing_migration_task_information.rst,Editing Migration Task Information,en-us_image_0000001710470528.png,icon,pass,1.00,Pencil/edit icon matches the RST description of clicking an edit icon next to information to modify | Standard edit symbol (pencil) is semantically correct for the 'modify' action described in the procedure | Used in the Procedure section step 2 for editing task information,
umn/source/backup_migration/task_management/editing_migration_task_information.rst,Editing Migration Task Information,en-us_image_0000001710630012.png,icon,pass,1.00,Green checkmark icon matches the RST description of clicking to submit a change | Standard confirm/submit symbol (checkmark) is semantically correct for the 'submit the change' action | Used in the Procedure section step 2 for confirming edits to task information,
umn/source/backup_migration/task_management/editing_migration_task_information.rst,Editing Migration Task Information,en-us_image_0000001758429613.png,icon,pass,1.00,Red X icon matches the RST description of clicking to cancel a change | Standard cancel symbol (X) is semantically correct for the 'cancel the change' action | Used in the Procedure section step 2 for canceling edits to task information,
umn/source/faqs/backup_migration/manual_configuration.rst,Manual Configuration,en-us_image_0000001710471044.jpg,screenshot,pass,1.00,"Image shows a query result grid with a 'CreateLogin' column containing CREATE LOGIN statements, matching Figure 1 'Obtaining the script'. | Content aligns with the Login Account step that generates a script to recreate local logins on the destination instance. | Visible SQL matches the script described in the RST (SUSER_ID / CREATE LOGIN with hashed password).",No application window chrome visible; only the result grid is shown.
umn/source/faqs/backup_migration/manual_configuration.rst,Manual Configuration,en-us_image_0000001710630532.jpg,screenshot,pass,1.00,"Object Explorer tree shows Server Objects > Linked Servers expanded with TEST and TEST1, matching Figure 2 'Viewing database links'. | Directly corresponds to the Database Link step instructing to choose Server Objects > Linked Servers. | Highlighted nodes match the described navigation path.",Server name in title bar is partially obscured.
umn/source/faqs/backup_migration/manual_configuration.rst,Manual Configuration,en-us_image_0000001758430137.jpg,screenshot,partial,0.67,"Image shows SQL Server Agent > Jobs list with a 'Script Job as > CREATE To > New Query Editor Window' context menu. | This content matches the Agent JOB script-creation step (RST Figure 5) rather than the Database Link 'Creating the script' step (RST Figure 3) where it is placed. | The figure caption in the RST (Figure 3, DBLink) does not match the visible Jobs/Script Job content, indicating a mismatch.","No Linked Servers context is visible, so it cannot illustrate the DBLink script creation described for Figure 3."
umn/source/faqs/backup_migration/manual_configuration.rst,Manual Configuration,en-us_image_0000001710630536.jpg,screenshot,pass,1.00,"Object Explorer shows SQL Server Agent > Jobs expanded with job entries, matching Figure 4 'Viewing Jobs'. | Corresponds to the Agent JOB step to choose SQL Server Agent > Jobs and locate all jobs. | Highlighted SQL Server Agent and Jobs nodes match the described navigation.",Server name in title bar is partially obscured.
