document,title,image,image_type,result,score,reasons,missing_evidence
api-ref/source/before_you_start/concepts.rst,Concepts,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/calling_apis/response.rst,Response,,,fail,,kein valides Bild,No model result was produced.
umn/source/application_examples/fault_locating.rst,Fault Locating,en-us_image_0000002626350744.png,icon,pass,0.90,"The image is a location pin icon, consistent with the RST instruction to 'Click |image1| in the upper left corner to select the desired region and project.' | The icon is appropriate for a region/project selector in a cloud management console. | It is used in the Procedure section of the Fault Locating document.","The image does not show the full console context, only the isolated icon."
umn/source/application_examples/fault_locating.rst,Fault Locating,en-us_image_0000002626510660.png,icon,pass,0.90,"The image is a hamburger menu icon (three horizontal lines), consistent with the RST instruction to 'Click |image2| in the upper left corner and choose Management & Deployment > Cloud Trace Service.' | A hamburger menu icon is the standard UI element for opening a navigation menu in a management console. | It is used in the Procedure section of the Fault Locating document.","The image does not show the full console context, only the isolated icon."
umn/source/application_examples/fault_locating.rst,Fault Locating,en-us_image_0000002656750035.png,icon,pass,0.90,"The image is a hamburger menu icon (three horizontal lines), consistent with the RST instruction to 'Click |image4| in the upper left corner and choose Management & Deployment > Cloud Trace Service.' | A hamburger menu icon is the standard UI element for opening a navigation menu in a management console. | It is used in the second procedure (ECS server creation fault) in the Procedure section.","The image does not show the full console context, only the isolated icon."
umn/source/application_examples/resource_tracking.rst,Resource Tracking,en-us_image_0000002626350744.png,icon,pass,1.00,The image is a location pin icon. | The RST text instructs to click this icon to select the desired region and project. | A location pin is a standard symbol for region or location selection in cloud management consoles.,
umn/source/application_examples/resource_tracking.rst,Resource Tracking,en-us_image_0000002656750075.png,icon,pass,1.00,The image is a hamburger menu icon (three horizontal lines). | The RST text instructs to click this icon in the upper left corner to choose a service from the menu. | A hamburger menu is a standard symbol for opening a navigation menu.,
umn/source/application_examples/security_auditing.rst,Security Auditing,en-us_image_0000002656750031.png,icon,partial,0.77,"Image is a location pin / map marker pictogram, an isolated symbolic icon. | RST step 2 uses |image1| to 'select the desired region and project', which a location icon appropriately represents. | The icon is consistent with the CTS console navigation procedure and does not contradict the text.","No surrounding UI context is shown; the icon is isolated, so its exact placement in the console cannot be verified."
umn/source/application_examples/security_auditing.rst,Security Auditing,en-us_image_0000002656750027.png,icon,partial,0.77,"Image is a three-line hamburger menu pictogram, an isolated symbolic icon. | RST step 3 uses |image2| to open the menu and choose 'Management & Deployment > Cloud Trace Service', which a hamburger menu icon appropriately represents. | The icon is consistent with the CTS console navigation procedure and does not contradict the text.","No surrounding UI context is shown; the icon is isolated, so its exact placement in the console cannot be verified."
umn/source/configuring_key_event_notifications.rst,Configuring Key Event Notifications,en-us_image_0000002656630097.png,icon,partial,0.77,"Image is a hamburger menu icon (three horizontal lines), a standard navigation symbol | RST references it as the button to click in the upper left corner to access Management & Deployment > Cloud Trace Service | It is a generic UI navigation element, not specific to key event notifications | The icon is consistent with the described action of opening a navigation menu",No specific CTS branding or context visible in the icon itself | Cannot confirm it is specifically the upper-left menu button of the Huawei Cloud console from the icon alone
