document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/public_parameters/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/faqs/message_sending/what_can_i_do_when_pictures_in_an_email_message_cannot_be_displayed.rst,What Can I Do When Pictures in an Email Message Cannot Be Displayed?,/home/ubuntu/repotesting/simple-message-notification/umn/source/_static/images/en-us_image_0000001509822909.png,substitution_image,32,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Image displays the Trust Center window in Outlook, matching step 3. | The Automatic Download tab is clearly selected, aligning with the text description.",
umn/source/faqs/message_sending/what_can_i_do_when_pictures_in_an_email_message_cannot_be_displayed.rst,What Can I Do When Pictures in an Email Message Cannot Be Displayed?,/home/ubuntu/repotesting/simple-message-notification/umn/source/_static/images/en-us_image_0000001507929213.png,substitution_image,33,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Image highlights the exact checkbox mentioned in step 4 to be deselected. | The OK button is highlighted, corresponding to the final action in step 4.",
umn/source/message_template_management/creating_a_message_template.rst,Creating a Message Template,/home/ubuntu/repotesting/simple-message-notification/umn/source/_static/images/en-us_image_0000002624784058.png,figure,33,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image shows the 'Create Message Template' dialog box described in the RST. | It contains the expected fields: Template Name, Protocol, and Content. | The OK button is magenta, complying with the UI guidelines.",
umn/source/message_template_management/creating_a_message_template.rst,Creating a Message Template,/home/ubuntu/repotesting/simple-message-notification/umn/source/_static/images/en-us_image_0151546390.png,substitution_image,87,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,The image displays a location pin icon. | This matches the RST instruction to click the icon to select a region and project.,
umn/source/message_template_management/creating_a_message_template.rst,Creating a Message Template,/home/ubuntu/repotesting/simple-message-notification/umn/source/_static/images/en-us_image_0000002628919572.png,substitution_image,88,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,The image shows a save icon (floppy disk). | This corresponds to the RST step to click the icon to save filter criteria as a quick filter set.,
umn/source/message_template_management/modifying_a_message_template.rst,Modifying a Message Template,/home/ubuntu/repotesting/simple-message-notification/umn/source/_static/images/en-us_image_0151546390.png,substitution_image,32,icon,False,False,False,,2,2,2,2,3,0.72,partial,,200,completed,1,"The image displays a location pin icon, which directly corresponds to the procedure step for selecting a region and project.",
umn/source/overview/region_and_az.rst,Region and AZ,/home/ubuntu/repotesting/simple-message-notification/umn/source/_static/images/en-us_image_0184026531.png,figure,20,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,The image is a schematic diagram illustrating the relationship between regions and availability zones (AZs). | It visually represents the RST concept that a region contains one or more physically isolated but interconnected AZs. | The diagram directly corresponds to the figure caption and the explanatory text in the 'Concept' section.,
umn/source/permissions_management/creating_a_user_and_granting_smn_permissions.rst,Creating a User and Granting SMN Permissions,/home/ubuntu/repotesting/simple-message-notification/umn/source/_static/images/en-us_image_0000001569113488.png,figure,30,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image is a flowchart that visually represents the exact three-step process described in the document for granting SMN ReadOnlyAccess permissions. | The steps in the flowchart (Create user group, Create IAM user, Log in and verify) match the numbered list in the RST text perfectly.",
umn/source/subscription_management/adding_a_subscription.rst,Adding a Subscription,/home/ubuntu/repotesting/simple-message-notification/umn/source/_static/images/en-us_image_0000002655065061.png,figure,35,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Clearly shows the 'Add Subscription' dialog box described in step 5. | Contains all relevant fields (Topic Name, Protocol, Endpoint, Filter Policy) and a magenta 'OK' button.",
umn/source/subscription_management/adding_a_subscription.rst,Adding a Subscription,/home/ubuntu/repotesting/simple-message-notification/umn/source/_static/images/en-us_image_0151546390.png,substitution_image,144,icon,False,False,False,,3,2,3,2,3,0.88,pass,,200,completed,1,"Corresponds to the region selector icon referenced in step 2. | Low resolution makes precise visual identification difficult, but context matches.","Icon is blurry, limiting detailed visual verification."
umn/source/subscription_management/adding_a_subscription.rst,Adding a Subscription,/home/ubuntu/repotesting/simple-message-notification/umn/source/_static/images/en-us_image_0000002659278785.png,substitution_image,145,icon,False,False,False,,3,2,3,2,3,0.88,pass,,200,completed,1,"Corresponds to the 'Save as Quick Filter Set' icon referenced in step 6. | Low resolution makes precise visual identification difficult, but context matches a save action.","Icon is blurry, limiting detailed visual verification."
umn/source/subscription_management/deleting_a_subscription.rst,Deleting a Subscription,/home/ubuntu/repotesting/simple-message-notification/umn/source/_static/images/en-us_image_0151546390.png,substitution_image,64,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays a location pin icon, which aligns with the text instruction to click an icon to select a region and project. | It serves as a visual aid for the initial step in the subscription deletion process.",
umn/source/subscription_management/editing_a_subscription.rst,Editing a Subscription,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/subscription_management/exporting_subscriptions.rst,Exporting Subscriptions,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/subscription_management/requesting_subscription_confirmation.rst,Requesting Subscription Confirmation,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/topic_management/adding_a_subscription_to_a_topic.rst,Adding a Subscription to a Topic,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/topic_management/adding_modifying_or_deleting_a_topic_tag.rst,"Adding, Modifying, or Deleting a Topic Tag",,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/topic_management/configuring_a_topic_policy.rst,Configuring a Topic Policy,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/topic_management/creating_a_topic.rst,Creating a Topic,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/topic_management/deleting_a_topic.rst,Deleting a Topic,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/topic_management/exporting_topics.rst,Exporting Topics,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/topic_management/modifying_the_display_name_of_a_topic.rst,Modifying the Display Name of a Topic,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/topic_management/publishing_a_message/publishing_a_json_message.rst,Publishing a JSON Message,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/topic_management/publishing_a_message/publishing_a_template_message.rst,Publishing a Template Message,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/topic_management/publishing_a_message/publishing_a_text_message.rst,Publishing a Text Message,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
