document,title,image,image_type,result,score,reasons,missing_evidence
doc/dev-guide/source/request_format/index.rst,Request Format,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/request_format/request_example.rst,Request Example,,,fail,,kein valides Bild,No model result was produced.
umn/source/audit_using_cts/viewing_traces.rst,Viewing Traces,en-us_image_0000001744598325.png,screenshot,pass,1.00,"Image shows the CTS Trace List filter panel with Trace Type, Trace Source, Resource Type, Search By, Operator, and Trace Status fields. | Matches Figure 1 'Filters' and Table 1 trace filtering parameters described in the RST. | Time range options (Last 1 hour, Last 1 day, Last 1 week, Customize) and Query/Reset/Export buttons align with steps 3-5.",
umn/source/audit_using_cts/viewing_traces.rst,Viewing Traces,en-us_image_0000002359774578.png,icon,partial,0.77,"Image is a hamburger menu icon (three horizontal bars), used in step 1 as the menu to open Management & Deployment > Cloud Trace Service. | It is an isolated UI symbol rather than a full interface screenshot. | Relevant to the login/navigation step but does not show trace-specific content.",No surrounding console UI is visible to confirm the exact menu location.
umn/source/audit_using_cts/viewing_traces.rst,Viewing Traces,en-us_image_0000001696678850.png,icon,pass,0.90,"Image is a circular refresh/reload arrow icon. | Matches step 6 where the user clicks the refresh icon to view the latest trace information. | It is an isolated symbol, not a full screenshot.",No surrounding Trace List page is shown to confirm placement.
umn/source/audit_using_cts/viewing_traces.rst,Viewing Traces,en-us_image_0000001744678489.jpg,icon,pass,0.90,"Image is a downward chevron/arrow icon. | Matches step 7 where the user clicks the expand arrow on the left of a trace to expand its details. | It is an isolated symbol, not a full screenshot.",No surrounding trace row is shown to confirm the expand control context.
umn/source/audit_using_cts/viewing_traces.rst,Viewing Traces,en-us_image_0000001942942816.png,screenshot,pass,1.00,"Image shows the Trace List table with columns Trace Name, Resource Type, Trace Source, Resource ID, Resource Name, Trace Status, Operator, Operation Time, Operation. | An expanded trace row displays detail fields (trace_id, code, trace_name, resource_type, trace_rating, message, source_ip, domain_id, trace_type), matching step 7. | A 'View Trace' link in the Operation column matches step 8.",
umn/source/audit_using_cts/viewing_traces.rst,Viewing Traces,en-us_image_0000001758618249.png,screenshot,pass,1.00,"Image shows a 'View Trace' dialog displaying the trace details as JSON (request, trace_id, code, trace_name, resource_type, trace_rating, message, source_ip, domain_id, trace_type, service_type, etc.). | Matches step 8 where clicking View Trace displays the trace details. | The JSON structure aligns with the trace structure referenced in the Helpful Links section.",
umn/source/backup_using_cbr/backing_up_an_ecs.rst,Backing Up an ECS,en-us_image_0000002188678994.png,icon,partial,0.77,"The image is a small location pin icon, consistent with its use in the RST as a region/project selector in the upper-left corner of the management console. | It is referenced in both the ECS Backup Procedure (step 2) and the EVS Disk Backup Procedure (step 2) for selecting a region and project. | The icon is clearly visible and identifiable as a location/region pin symbol. | No contradictions between the image content and the RST description.","The icon is very small and low-resolution, making fine details hard to discern. | No surrounding UI context is visible to confirm it is specifically the region selector in the OTC console."
umn/source/backup_using_cbr/backing_up_an_ecs.rst,Backing Up an ECS,en-us_image_0000001128656892.png,icon,partial,0.77,"The image is a small downward chevron/arrow icon, consistent with its use in the RST as a clickable element to expand and view disks attached to ECSs. | It is referenced in the EVS Disk Backup Procedure under the 'Server List' field for viewing attached disks. | The chevron shape is a common UI convention for expanding/collapsing a list, matching the 'view the disks' context. | No contradictions between the image content and the RST description.","The icon is very small and low-resolution, making fine details hard to discern. | No surrounding UI context is visible to confirm it is specifically the disk-expansion control in the backup configuration dialog."
