document,title,image,image_type,result,score,reasons,missing_evidence
api-ref/source/api_reference_enterprise_edition_vpn/before_you_start.rst,Before You Start,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/api_reference_enterprise_edition_vpn/calling_apis/response.rst,Response,,,fail,,kein valides Bild,No model result was produced.
umn/source/administrator_guide/configuring_vpn_when_fortinet_fortigate_firewall_is_used.rst,Configuring VPN When Fortinet FortiGate Firewall Is Used,en-us_image_0000001970660305.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/administrator_guide/configuring_vpn_when_fortinet_fortigate_firewall_is_used.rst,Configuring VPN When Fortinet FortiGate Firewall Is Used,en-us_image_0000001542493866.jpg,screenshot,pass,1.00,"Image is a UI panel titled 'Policy Details' showing IKE Policy and IPsec Policy fields, matching Figure 2 referenced in the RST for configuring VPN connection policies. | Values (SHA1, AES-128, Group 5, ESP, lifecycles 86400/3600) align with the CLI configuration in the RST (aes128-sha1, dhgrp 5, keylifeseconds 3600). | The panel is directly tied to the 'Topology Connection' section where Figure 2 is cited for cloud-side VPN policy configuration. | Text is clearly legible and provides concrete visual evidence of the policy parameters described in the document. | No visible contradiction between the image content and the RST description.","The image does not show the remote gateway IP (22.22.22.22) or subnet values, which are only present in the CLI section. | No indication of which cloud console or product the panel belongs to."
umn/source/faqs/s2c_classic_vpn/what_are_the_differences_between_the_application_scenarios_and_connection_modes_of_ipsec_and_ssl_vpns.rst,What Are the Differences Between the Application Scenarios and Connection Modes of IPsec and SSL VPNs?,en-us_image_0000001542174462.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/faqs/s2c_classic_vpn/what_is_the_vpn_quota.rst,What Is the VPN Quota?,en-us_image_0000001542334238.png,icon,partial,0.72,"The image is a small location pin icon, consistent with its use in step 2 for selecting region and project. | A location pin is a standard UI symbol for region/area selection, matching the RST description. | The icon is used in the 'How Do I View My Quota?' section as part of navigation steps. | The visual clearly shows a map pin shape, appropriate for region selection.","The icon is very small and low-resolution, making it hard to confirm exact styling details. | No surrounding UI context is visible to confirm it appears in the upper left corner of a console."
umn/source/faqs/s2c_classic_vpn/what_is_the_vpn_quota.rst,What Is the VPN Quota?,en-us_image_0000001592574041.png,icon,partial,0.78,"The image is a small bar chart icon, consistent with its use as the 'My Quotas' icon in step 3. | A bar chart is a reasonable visual metaphor for quota/usage metrics. | The icon is directly referenced in the 'How Do I View My Quota?' section for accessing the Service Quota page. | The visual shows three vertical bars of decreasing height, a common representation for data/usage metrics.","The icon is very small and low-resolution, making exact styling details unclear. | No surrounding UI context is visible to confirm it appears in the upper right corner of a console. | The RST labels it as the 'My Quotas' icon, but the bar chart shape is a generic metrics symbol rather than a quota-specific symbol."
umn/source/getting_started/s2c_classic_vpn/creating_a_vpn.rst,Creating a VPN,en-us_image_0000001592573989.png,other,pass,1.00,"Diagram shows IPsec VPN topology with VPC and Data center on either side | Subnets 192.168.1.0/24, 192.168.2.0/24 (VPC) and 192.168.3.0/24, 192.168.4.0/24 (Data center) match the RST exactly | VPN tunnel labeled 'IPsec VPN' connects the two routers | Matches Figure 1 caption in the RST",
umn/source/getting_started/s2c_classic_vpn/creating_a_vpn.rst,Creating a VPN,en-us_image_0000001542334190.png,screenshot,pass,1.00,"Screenshot of a VPN list table showing the Local Gateway column with IP 46.29.103.83 | Matches Figure 2 'Gateway IP address' referenced in the RST procedure | The RST states a public IP is assigned to the VPN as the local gateway address, which is what the screenshot highlights | Contains interactive links: View Policy, Modify, Delete",
umn/source/getting_started/s2c_classic_vpn/creating_a_vpn.rst,Creating a VPN,en-us_image_0000001592773969.png,icon,partial,0.72,Small location pin / map marker icon | Referenced as |image1| in the RST for selecting region and project | Generic icon consistent with a region selector in a cloud console,"Icon is very small and low-resolution, making fine details hard to discern"
