document,title,image,image_type,result,score,reasons,missing_evidence
doc/best-practice/source/best_practices/migrating_container_images/migrating_images_to_swr_using_image-syncer.rst,Migrating Images to SWR Using image-syncer,,,fail,,kein valides Bild,No model result was produced.
doc/best-practice/source/best_practices/migrating_container_images/synchronizing_images_across_clouds_from_harbor_to_swr.rst,Synchronizing Images Across Clouds from Harbor to SWR,,,fail,,kein valides Bild,No model result was produced.
doc/best-practice/source/faqs/general_faqs/about_swr.rst,About SWR,en-us_image_0000001539405909.png,screenshot,pass,1.00,"The image is a terminal screenshot showing JSON output from a docker inspect command. | The 'architecture': 'amd64' field is highlighted with a red box, directly illustrating how to query the CPU architecture of an image. | This matches the RST section 'Does SWR Support Querying the CPU Architecture (x86 or Arm) of an Image?' which references docker inspect. | The figure caption 'Example' in the RST aligns with the example output shown.","The exact command (e.g., docker inspect openjdk:7) is not visible in the cropped output, only the resulting JSON is shown."
doc/best-practice/source/faqs/general_faqs/how_do_i_create_a_container_image.rst,How Do I Create a Container Image?,en-us_image_0165153802.png,other,fail,0.00,Local color check detected #3298ff.,
doc/best-practice/source/faqs/general_faqs/how_do_i_create_a_container_image.rst,How Do I Create a Container Image?,en-us_image_0165153805.png,other,fail,0.00,Local color check detected #3298ff.,
doc/best-practice/source/faqs/troubleshooting/why_does_the_login_command_fail_to_be_executed.rst,Why Does the Login Command Fail to Be Executed?,en-us_image_0168961239.png,icon,pass,0.90,"The image is a small copy icon (two overlapping squares), matching the RST reference |image1| used to copy the login command. | It appears in the step describing how to obtain a temporary login command, consistent with the surrounding text. | The icon visually represents a copy action, aligning with 'click |image1| to copy the command'. | No contradiction between the image and the document text.","The image is a generic copy symbol without surrounding UI context, so the exact button label is not visible. | No additional text or interface elements are present to confirm the specific SWR console layout."
doc/best-practice/source/image_management/obtaining_a_long-term_valid_login_command.rst,Obtaining a Long-Term Valid Login Command,en-us_image_0000001539605245.png,other,pass,1.00,"The flowchart shows five sequential steps that exactly match the procedure described in the RST: obtain programmatic access permission, obtain region/project/image repository address, obtain AK/SK, obtain login key by running commands, and combine information to generate a login command. | This is Figure 1 'Process' referenced directly in the RST as the overview of the long-term valid login command process. | The diagram is a process flowchart (not a screenshot or icon), correctly classified as 'other'.",
doc/best-practice/source/image_management/obtaining_a_long-term_valid_login_command.rst,Obtaining a Long-Term Valid Login Command,en-us_image_0165729699.png,screenshot,pass,1.00,"The terminal screenshot shows the exact command pipeline described in step 4: printf | openssl dgst -binary -sha256 -hmac | od -An -vtx1 | sed 's/[ \n]//g' | sed 'N;s/\n//'. | The output '9655 0822b310' is highlighted in red, representing the login key result. | This is Figure 2 'Sample command output' directly referenced in the RST for step 4. | The terminal interface with prompt 'root@ecs-' confirms it is a Linux PC screenshot as described.",
doc/best-practice/source/image_management/obtaining_a_long-term_valid_login_command.rst,Obtaining a Long-Term Valid Login Command,en-us_image_0000001507688112.png,icon,pass,0.88,"The image is a small location/map pin icon, consistent with a region selector in a management console. | Referenced as |image1| in step 1b: 'Click |image1| in the upper left corner and select a region and a project.' | The icon is very small and low-resolution, making fine details difficult to discern. | A location pin is a standard UI symbol for region/area selection, matching the context.",The icon is very small and blurry; exact visual details of the icon design are unclear.
doc/best-practice/source/image_management/obtaining_a_long-term_valid_login_command.rst,Obtaining a Long-Term Valid Login Command,en-us_image_0000001558527697.png,icon,pass,0.88,"The image shows three horizontal lines (hamburger menu icon), a standard navigation toggle symbol. | Referenced as |image2| in step 1c: 'Click |image2| in the navigation pane on the left and choose Management & Governance > Identity and Access Management.' | A hamburger menu icon is consistent with opening a navigation pane in a management console. | The icon is very small and low-resolution, limiting visual detail assessment.",The icon is very small and blurry; exact rendering details are unclear.
doc/best-practice/source/image_management/pulling_an_image.rst,Pulling an Image,,,fail,,kein valides Bild,No model result was produced.
doc/best-practice/source/image_management/setting_image_attributes.rst,Setting Image Attributes,,,fail,,kein valides Bild,No model result was produced.
doc/best-practice/source/image_management/sharing_private_images.rst,Sharing Private Images,,,fail,,kein valides Bild,No model result was produced.
doc/best-practice/source/image_management/uploading_an_image_through_the_client.rst,Uploading an Image Through the Client,,,fail,,kein valides Bild,No model result was produced.
doc/best-practice/source/organization_management.rst,Organization Management,en-us_image_0000001154801774.png,other,fail,0.00,Local color check detected #3298ff.,
doc/best-practice/source/overview.rst,Overview,en-us_image_0000001200587685.png,other,fail,0.00,Local color check detected #3298ff.,
doc/best-practice/source/permissions_management/creating_a_user_and_granting_swr_permissions.rst,Creating a User and Granting SWR Permissions,en-us_image_0000001127297210.png,other,fail,0.00,Local color check detected #3298ff.,
doc/best-practice/source/service_overview/application_scenarios.rst,Application Scenarios,en-us_image_0294353976.png,other,fail,0.00,Local color check detected #3298ff.,
doc/best-practice/source/service_overview/basic_concepts.rst,Basic Concepts,en-us_image_0195122694.png,other,fail,0.00,Local color check detected #3298ff.,
doc/best-practice/source/service_overview/introduction.rst,Introduction,en-us_image_0000001200534503.png,other,pass,1.00,"The image is a three-step flow diagram (Create Organization, Create Image, Deploy Application) that directly matches the RST figure caption 'Figure 1 How SWR works'. | The steps align with the introduction's description of SWR managing the full lifecycle of container images and facilitating deployment. | Each step includes a short explanatory line and a hyperlink, consistent with a how-it-works overview in the Introduction section. | No visible contradiction between the diagram content and the RST text.",The diagram does not explicitly show the CCE integration or independent repository modes mentioned in the RST. | No visual detail on access control or pull acceleration features described in the Features section.
doc/best-practice/source/service_overview/related_services.rst,Related Services,en-us_image_0196304259.png,other,fail,0.00,Local color check detected #3298ff.,
