document,title,image,image_type,result,score,reasons,missing_evidence
api-ref/source/before_you_start.rst,Before You Start,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/calling_apis/authentication.rst,Authentication,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/calling_apis/response.rst,Response,,,fail,,kein valides Bild,No model result was produced.
umn/source/api_management/cors.rst,CORS,en-us_image_0000001176135930.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/api_management/cors.rst,CORS,en-us_image_0000001538755042.png,screenshot,pass,1.00,"The image is a UI form screenshot showing URL, Method, Protocol, Subdomain Name, and Path fields, matching Figure 2 'Defining the API request'. | Method dropdown shows OPTIONS and Path shows '/', consistent with the RST instructions for the preflight OPTIONS API. | Red highlight boxes emphasize the Method, Protocol, and Path fields, aligning with the step-by-step configuration described in the document. | The screenshot belongs to the 'Configuring CORS' / Not-So-Simple Request section, so it is topically and sectionally relevant.","The Method dropdown value is truncated ('OPTIO...') and the Subdomain Name value is partially cut off, so full values are not fully visible. | No explicit label 'Figure 2' is visible within the image itself; the caption is provided only in the RST."
umn/source/api_management/creating_an_api.rst,Creating an API,en-us_image_0000001357603381.png,screenshot,pass,1.00,"Image is a UI screenshot of the 'Parameter Orchestration' / 'Backend Parameters' panel, matching Figure 1 'Configuring backend parameters'. | The table shows request parameters test01 (PATH), test03 (QUERY), test02 (HEADER) mapped to backend locations HEADER, HEADER, PATH, exactly as described in the RST step 2.b. | Columns (Request Parameter Name/Location/Type, Backend Parameter Name/Location, Operation) align with the backend parameter mapping procedure. | No contradiction between the visible mappings and the textual example (test01=aaa, test02=bbb, test03=ccc).","The screenshot does not show the surrounding page context (e.g., API name or step number), but the content is sufficient to confirm relevance."
umn/source/api_management/creating_an_api.rst,Creating an API,en-us_image_0000001176584542.png,icon,pass,0.93,"Image is a small circular plus (+) icon, used in the RST as |image1| for 'Click |image1| to add a backend policy'. | The plus symbol semantically matches the 'add' action described in the backend policy step. | It is an isolated UI symbol, consistent with the icon classification.","The icon alone does not show the surrounding backend policy form or labels, so detail context is limited to the add action."
umn/source/api_management/creating_an_environment_variable.rst,Creating an Environment Variable,en-us_image_0000001178542512.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/api_policies/circuit_breaker.rst,Circuit Breaker,en-us_image_0000001214314084.png,icon,pass,0.83,"The image is a small pencil/edit icon, an isolated UI symbol. | The RST references this image (|image1|) in the Rules parameter as the control to click in order to set condition expressions. | The edit/pencil glyph semantically matches the 'set condition expressions' action described in the text. | The icon appears in the Circuit Breaker policy parameter table, consistent with the document topic.",Only the isolated icon is shown; no surrounding form or UI context is visible. | No text label or tooltip is present in the image to confirm its exact function.
umn/source/api_policies/custom_authorizers.rst,Custom Authorizers,en-us_image_0000001176294490.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/api_policies/load_balance_channels.rst,Load Balance Channels,en-us_image_0000001278830029.png,other,pass,1.00,"The diagram illustrates the load balance channel concept described in the RST: API Gateway accessing ECSs through a VPC channel. | Six ECS instances are shown (ECS 01–ECS 06), matching the RST example of six deployed ECSs. | ECS 01 and ECS 04 are highlighted with dashed borders, matching the RST statement that the channel reaches ECS 01 and ECS 04. | The VPC channel label and VPC boundary are clearly visible, consistent with the RST description of subnets in VPCs. | The figure caption in the RST ('Accessing ECSs in a load balance channel through APIG') accurately describes the image content.","No specific subnet or IP address details are shown in the diagram, but the RST does not require them at this level of illustration."
umn/source/api_policies/load_balance_channels.rst,Load Balance Channels,en-us_image_0000001418236376.png,screenshot,pass,0.95,"The screenshot shows the Microservice configuration form with CCE type, matching step 7 of the RST. | All fields from Table 4 are visible: Microservice Type (CCE), Cluster, Namespace, Workload Type (Deployment), and app label (app01). | The Server Groups table matches Table 5 parameters: Server Group Name, Weight, Backend Service Port, Workload Name, Tag, and Operation. | The Tag field shows 'version=v1', consistent with the RST example of using version tag to identify workloads. | The 'Add Server Group' button is visible, matching the RST instruction to click Add Server Group. | Minor contradiction: RST says 'View CCE Console' but the image shows 'View CCE Workloads' next to the Cluster field.","The RST mentions 'View CCE Console' but the screenshot shows 'View CCE Workloads', a slight naming discrepancy. | No health check configuration section is visible in this screenshot, though the RST references it as a follow-up step."
