document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
umn/source/asset_management/container_management/managing_swr_shared_images.rst,Managing SWR Shared Images,/home/ubuntu/repotesting/host-security-service/umn/source/_static/images/en-us_image_0000002051201908.png,figure,35,screenshot,True,False,True,"Interactive UI tabs are gray, not magenta or plain white, and no magenta elements are present.",3,3,3,3,3,1.00,fail,,200,completed,1,"The screenshot clearly shows the 'Container Images' and 'Shared Images (SWR)' tabs, matching the RST instructions.",
umn/source/asset_management/server_management/deploying_a_protection_policy.rst,Deploying a Protection Policy,/home/ubuntu/repotesting/host-security-service/umn/source/_static/images/en-us_image_0000001711848916.png,figure,32,screenshot,True,False,True,"Screenshot contains interactive buttons (e.g., 'Copy') that are blue, not magenta or plain white, with no other magenta elements.",3,3,3,3,3,1.00,fail,,200,completed,1,Image shows the 'Policy Groups' table with the 'Copy' button highlighted for a Linux policy group. | Matches the RST instruction to copy a policy group.,
umn/source/asset_management/server_management/deploying_a_protection_policy.rst,Deploying a Protection Policy,/home/ubuntu/repotesting/host-security-service/umn/source/_static/images/en-us_image_0000001759608337.png,figure,40,screenshot,True,False,True,"Screenshot contains interactive buttons (e.g., 'Copy') that are blue, not magenta or plain white, with no other magenta elements.",3,3,3,3,3,1.00,fail,,200,completed,1,Image shows the 'Policy Groups' table with the 'Copy' button highlighted for a Windows policy group. | Matches the RST instruction to copy a policy group.,
umn/source/asset_management/server_management/deploying_a_protection_policy.rst,Deploying a Protection Policy,/home/ubuntu/repotesting/host-security-service/umn/source/_static/images/en-us_image_0000001735592904.png,figure,63,screenshot,True,False,True,"Screenshot contains interactive buttons (e.g., 'Enabled'/'Disabled' in Operation column) that are blue, not magenta or plain white, with no other magenta elements.",3,3,3,3,3,1.00,fail,,200,completed,1,Image shows the policy group details table listing various policies and their statuses. | Matches the RST instruction to view policies in the group.,
umn/source/faqs/abnormal_logins/how_do_i_check_the_user_ip_address_of_a_remote_login.rst,How Do I Check the User IP address of a Remote Login?,/home/ubuntu/repotesting/host-security-service/umn/source/_static/images/en-us_image_0000001911435370.png,figure,42,screenshot,True,False,True,"Interactive buttons (OK, Cancel) are not magenta or plain white, and no magenta elements are present.",3,3,3,3,3,1.00,fail,,200,completed,1,"The image accurately depicts the 'Filter Current Log' dialog in Windows Event Viewer, matching the RST instructions for step 5.",
umn/source/proactive_defense/wtp/configuring_remote_backup.rst,Configuring Remote Backup,/home/ubuntu/repotesting/host-security-service/umn/source/_static/images/en-us_image_0000001620839122.png,figure,57,screenshot,True,False,True,"Interactive button 'Add Backup Server' is not magenta or plain white, and no other magenta buttons or text are visible in the image.",2,2,2,2,3,0.72,fail,,200,completed,1,The image shows the correct 'Manage Remote Backup Servers' page and highlights the 'Add Backup Server' button. | Fails the mandatory color compliance rule for interactive buttons as the button is not magenta or plain white and lacks other magenta elements.,
umn/source/security_operations/policy_management/creating_a_custom_policy_group.rst,Creating a Custom Policy Group,/home/ubuntu/repotesting/host-security-service/umn/source/_static/images/en-us_image_0000001816051597.png,figure,54,screenshot,True,False,True,"Interactive button 'Copy' is blue, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,"The image displays the policy group management table. | It visually corresponds to step 4, highlighting the 'Copy' action. | The 'Copy' button is blue, which violates the color constraint for interactive buttons.",None.
umn/source/security_report/security_report/checking_a_security_report.rst,Checking a Security Report,/home/ubuntu/repotesting/host-security-service/umn/source/_static/images/en-us_image_0000001621481094.png,figure,55,screenshot,True,False,True,"Interactive buttons (Download links) are blue, not magenta or plain white, and no other magenta elements are present.",3,3,3,3,3,1.00,fail,,200,completed,2,Screenshot matches Figure 2 and Table 1 description of report history. | Hard fail triggered due to non-magenta/white interactive buttons.,
umn/source/viewing_cts_traces_in_the_trace_list.rst,Viewing CTS Traces in the Trace List,/home/ubuntu/repotesting/host-security-service/umn/source/_static/images/en-us_image_0000001942942816.png,substitution_image,124,screenshot,True,False,True,"Interactive button 'View Trace' is blue, not magenta or white, and no other magenta buttons or text are visible.",3,3,3,3,3,1.00,fail,,200,completed,1,"Image shows expanded trace details as described in the RST. | Interactive button 'View Trace' is blue, violating the color rule for screenshots.",
umn/source/viewing_cts_traces_in_the_trace_list.rst,Viewing CTS Traces in the Trace List,/home/ubuntu/repotesting/host-security-service/umn/source/_static/images/en-us_image_0000001942777100.png,substitution_image,125,screenshot,True,False,True,"Interactive button 'View Trace' is orange, not magenta or white, and no other magenta buttons or text are visible.",3,3,3,3,3,1.00,fail,,200,completed,1,"Image shows expanded trace details as described in the RST. | Interactive button 'View Trace' is orange, violating the color rule for screenshots.",
umn/source/viewing_cts_traces_in_the_trace_list.rst,Viewing CTS Traces in the Trace List,/home/ubuntu/repotesting/host-security-service/umn/source/_static/images/en-us_image_0000001758618249.png,substitution_image,126,screenshot,True,False,True,"Interactive close button is black, not magenta or white, and no other magenta buttons or text are visible.",3,3,3,3,3,1.00,fail,,200,completed,1,"Image shows the 'View Trace' modal with JSON details as described in the RST. | Interactive close button is black, violating the color rule for screenshots.",
