document,title,image,image_type,result,score,reasons,missing_evidence
api-ref/source/api_usage_guidelines.rst,API Usage Guidelines,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/appendix/attaching_disks_to_a_node.rst,Attaching Disks to a Node,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/appendix/creating_a_vpc_and_subnet.rst,Creating a VPC and Subnet,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/appendix/how_to_obtain_parameters_in_the_api_uri.rst,How to Obtain Parameters in the API URI,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/appendix/obtaining_the_account_id.rst,Obtaining the Account ID,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/appendix/space_allocation_of_a_data_disk.rst,Space Allocation of a Data Disk,,,fail,,kein valides Bild,No model result was produced.
umn/source/add-ons/add-on_upgrade_checks/checks_before_an_nginx_ingress_controller_upgrade.rst,Checks Before an NGINX Ingress Controller Upgrade,en-us_image_0000002516079437.png,screenshot,pass,1.00,"Image shows terminal output of 'openssl rsa -in server.key -noout -text' command displaying an RSA Private-Key of 1024 bit, 2 primes | The red box highlights the key length line, directly illustrating an RSA key that does NOT meet the 2048-bit minimum requirement for security level 2 | This matches the RST section on RSA key length requirements under Certificate Key Length | The command and output format align with the openssl command described in the RST solution steps",No additional context beyond the terminal output is visible
umn/source/add-ons/add-on_upgrade_checks/checks_before_an_nginx_ingress_controller_upgrade.rst,Checks Before an NGINX Ingress Controller Upgrade,en-us_image_0000002516199433.png,screenshot,pass,1.00,"Image shows terminal output of 'openssl dsa -in dsa_private_key.pem -noout -text' command displaying a DSA Private-Key of 256 bit | The red box highlights the key length line, directly illustrating a DSA key that does NOT meet the 2048-bit minimum requirement for security level 2 | This matches the RST section on DSA key length requirements under Certificate Key Length | The command and output format align with the openssl command described in the RST solution steps",No additional context beyond the terminal output is visible
umn/source/add-ons/add-on_upgrade_checks/general_check_items.rst,General Check Items,en-us_image_0000002484119160.png,screenshot,pass,1.00,"Image shows a YAML code viewer with line numbers displaying a Kubernetes pod status field | The highlighted fields (phase: Running, Ready status: 'True', ready: true for coredns) exactly match the RST instructions in step 3b | The container name 'coredns' matches the RST statement 'The CoreDNS add-on is used as an example' | Red boxes highlight the three specific fields the RST instructs the user to verify | The YAML structure (status, conditions, containerStatuses) aligns with the described check procedure","No visible UI chrome (navigation pane, tabs) to confirm this is the CCE console specifically | The full pod name is not visible, only the container name 'coredns' is shown"
umn/source/add-ons/add-on_upgrade_checks/general_check_items.rst,General Check Items,en-us_image_0000002516199131.png,screenshot,pass,1.00,Image shows a YAML code viewer with line numbers displaying a Service status field | The structure status.loadBalancer.ingress with non-empty IP values directly matches the RST statement 'The value of status.loadBalancer.ingress is not empty' | The presence of VIP ipMode entries is consistent with a LoadBalancer Service in a cloud environment | This corresponds to step 4b in the RST which uses NGINX Ingress Controller as an example for checking LoadBalancer Service status,No visible UI chrome to confirm this is the CCE console | The Service name is not visible in the cropped view | One IP address appears partially redacted/blurred
umn/source/add-ons/cloud_native_ai_add-ons/cce_ai_suite_nvidia_gpu.rst,CCE AI Suite (NVIDIA GPU),en-us_image_0000002516079373.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/add-ons/cloud_native_ai_add-ons/cce_ai_suite_nvidia_gpu.rst,CCE AI Suite (NVIDIA GPU),en-us_image_0000002516199373.png,screenshot,pass,1.00,"Image is Figure 2 'Selecting parameters' showing the NVIDIA Manual Driver Search page | Displays dropdowns for Data Center/Tesla, V-Series, Tesla V100, Linux 64-bit (highlighted), Any CUDA Toolkit Version, English (US) | Matches RST step 3: 'Log in to the NVIDIA driver download page and search for driver information. The OS must be Linux 64-bit.' | The red highlight on Linux 64-bit aligns with the RST emphasis on selecting Linux 64-bit OS",
umn/source/add-ons/cloud_native_ai_add-ons/cce_ai_suite_nvidia_gpu.rst,CCE AI Suite (NVIDIA GPU),en-us_image_0000002483959410.png,screenshot,pass,1.00,"Image is Figure 3 'Viewing the driver information' showing the Data Center Driver for Linux x64 page | Displays Driver Version 535.161.08, CUDA Toolkit 12.2, Release Date 2024-3-18, File Size 341.82 MB | The View button is highlighted in red, matching RST step 4: 'find the driver to be downloaded and click View' | Consistent with the 'Obtaining a Driver Link from the Internet' section",
umn/source/add-ons/cloud_native_ai_add-ons/cce_ai_suite_nvidia_gpu.rst,CCE AI Suite (NVIDIA GPU),en-us_image_0000002516079355.png,screenshot,pass,1.00,"Image is Figure 4 'Obtaining the link' showing the full driver detail page for Data Center Driver for Linux x64 535.161.08 | Displays Driver Version, Release Date, Operating System, CUDA Toolkit, Language, File Size, and a Download button highlighted in red | Matches RST step 5: 'Click Download and copy the download link' | The breadcrumb shows Tesla V100 | Linux 64-bit path, consistent with the search parameters in Figure 2",
umn/source/add-ons/cloud_native_ai_add-ons/cce_ai_suite_nvidia_gpu.rst,CCE AI Suite (NVIDIA GPU),en-us_image_0000002516199377.png,screenshot,pass,1.00,"Image is |image1| showing nvidia-smi terminal output with NVIDIA-SMI 440.118.02, Driver Version 440.118.02, CUDA Version 10.2 | Displays Tesla V100-SXM2 GPU with memory usage 0MiB/16160MiB and no running processes | Matches the 'Verifying the Add-on' section: 'If GPU information is returned, the device is available and the add-on has been installed' | Serves as example output demonstrating successful GPU verification",
umn/source/add-ons/cloud_native_ai_add-ons/cce_ai_suite_nvidia_gpu.rst,CCE AI Suite (NVIDIA GPU),en-us_image_0000002516079369.png,screenshot,pass,1.00,"Image is |image2| showing nvidia-smi terminal output with NVIDIA-SMI 535.216.03, Driver Version 535.216.03, CUDA Version 12.2 | Displays Tesla T4 GPU with memory 0MiB/15360MiB and no running processes | Matches RST text exactly: 'The node driver version is 535.216.03 and matches the specified version. This indicates that the upgrade has been completed' | Located in the 'Upgrading a GPU Driver' section as verification of successful driver upgrade",
umn/source/add-ons/container_network_add-ons/coredns.rst,CoreDNS,en-us_image_0000002484119088.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/add-ons/container_network_add-ons/nginx_ingress_controller.rst,NGINX Ingress Controller,en-us_image_0000002484119084.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/add-ons/container_network_add-ons/nodelocal_dnscache.rst,NodeLocal DNSCache,en-us_image_0000002516199253.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/add-ons/container_network_add-ons/nodelocal_dnscache.rst,NodeLocal DNSCache,en-us_image_0000002516079513.png,screenshot,pass,1.00,"Screenshot of a YAML code editor showing the healthPort parameter set to 8081, highlighted with a red box | Directly matches the RST instruction to 'Search for the healthPort parameter and change its value to a specified port number, for example, 8081' | Shows surrounding context (node-cache deployment args) consistent with NodeLocal DNSCache configuration | No contradictions with the document text",
umn/source/add-ons/container_network_add-ons/nodelocal_dnscache.rst,NodeLocal DNSCache,en-us_image_0000002483959570.png,screenshot,pass,1.00,"Screenshot of a YAML code editor showing CoreDNS plugin configuration with port: 8081 highlighted in a red box and zone: cluster.local:53 highlighted in a yellow box | Directly matches the RST instruction to 'Search for the cluster.local parameter and change the value of port in the array to the specified port number, for example, 8081' | Shows the health plugin section with port parameter, consistent with changing the default health check port | No contradictions with the document text",
umn/source/auto_scaling/node_scaling/modifying_the_node_scale-in_concurrency_settings.rst,Modifying the Node Scale-In Concurrency Settings,en-us_image_0000002484119358.png,screenshot,pass,1.00,"The image is a screenshot of a YAML editor (dark theme with line numbers) showing the CCE Cluster Autoscaler add-on configuration. | It displays the exact parameters named in the RST table: parallelDrain, maxScaleDownParallelism, maxDrainParallelism, and maxGracefulTerminationFlag. | The highlighted values (true, 20, 20, 3600) match the example values given in the document's parameter table. | The image is placed in Procedure step 4, which instructs the user to modify spec.values.custom, matching the visible 'custom:' YAML section. | No visible contradiction between the image content and the RST description.","The image does not show the surrounding console UI (e.g., the Edit YAML button or Submit button) referenced in the procedure steps. | The full YAML context above line 36 is not visible, so the exact 'spec.values.custom' path header is not directly shown."
umn/source/auto_scaling/node_scaling/node_scaling_rules.rst,Node Scaling Rules,en-us_image_0000002484118984.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/auto_scaling/node_scaling/priorities_for_scaling_node_pools.rst,Priorities for Scaling Node Pools,en-us_image_0000002516079049.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/auto_scaling/using_hpa_and_ca_for_auto_scaling_of_workloads_and_nodes.rst,Using HPA and CA for Auto Scaling of Workloads and Nodes,en-us_image_0000002516077999.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/auto_scaling/using_hpa_and_ca_for_auto_scaling_of_workloads_and_nodes.rst,Using HPA and CA for Auto Scaling of Workloads and Nodes,en-us_image_0000002484118024.png,icon,partial,0.72,"The image is a small copy icon (two overlapping squares), matching the RST instruction 'click |image1| to copy the command' in step e of the Preparations section. | It is a generic UI symbol rather than a diagram of HPA/CA, so its topical relevance to auto scaling is indirect. | The icon is low-resolution and small, limiting the amount of visual detail that can be verified.",No text or label is visible to confirm the exact function beyond a copy action. | The icon is too small/blurry to assess fine visual details.
umn/source/auto_scaling/using_hpa_and_ca_for_auto_scaling_of_workloads_and_nodes.rst,Using HPA and CA for Auto Scaling of Workloads and Nodes,en-us_image_0000002483958054.png,screenshot,pass,1.00,"The screenshot shows a 'Policy Configuration' UI for an HPA policy, directly matching the 'Creating an HPA Policy' section where |image2| is referenced. | Visible values align with the HPA YAML in the document: Pod Range 1-100 (minReplicas 1, maxReplicas 100), CPU usage Desired Value 50% (averageUtilization 50), and Tolerance Range 30-70 (targetRange low 30, high 70). | Interactive controls are visible, including the Default/Custom scaling behavior tabs, a metric dropdown, input fields, and a Delete action.",The screenshot does not show the scaling time window (downscaleWindow/upscaleWindow) annotations mentioned in the YAML. | No cluster or workload name is visible to confirm the specific hpa-example association.
umn/source/auto_scaling/workload_scaling/creating_a_scheduled_cronhpa_policy.rst,Creating a Scheduled CronHPA Policy,en-us_image_0000002516079039.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/auto_scaling/workload_scaling/creating_a_scheduled_cronhpa_policy.rst,Creating a Scheduled CronHPA Policy,en-us_image_0000002483959088.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/auto_scaling/workload_scaling/creating_a_scheduled_cronhpa_policy.rst,Creating a Scheduled CronHPA Policy,en-us_image_0000002483959090.png,other,fail,0.00,Local color check detected #3298ff.,
