document,title,image,image_type,result,score,reasons,missing_evidence
api-ref/source/api_calling/response.rst,Response,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/before_you_start/basic_concepts.rst,Basic Concepts,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/common_parameters/obtaining_the_project_id.rst,Obtaining the Project ID,,,fail,,kein valides Bild,No model result was produced.
umn/source/getting_started.rst,Getting Started,en-us_image_0000001707122028.png,screenshot,pass,1.00,"Image shows the Open Telekom Cloud API Credentials page with IAM User Name, Account Name, Project ID, and Project Name fields highlighted | Dropdown menu with 'My Credentials' selected is visible, matching the RST instruction to hover over username and choose My Credentials | Region eu-de is visible in the Projects table, consistent with the document context",
umn/source/getting_started.rst,Getting Started,en-us_image_0000001755213865.png,screenshot,pass,1.00,"Postman screenshot shows POST method and URL https://iam.eu-de.otc.t-systems.com/v3/auth/tokens as specified in RST | Headers tab is active showing Content-Type key with application/json value, matching the documented request header parameter",
umn/source/getting_started.rst,Getting Started,en-us_image_0000001755220149.png,screenshot,pass,1.00,"Postman Body tab with raw JSON selected, showing the auth structure with identity, methods, password, user, name, domain, scope, and project fields | The JSON structure matches the code block in the RST document for obtaining a token | Project name eu-de is visible in the scope section",
umn/source/getting_started.rst,Getting Started,en-us_image_0000001707404882.png,screenshot,pass,1.00,"Postman response Headers tab shows Status: 201 Created, matching the RST description of successful token API call | X-Subject-Token header is highlighted with a token value, matching the instruction to find and copy the X-Subject-Token value",
umn/source/getting_started.rst,Getting Started,en-us_image_0000001707228246.png,screenshot,pass,1.00,"Postman screenshot shows POST request to OCR API URL with /ocr/general-text path | Headers tab shows two entries: Content-Type with application/json and X-Auth-Token with a token value, matching the RST instructions for Step 4",
umn/source/getting_started.rst,Getting Started,en-us_image_0000001707396210.png,screenshot,pass,1.00,"Postman Body tab with raw JSON showing image, detect_direction (false), and quick_mode (false) fields | Matches the code block in RST for the OCR API request body",
umn/source/getting_started.rst,Getting Started,en-us_image_0000001707409654.png,screenshot,pass,1.00,"Postman response Body tab shows Status: 200 OK, matching the RST description of successful OCR API call | JSON response contains result object with direction, words_block_list, words (hello), confidence, and location fields | words_block_count is 1, consistent with a single detected text block",
