document,title,image,image_type,result,score,reasons,missing_evidence
api-ref/source/before_you_start/concepts.rst,Concepts,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/before_you_start/dataarts_studio_instance_id_and_workspace_id.rst,DataArts Studio Instance ID and Workspace ID,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/calling_apis/authentication.rst,Authentication,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/calling_apis/response.rst,Response,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/dataarts_factory_apis/script_development_apis/executing_a_script.rst,Executing a Script,,,fail,,kein valides Bild,No model result was produced.
umn/source/faqs/consultation_and_billing/can_i_delete_dataarts_studio_workspaces.rst,Can I Delete DataArts Studio Workspaces?,en-us_image_0000002234076600.png,screenshot,pass,1.00,"Image is a UI dialog titled 'Workspace Cannot Be Deleted', matching the figure caption in the RST. | The dialog shows a table with 'Management Center' and a resource count, consistent with the RST note that modules with resources block deletion. | The red warning message aligns with the RST statement that a message is displayed when a workspace cannot be deleted. | The dialog appears in the step describing the Delete Workspace flow, so it is section-relevant.","The image shows only one component (Management Center); other modules listed in the RST are not visible, but this is acceptable for an illustrative example."
umn/source/faqs/consultation_and_billing/what_should_i_do_if_a_user_cannot_view_workspaces_after_i_have_assigned_the_required_policy_to_the_user.rst,What Should I Do If a User Cannot View Workspaces After I Have Assigned the Required Policy to the User?,en-us_image_0000002269116513.png,screenshot,pass,1.00,"Image is a UI screenshot of the Workspace Information dialog box, matching Figure 1 in the RST. | Shows the Workspace Members section with Add and Remove buttons, consistent with step 2 and step 3 of the solution. | The Operation column with Edit links is visible, matching the RST instruction to click Edit in the Operation column. | All fields (Name, Description, Mode, Enterprise Project, API Quota) are visible and consistent with a workspace configuration dialog. | No contradictions between the image content and the RST description.",
umn/source/faqs/consultation_and_billing/what_should_i_do_if_a_user_cannot_view_workspaces_after_i_have_assigned_the_required_policy_to_the_user.rst,What Should I Do If a User Cannot View Workspaces After I Have Assigned the Required Policy to the User?,en-us_image_0000002234077296.png,screenshot,pass,1.00,"Image is a UI screenshot of the Add Member dialog box, matching Figure 2 in the RST. | Shows Account Type with User and Group radio buttons, consistent with the RST instruction to select Add User or Add Group. | Shows Member Account dropdown and Role checkboxes (admin, developer, operator, viewer), matching the RST instruction to select a member account and a role. | OK and Cancel buttons are present at the bottom, consistent with step 4 (Click OK). | No contradictions between the image content and the RST description.",
umn/source/faqs/dataarts_catalog/what_is_data_lineage.rst,What Is Data Lineage?,en-us_image_0000002234076780.png,screenshot,pass,1.00,"Image is the main Figure 1 showing the data lineage relationship graph for DataArts Studio. | Displays the exact flow described in the RST: wk_01 → hive_1 → wk_02 → hive_2 (three branches) → wk_03, wk_04, wk_05. | Includes upstream/downstream legend and a 'Show Process' checkbox, consistent with a lineage visualization UI. | All table and job node labels match the text description precisely.",
umn/source/faqs/dataarts_catalog/what_is_data_lineage.rst,What Is Data Lineage?,en-us_image_0000002269115993.png,icon,pass,1.00,"Small symbolic icon depicting a table/grid with a blue header row, representing a data table. | RST explicitly states '|image1| indicates a data table', and this icon matches that role. | The icon is used as a legend symbol within the main lineage graph (Image 1) next to table labels. | No contradiction with the document text.",
umn/source/faqs/dataarts_catalog/what_is_data_lineage.rst,What Is Data Lineage?,en-us_image_0000002234236624.png,icon,pass,1.00,"Small symbolic icon showing connected nodes (circles linked by lines), representing a job/process node. | RST explicitly states '|image2| indicates a job node', and this icon matches that role. | The icon appears in the main lineage graph (Image 1) next to job node labels such as hive_1 and hive_2. | No contradiction with the document text.",
umn/source/faqs/dataarts_dataservice/what_should_i_do_if_it_takes_a_long_time_to_obtain_the_total_number_of_data_records_of_a_table_through_an_api_if_the_table_contains_a_large_amount_of_data.rst,What Should I Do If It Takes a Long Time to Obtain the Total Number of Data Records of a Table Through an API If the Table Contains a Large Amount of Data?,en-us_image_0000002234076816.png,screenshot,pass,1.00,"Image shows the API creation UI with 'Set Data Extract Logic' step active | The 'Return Total Records' toggle is visible, enabled, and highlighted with a red box | Matches Figure 1 caption 'Return Total Records' in the Scenario section | Shows Data Acquisition Method, Data Source, Database, and other fields consistent with API creation context",
