document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
umn/source/enterprise_switches/deleting_an_enterprise_switch.rst,Deleting an Enterprise Switch,/home/ubuntu/repotesting/enterprise-switch/umn/source/_static/images/en-us_image_0000002007326742.png,substitution_image,43,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a location pin icon, consistent with the RST instruction to 'select the desired region and project' in step 2. | A location pin is a standard UI symbol for region/area selection, matching the described action. | The icon is used in the Procedure section as an inline reference for a navigation step. | The image clearly shows a location pin/marker symbol.","The icon is very small and low-resolution, making fine details hard to discern. | No surrounding UI context is visible to confirm it appears in the upper left corner as described."
umn/source/getting_started/quick_start.rst,Quick Start,/home/ubuntu/repotesting/enterprise-switch/umn/source/_static/images/en-us_image_0000001355402245.png,figure,12,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/getting_started/step_3_create_a_layer_2_connection.rst,Step 3: Create a Layer 2 Connection,/home/ubuntu/repotesting/enterprise-switch/umn/source/_static/images/en-us_image_0000002007168462.png,substitution_image,91,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"Image is a location pin icon, consistent with a region/project selector referenced in step 2 | The RST states 'Click |image1| in the upper left corner and select the desired region and project' which matches a location pin icon | Icon is small and symbolic, fitting the 'icon' classification | No contradiction between the icon and its described purpose in the procedure","The icon is very small and low-resolution, making fine details hard to discern"
umn/source/getting_started/step_3_create_a_layer_2_connection.rst,Step 3: Create a Layer 2 Connection,/home/ubuntu/repotesting/enterprise-switch/umn/source/_static/images/en-us_image_0000002555557853.png,substitution_image,92,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"Image is a hamburger menu icon (three horizontal lines), consistent with opening a service list as described in step 3 | The RST states 'Click |image2| in the upper left corner of the page to open the service list' which matches a hamburger menu icon | Icon is small and symbolic, fitting the 'icon' classification | No contradiction between the icon and its described purpose in the procedure","The icon is very small and low-resolution, making fine details hard to discern"
umn/source/getting_started/step_4_configure_a_tunnel_gateway_in_your_data_center.rst,Step 4: Configure a Tunnel Gateway in Your Data Center,/home/ubuntu/repotesting/enterprise-switch/umn/source/_static/images/en-us_image_0000001325432441.png,figure,36,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Local color check detected #3298ff.,
umn/source/getting_started/step_4_configure_a_tunnel_gateway_in_your_data_center.rst,Step 4: Configure a Tunnel Gateway in Your Data Center,/home/ubuntu/repotesting/enterprise-switch/umn/source/_static/images/en-us_image_0000001275071870.png,figure,103,screenshot,False,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"The image is a terminal screenshot showing the output of 'display vxlan vni 5010 verbose', which is exactly the command referenced in step 9 of the CE6850 procedure. | The displayed values (BD ID 10, State up, Source Address 2.2.2.2, Peer List 10.0.6.3) align with the configuration values described in the RST (bridge-domain 10, tunnel IP 2.2.2.2, cloud tunnel IP 10.0.6.3). | The State field shows 'up', consistent with the RST note that an 'up' state indicates a normal tunnel status. | The image is placed as Figure 2 'VXLAN configuration status' directly under the relevant step in the CE6850 section.",No additional information is missing; the screenshot fully supports the referenced step.
umn/source/layer_2_connections/creating_a_layer_2_connection.rst,Creating a Layer 2 Connection,/home/ubuntu/repotesting/enterprise-switch/umn/source/_static/images/en-us_image_0000002007168462.png,substitution_image,91,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"Image is a location pin icon, consistent with the RST instruction to click it to select region and project in step 2 | The icon is a standard UI symbol for region/project selection in cloud management consoles | It is a small isolated pictogram, not a full screenshot | The icon is generic and not specific to Layer 2 connections but is part of the navigation procedure",No surrounding UI context visible to confirm exact placement in upper left corner
umn/source/layer_2_connections/creating_a_layer_2_connection.rst,Creating a Layer 2 Connection,/home/ubuntu/repotesting/enterprise-switch/umn/source/_static/images/en-us_image_0000002555557853.png,substitution_image,92,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"Image is a hamburger menu icon (three horizontal lines), consistent with the RST instruction to click it to open the service list in step 3 | The icon is a standard UI symbol for opening navigation/service menus | It is a small isolated pictogram, not a full screenshot | The icon is generic and not specific to Layer 2 connections but is part of the navigation procedure",No surrounding UI context visible to confirm exact placement in upper left corner
umn/source/layer_2_connections/viewing_details_of_a_layer_2_connection.rst,Viewing Details of a Layer 2 Connection,/home/ubuntu/repotesting/enterprise-switch/umn/source/_static/images/en-us_image_0000002007326738.png,substitution_image,36,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a small location-pin (map marker) icon, consistent with a region/project selector in the upper-left corner as described in step 2. | The RST instructs the user to click this icon to select the desired region and project, which aligns with a location/region selector symbol. | The icon is a standard UI symbol for geographic/region selection, semantically matching the 'select region and project' action. | It is a supporting procedural icon, not the main content of the Layer 2 connection topic.","The icon is very small and low-resolution; surrounding UI context (e.g., the management console header) is not visible to confirm exact placement."
umn/source/layer_2_connections/viewing_details_of_a_layer_2_connection.rst,Viewing Details of a Layer 2 Connection,/home/ubuntu/repotesting/enterprise-switch/umn/source/_static/images/en-us_image_0000002524477976.png,substitution_image,37,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a hamburger-menu icon (three horizontal lines), a standard symbol for opening a navigation/service list. | The RST step 3 instructs the user to click this icon in the upper-left corner to open the service list and choose Network > Enterprise Switch. | The icon semantically matches the action of opening a service/navigation menu. | It is a supporting procedural icon, not the main content of the Layer 2 connection topic.",The icon is very small and low-resolution; surrounding UI context is not visible to confirm exact placement in the console.
umn/source/permissions_management/creating_an_iam_user_and_granting_enterprise_switch_permissions.rst,Creating an IAM User and Granting Enterprise Switch Permissions,/home/ubuntu/repotesting/enterprise-switch/umn/source/_static/images/en-us_image_0000001217250348.png,figure,27,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/service_overview/enterprise_switch_advantages.rst,Enterprise Switch Advantages,/home/ubuntu/repotesting/enterprise-switch/umn/source/_static/images/en-us_image_0000001355941949.png,figure,21,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/service_overview/enterprise_switch_advantages.rst,Enterprise Switch Advantages,/home/ubuntu/repotesting/enterprise-switch/umn/source/_static/images/en-us_image_0000002424302708.png,figure,50,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/service_overview/functions.rst,Functions,/home/ubuntu/repotesting/enterprise-switch/umn/source/_static/images/en-us_image_0000001355818125.png,figure,14,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/service_overview/how_enterprise_switches_work.rst,How Enterprise Switches Work,/home/ubuntu/repotesting/enterprise-switch/umn/source/_static/images/en-us_image_0000001303019660.png,figure,12,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/service_overview/region_and_az.rst,Region and AZ,/home/ubuntu/repotesting/enterprise-switch/umn/source/_static/images/en-us_image_0184026531.png,figure,20,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/service_overview/what_is_an_enterprise_switch.rst,What Is an Enterprise Switch?,/home/ubuntu/repotesting/enterprise-switch/umn/source/_static/images/en-us_image_0000001355818125.png,figure,20,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/service_overview/working_with_other_services.rst,Working with Other Services,/home/ubuntu/repotesting/enterprise-switch/umn/source/_static/images/en-us_image_0000001302704672.png,figure,12,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
