document,title,image,image_type,result,score,reasons,missing_evidence
umn/source/best_practices/configuring_redundant_or_active_standby_connections.rst,Configuring Redundant or Active/Standby Connections,en-us_image_0000001500493814.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/best_practices/configuring_redundant_or_active_standby_connections.rst,Configuring Redundant or Active/Standby Connections,en-us_image_0000001551687625.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/best_practices/using_a_connection_to_access_multiple_vpcs.rst,Using a Connection to Access Multiple VPCs,en-us_image_0000002462421801.png,other,pass,1.00,"Image is a network topology diagram illustrating the scenario of accessing multiple VPCs over one connection. | Shows Local data center (172.16.0.1/24) connected via Direct connection to VPC A (192.168.0.1/24), then via VPC peering connection to VPC B (192.168.10.1/24). | All CIDR blocks and connection types match the RST description exactly. | Figure is referenced as Figure 1 in the Scenarios section of the document.",
umn/source/best_practices/using_a_connection_to_access_multiple_vpcs.rst,Using a Connection to Access Multiple VPCs,en-us_image_0000002428663310.png,other,pass,1.00,"Image is a simple diagram showing VPC A labeled 'Peer VPC' connected to VPC B labeled 'Local VPC' via 'peering-001'. | Matches the RST description for the case where VPC A is the peer VPC in peering-001. | Referenced as Figure 2 in the Procedure section, step 3, under the same-tenant scenario. | Labels and connection name align with the document text.",
umn/source/best_practices/using_a_connection_to_access_multiple_vpcs.rst,Using a Connection to Access Multiple VPCs,en-us_image_0000002428823182.png,other,pass,1.00,"Image is a simple diagram showing VPC A labeled 'Local VPC' connected to VPC B labeled 'Peer VPC' via 'peering-001'. | Matches the RST description for the case where VPC A is the local VPC in peering-001. | Referenced as Figure 3 in the Procedure section, step 3, under the same-tenant scenario. | Labels and connection name align with the document text.",
umn/source/getting_started/enabling_direct_connect/connecting_your_on-premises_data_center_to_the_cloud.rst,Connecting Your On-Premises Data Center to the Cloud,en-us_image_0000002555047133.png,screenshot,pass,1.00,"Image is a UI screenshot of the 'Create Virtual Gateway' dialog, matching Figure 1 referenced in the RST. | All visible fields (Name, Enterprise Project, Attach To, VPC, Local Subnet, BGP ASN, Tag, Description) correspond to Table 2 parameters in the RST. | The form is placed in step 8 of the procedure, exactly where the RST references this figure. | BGP ASN field shows 64512, consistent with the eu-nl region example in Table 2. | Cancel and OK buttons at the bottom match the RST instruction to click OK after configuring parameters.",
umn/source/getting_started/enabling_direct_connect/connecting_your_on-premises_data_center_to_the_cloud.rst,Connecting Your On-Premises Data Center to the Cloud,en-us_image_0000002555172851.png,screenshot,pass,1.00,"Image is a UI screenshot of the 'Create Virtual Interface' form, matching Figure 2 referenced in the RST. | Visible fields (Region, Name, Connection, Virtual Gateway, VLAN, Enterprise Project, Tag) correspond to Table 3 parameters in the RST. | The form is placed in step 12 of the procedure, exactly where the RST references this figure. | VLAN field description text matches the RST explanation about values 0-3999 and VLAN ID requirements. | The 'Create Now' button at the bottom matches the RST instruction to click Create Now after configuring parameters.","The form appears to be partially visible; fields such as Local Gateway, Remote Gateway, Remote Subnet, Routing Mode, BGP ASN, BGP MD5 Authentication Key, and Description from Table 3 are not visible in the screenshot (likely below the fold)."
umn/source/getting_started/enabling_direct_connect/obtaining_the_domain_name.rst,Obtaining the Domain Name,en-us_image_0000001408374401.png,screenshot,pass,1.00,"Image shows a drop-down menu with 'My Credentials' highlighted, matching step 2 of the RST | The menu items (User Center, My Credentials, Switch Role, Log Out) are consistent with a management console user menu | Figure caption 'My Credentials' in the RST matches the highlighted item in the image",The upper-right corner context (username click) is not visible in this cropped image
umn/source/getting_started/enabling_direct_connect/obtaining_the_domain_name.rst,Obtaining the Domain Name,en-us_image_0000002622150059.png,screenshot,pass,1.00,"Image shows the My Credentials page with a 'Domain Name' field, directly matching step 3 | The page displays user information fields including Username, User ID, Domain Name, Domain ID, Email Address, etc. | Figure caption 'Domain Name' in the RST corresponds to the Domain Name field visible in the image",The actual domain name value is redacted/blurred in the image
umn/source/getting_started/enabling_direct_connect/obtaining_the_region.rst,Obtaining the Region,en-us_image_0000001408614093.png,screenshot,pass,1.00,"The image shows the upper-left corner of the Open Telekom Cloud management console, matching the RST instruction to check the information in the upper left corner. | A red box highlights the region selector (location pin with dropdown), exactly as described in the RST ('The part in the red box is Region'). | The figure caption 'Figure 1 Region' aligns with the document's purpose of identifying the Region. | Navigation items (Homepage, Service List, Favorites) and a dropdown control are visible, consistent with a management console UI.","The actual region name text inside the red box is blurred/obscured, so the specific region value cannot be verified. | The note about alphabetical ordering and the default 'eu-nl' region is not visually confirmable from this cropped top bar."
umn/source/getting_started/enabling_direct_connect/obtaining_the_resource_id.rst,Obtaining the Resource ID,en-us_image_0000001408184657.png,icon,partial,0.72,Small downward chevron/arrow icon referenced in step 4 as the element to click on the left of the connection name | Icon is consistent with a link or expand indicator next to a connection name in a Direct Connect console | Matches the RST instruction to click this element to proceed with obtaining the resource ID,No surrounding UI context visible to confirm it is specifically in the Direct Connect Connections list | Cannot verify the exact placement relative to a connection name from the icon alone
umn/source/getting_started/enabling_direct_connect/obtaining_the_resource_id.rst,Obtaining the Resource ID,en-us_image_0000001358504586.png,icon,pass,1.00,"Small copy icon (two overlapping rectangles) referenced in step 5 to copy the connection ID | Directly matches the RST instruction to click this icon on the right of the connection ID to copy it | Icon is a standard copy symbol, clearly identifiable and semantically correct for the described action",No surrounding UI context visible to confirm placement next to a specific connection ID field
umn/source/getting_started/enabling_direct_connect/obtaining_the_vpc_id.rst,Obtaining the VPC ID,en-us_image_0000001358494134.png,screenshot,pass,1.00,"Image shows a VPC details panel with name vpc-dbf3, ID field (redacted), Status: Normal, Subnet: 3, and VPC CIDR: 192.168.0.0/16 | Directly corresponds to step 4 in the RST: 'In the VPC details area on the right of the page, select the target VPC. The value of ID is the VPC ID.' | The figure caption in the RST is 'Figure 1 VPC ID' which matches the content shown | Edit and delete icons are visible in the upper right of the panel",The actual VPC ID value is redacted/blurred in the image
umn/source/getting_started/enabling_direct_connect/obtaining_the_vpc_id.rst,Obtaining the VPC ID,en-us_image_0000001408374433.png,icon,pass,0.93,"Image is a small location pin/marker icon, consistent with a region or project selector | Referenced in RST step 2: 'Click |image1| in the upper left corner and select a region and a project' | The location pin is a standard symbol for region/location selection in cloud management consoles | Icon is simple and small, providing minimal visual detail beyond the basic pin shape",No surrounding UI context visible to confirm it is in the upper left corner | No text label visible on the icon to confirm its exact function
umn/source/getting_started/enabling_direct_connect/process_description.rst,Process Description,en-us_image_0000001169908623.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/management/connections/managing_connection_tags.rst,Managing Connection Tags,en-us_image_0000002571752560.png,screenshot,pass,1.00,"Shows the 'Edit Tag' panel with key/value input fields, '+ Add' link, and OK/Cancel buttons, matching the 'Adding a Tag' steps. | Left side shows the connection detail page with the 'Tags' tab and 'Edit Tag' button, consistent with the navigation described in the RST. | The 'Tags you can still add: 19' text aligns with the 20-tag maximum stated in the document.","Tag key/value text in the input fields is blurred, so exact example values are not visible."
