document,title,image,image_type,result,score,reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,fail,,kein valides Bild,No model result was produced.
umn/source/attack_defense/blocking_network_attacks.rst,Blocking Network Attacks,en-us_image_0000001259322747.png,icon,partial,0.67,"The image is a hamburger menu icon (three horizontal lines), a generic navigation UI element. | It is referenced in the RST as the button to click in the navigation pane to access Security > Cloud Firewall. | The icon is not specific to blocking network attacks but serves as a navigation entry point. | The visual clearly matches a standard hamburger/menu icon used in cloud management consoles.",No specific Cloud Firewall branding or context is visible in the icon itself. | The icon is generic and could represent any navigation menu in any application.
umn/source/attack_defense/blocking_network_attacks.rst,Blocking Network Attacks,en-us_image_0000001969790077.png,icon,pass,0.90,"The image is a toggle switch icon in the off position, used to enable Sensitive Directory Scan Defense. | The RST states 'click [image] to enable protection' in the Sensitive Directory Scan Defense area, which matches a toggle switch interaction. | The toggle is directly relevant to the section on enabling sensitive directory scan defense as part of blocking network attacks. | The visual clearly shows a standard on/off toggle switch control.","No label or text is visible on the toggle to confirm it is specifically for Sensitive Directory Scan Defense. | The toggle appears in the off state, which is consistent with the instruction to click it to enable the feature."
umn/source/attack_defense/blocking_network_attacks.rst,Blocking Network Attacks,en-us_image_0000001969671085.png,icon,pass,0.90,"The image is a toggle switch icon in the off position, used to enable Reverse Shell Defense. | The RST states 'click [image] to enable defense' in the Reverse Shell Defense module, which matches a toggle switch interaction. | The toggle is directly relevant to the section on enabling reverse shell defense as part of blocking network attacks. | The visual clearly shows a standard on/off toggle switch control.","No label or text is visible on the toggle to confirm it is specifically for Reverse Shell Defense. | The toggle appears in the off state, which is consistent with the instruction to click it to enable the feature."
umn/source/attack_defense/blocking_virus-infected_files.rst,Blocking Virus-infected Files,en-us_image_0000001259322747.png,icon,partial,0.77,"The image is a hamburger menu icon (three horizontal lines), a standard navigation symbol. | The RST instructs 'click |image1| and choose Security > Cloud Firewall', which is consistent with a hamburger menu opening a navigation pane. | The icon is a generic UI element, not specific to antivirus or Cloud Firewall functionality. | Used in two separate sections (Enabling Antivirus and Modifying the Virus Defense Action) for the same navigation step.",The icon does not show any text or labels specific to Cloud Firewall or Security. | No indication of the navigation pane content that would appear after clicking the icon.
umn/source/attack_defense/blocking_virus-infected_files.rst,Blocking Virus-infected Files,en-us_image_0000001617930157.png,icon,pass,1.00,"The image is a toggle switch icon in the off/disabled position, consistent with the RST instruction to 'Click |image2| to enable antivirus.' | The toggle represents the antivirus enable/disable control, directly matching the topic of blocking virus-infected files. | The RST note states 'After antivirus is enabled, Current Action is Disable by default,' which aligns with the toggle being in the off state before activation. | The icon is used in step 5 of the 'Enabling Antivirus to Block Virus-infected Files' section, making it highly relevant to that section.","No label or text visible on the toggle to confirm it specifically controls antivirus. | The surrounding UI context (e.g., the Antivirus page) is not visible in the image."
umn/source/attack_defense/ips_rule_management/customizing_ips_signatures.rst,Customizing IPS Signatures,en-us_image_0000001259322747.png,icon,partial,0.77,"The image is a small hamburger-style menu icon (three horizontal bars), matching the |image1| reference used in step 2 to open the left navigation pane. | It is an isolated UI symbol/pictogram rather than a full interface screenshot, so it is classified as an icon. | The icon is semantically relevant to the procedure for navigating to Security > Cloud Firewall within the IPS signature customization steps. | No visible interactive button set is present; it is a single symbolic menu toggle.","The image does not show the navigation pane contents (Security, Cloud Firewall) that the text says appear after clicking the icon. | No labels or context are visible in the icon itself to confirm it is the CFW management console menu."
umn/source/attack_defense/ips_rule_management/modifying_the_protection_action_of_an_intrusion_prevention_rule.rst,Modifying the Protection Action of an Intrusion Prevention Rule,en-us_image_0000001259322747.png,icon,partial,0.77,"The image is a small hamburger-menu icon (three horizontal lines with a small accent mark on the left), matching the |image1| placeholder used in step 2 of the procedure. | It functions as the navigation entry point to reach Security > Cloud Firewall, which is consistent with the documented login/navigation steps. | It is an isolated symbolic UI graphic rather than a full application or page screenshot, so it is classified as an icon. | The icon is generic and does not depict IPS rule actions, so its topical relevance to the core topic (modifying protection actions) is indirect.",No text labels or menu items are visible on the icon itself. | The image does not show the resulting Cloud Firewall Dashboard or any IPS rule interface. | No visual indication of the specific menu it opens beyond the generic hamburger symbol.
umn/source/attack_defense/viewing_attack_defense_information_on_the_dashboard.rst,Viewing Attack Defense Information on the Dashboard,en-us_image_0000001259322747.png,icon,partial,0.77,"The image is a small hamburger-style menu icon (three horizontal bars), matching the RST reference |image1| used in step 2 to open the navigation pane. | It is an isolated symbolic UI graphic, not a full screenshot, so it is classified as an icon. | The icon is semantically relevant to the navigation procedure for reaching Security > Cloud Firewall, though it is generic and not specific to attack defense content. | No contradiction between the icon and the surrounding RST text.",The image does not show the navigation pane or the Security/Cloud Firewall menu items it is meant to open. | No label or context is visible in the icon itself to confirm it is the specific menu control described.
umn/source/checking_the_dashboard.rst,Checking the Dashboard,en-us_image_0000001259322747.png,icon,pass,1.00,"The image is a hamburger menu icon (three horizontal lines), a standard navigation symbol. | The RST references |image1| in step 2: 'click |image1| and choose Security > Cloud Firewall', which matches a navigation pane menu icon. | The icon is consistent with opening a left-side navigation pane in a management console. | No contradictions between the image and the document context.","The icon is very small and low-resolution, making fine details hard to discern, but the three-line hamburger pattern is clear."
