document,title,image,image_type,result,score,reasons,missing_evidence
dev_guide/source/flink_jar_jobs/flink_jar_job_examples.rst,Flink Jar Job Examples,,,fail,,kein valides Bild,No model result was produced.
dev_guide/source/flink_opensource_sql_jobs/reading_data_from_kafka_and_writing_data_to_elasticsearch.rst,Reading Data from Kafka and Writing Data to Elasticsearch,,,fail,,kein valides Bild,No model result was produced.
dev_guide/source/flink_opensource_sql_jobs/reading_data_from_kafka_and_writing_data_to_gaussdbdws.rst,Reading Data from Kafka and Writing Data to GaussDB(DWS),,,fail,,kein valides Bild,No model result was produced.
dev_guide/source/flink_opensource_sql_jobs/reading_data_from_kafka_and_writing_data_to_rds.rst,Reading Data from Kafka and Writing Data to RDS,,,fail,,kein valides Bild,No model result was produced.
dev_guide/source/flink_opensource_sql_jobs/reading_data_from_mysql_cdc_and_writing_data_to_gaussdbdws.rst,Reading Data from MySQL CDC and Writing Data to GaussDB(DWS),,,fail,,kein valides Bild,No model result was produced.
dev_guide/source/flink_opensource_sql_jobs/reading_data_from_postgresql_cdc_and_writing_data_to_gaussdbdws.rst,Reading Data from PostgreSQL CDC and Writing Data to GaussDB(DWS),,,fail,,kein valides Bild,No model result was produced.
dev_guide/source/spark_jar_jobs/using_spark_jar_jobs_to_read_and_query_obs_data.rst,Using Spark Jar Jobs to Read and Query OBS Data,,,fail,,kein valides Bild,No model result was produced.
dev_guide/source/spark_jar_jobs/using_spark_jobs_to_access_data_sources_of_datasource_connections/connecting_to_css/pyspark_example_code.rst,PySpark Example Code,,,fail,,kein valides Bild,No model result was produced.
dev_guide/source/spark_jar_jobs/using_spark_jobs_to_access_data_sources_of_datasource_connections/connecting_to_css/scala_example_code.rst,Scala Example Code,,,fail,,kein valides Bild,No model result was produced.
dev_guide/source/spark_jar_jobs/using_spark_jobs_to_access_data_sources_of_datasource_connections/connecting_to_gaussdbdws/pyspark_example_code.rst,PySpark Example Code,,,fail,,kein valides Bild,No model result was produced.
dev_guide/source/spark_jar_jobs/using_spark_jobs_to_access_data_sources_of_datasource_connections/connecting_to_gaussdbdws/scala_example_code.rst,Scala Example Code,,,fail,,kein valides Bild,No model result was produced.
dev_guide/source/spark_jar_jobs/using_spark_jobs_to_access_data_sources_of_datasource_connections/connecting_to_mongo/pyspark_example_code.rst,PySpark Example Code,,,fail,,kein valides Bild,No model result was produced.
dev_guide/source/spark_jar_jobs/using_spark_jobs_to_access_data_sources_of_datasource_connections/connecting_to_mongo/scala_example_code.rst,Scala Example Code,,,fail,,kein valides Bild,No model result was produced.
dev_guide/source/spark_jar_jobs/using_spark_jobs_to_access_data_sources_of_datasource_connections/connecting_to_rds/java_example_code.rst,Java Example Code,,,fail,,kein valides Bild,No model result was produced.
dev_guide/source/spark_jar_jobs/using_spark_jobs_to_access_data_sources_of_datasource_connections/connecting_to_rds/pyspark_example_code.rst,PySpark Example Code,,,fail,,kein valides Bild,No model result was produced.
dev_guide/source/spark_jar_jobs/using_spark_jobs_to_access_data_sources_of_datasource_connections/connecting_to_rds/scala_example_code.rst,Scala Example Code,,,fail,,kein valides Bild,No model result was produced.
dev_guide/source/spark_jar_jobs/using_spark_jobs_to_access_data_sources_of_datasource_connections/connecting_to_redis/pyspark_example_code.rst,PySpark Example Code,,,fail,,kein valides Bild,No model result was produced.
dev_guide/source/spark_jar_jobs/using_the_spark_job_to_access_dli_metadata.rst,Using the Spark Job to Access DLI Metadata,,,fail,,kein valides Bild,No model result was produced.
dev_guide/source/sql_jobs/calling_udafs_in_spark_sql_jobs.rst,Calling UDAFs in Spark SQL Jobs,,,fail,,kein valides Bild,No model result was produced.
dev_guide/source/sql_jobs/calling_udfs_in_spark_sql_jobs.rst,Calling UDFs in Spark SQL Jobs,,,fail,,kein valides Bild,No model result was produced.
dev_guide/source/sql_jobs/calling_udtfs_in_spark_sql_jobs.rst,Calling UDTFs in Spark SQL Jobs,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/flink_jar_jobs/flink_jar_job_examples.rst,Flink Jar Job Examples,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/flink_opensource_sql_jobs/reading_data_from_kafka_and_writing_data_to_elasticsearch.rst,Reading Data from Kafka and Writing Data to Elasticsearch,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/flink_opensource_sql_jobs/reading_data_from_kafka_and_writing_data_to_gaussdbdws.rst,Reading Data from Kafka and Writing Data to GaussDB(DWS),,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/flink_opensource_sql_jobs/reading_data_from_kafka_and_writing_data_to_rds.rst,Reading Data from Kafka and Writing Data to RDS,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/flink_opensource_sql_jobs/reading_data_from_mysql_cdc_and_writing_data_to_gaussdbdws.rst,Reading Data from MySQL CDC and Writing Data to GaussDB(DWS),,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/flink_opensource_sql_jobs/reading_data_from_postgresql_cdc_and_writing_data_to_gaussdbdws.rst,Reading Data from PostgreSQL CDC and Writing Data to GaussDB(DWS),,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/spark_jar_jobs/using_spark_jar_jobs_to_read_and_query_obs_data.rst,Using Spark Jar Jobs to Read and Query OBS Data,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/spark_jar_jobs/using_spark_jobs_to_access_data_sources_of_datasource_connections/connecting_to_css/pyspark_example_code.rst,PySpark Example Code,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/spark_jar_jobs/using_spark_jobs_to_access_data_sources_of_datasource_connections/connecting_to_css/scala_example_code.rst,Scala Example Code,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/spark_jar_jobs/using_spark_jobs_to_access_data_sources_of_datasource_connections/connecting_to_gaussdbdws/pyspark_example_code.rst,PySpark Example Code,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/spark_jar_jobs/using_spark_jobs_to_access_data_sources_of_datasource_connections/connecting_to_gaussdbdws/scala_example_code.rst,Scala Example Code,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/spark_jar_jobs/using_spark_jobs_to_access_data_sources_of_datasource_connections/connecting_to_mongo/pyspark_example_code.rst,PySpark Example Code,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/spark_jar_jobs/using_spark_jobs_to_access_data_sources_of_datasource_connections/connecting_to_mongo/scala_example_code.rst,Scala Example Code,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/spark_jar_jobs/using_spark_jobs_to_access_data_sources_of_datasource_connections/connecting_to_rds/java_example_code.rst,Java Example Code,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/spark_jar_jobs/using_spark_jobs_to_access_data_sources_of_datasource_connections/connecting_to_rds/pyspark_example_code.rst,PySpark Example Code,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/spark_jar_jobs/using_spark_jobs_to_access_data_sources_of_datasource_connections/connecting_to_rds/scala_example_code.rst,Scala Example Code,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/spark_jar_jobs/using_spark_jobs_to_access_data_sources_of_datasource_connections/connecting_to_redis/pyspark_example_code.rst,PySpark Example Code,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/spark_jar_jobs/using_the_spark_job_to_access_dli_metadata.rst,Using the Spark Job to Access DLI Metadata,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/sql_jobs/calling_udafs_in_spark_sql_jobs.rst,Calling UDAFs in Spark SQL Jobs,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/sql_jobs/calling_udfs_in_spark_sql_jobs.rst,Calling UDFs in Spark SQL Jobs,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/sql_jobs/calling_udtfs_in_spark_sql_jobs.rst,Calling UDTFs in Spark SQL Jobs,,,fail,,kein valides Bild,No model result was produced.
doc/sqlreference/source/flink_opensource_sql_1.10_syntax_reference/functions/user-defined_functions.rst,User-Defined Functions,,,fail,,kein valides Bild,No model result was produced.
doc/sqlreference/source/flink_opensource_sql_1.15_syntax_reference/dml_snytax/window/window_functions.rst,Window Functions,,,fail,,kein valides Bild,No model result was produced.
doc/sqlreference/source/flink_opensource_sql_1.15_syntax_reference/functions/parameter_transfer.rst,Parameter Transfer,,,fail,,kein valides Bild,No model result was produced.
doc/sqlreference/source/historical_versions/flink_sql_syntax/user-defined_functions.rst,User-Defined Functions,,,fail,,kein valides Bild,No model result was produced.
doc/sqlreference/source/identifiers/attr_expr.rst,attr_expr,,,fail,,kein valides Bild,No model result was produced.
doc/sqlreference/source/identifiers/attrs_value_set_expr.rst,attrs_value_set_expr,,,fail,,kein valides Bild,No model result was produced.
doc/sqlreference/source/identifiers/condition.rst,condition,,,fail,,kein valides Bild,No model result was produced.
doc/sqlreference/source/identifiers/condition_list.rst,condition_list,,,fail,,kein valides Bild,No model result was produced.
doc/sqlreference/source/identifiers/having_condition.rst,having_condition,,,fail,,kein valides Bild,No model result was produced.
doc/sqlreference/source/identifiers/join_condition.rst,join_condition,,,fail,,kein valides Bild,No model result was produced.
doc/sqlreference/source/identifiers/where_condition.rst,where_condition,,,fail,,kein valides Bild,No model result was produced.
doc/sqlreference/source/spark_sql_syntax_reference/creating_a_datasource_connection_with_a_dcs_table/inserting_data_to_a_dcs_table.rst,Inserting Data to a DCS Table,,,fail,,kein valides Bild,No model result was produced.
doc/sqlreference/source/spark_sql_syntax_reference/inserting_data.rst,Inserting Data,,,fail,,kein valides Bild,No model result was produced.
umn/source/common_dli_management_operations/enhancing_the_job_runtime_environment_using_a_custom_image.rst,Enhancing the Job Runtime Environment Using a Custom Image,en-us_image_0000001940346350.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/common_dli_management_operations/enhancing_the_job_runtime_environment_using_a_custom_image.rst,Enhancing the Job Runtime Environment Using a Custom Image,en-us_image_0000001336444477.png,icon,partial,0.72,"The image is a small copy icon (two overlapping squares/rectangles), consistent with the RST instruction to 'click |image1| to copy the login command' in the SWR console step. | The icon is relevant to the specific sub-step (3b) within the 'Creating a Custom Image' section but does not illustrate the broader custom-image workflow. | The visual shape (two overlapping rectangles) is the standard 'copy to clipboard' pictogram, matching the described action of copying a login command. | No contradiction between the icon's meaning (copy) and the surrounding text describing copying a login command.","The image is very small and low-resolution, making it difficult to confirm fine details of the icon. | No surrounding UI context is shown to confirm the exact placement of the copy button in the SWR console."
umn/source/common_dli_management_operations/managing_dli_resource_quotas.rst,Managing DLI Resource Quotas,en-us_image_0000001487683840.png,icon,pass,0.83,"The image is a location pin / region selector icon, matching the RST instruction to 'Click |image1| in the upper left corner and select a region and a project.' | It is a small isolated UI symbol (icon), not a full screenshot. | The icon is a standard region/project selector used in cloud management consoles. | No contradictions between the image and the RST description.",The image does not show the surrounding UI context (upper-left corner placement) since it is an isolated icon. | No text label is visible on the icon itself to confirm it is specifically a region selector.
umn/source/common_dli_management_operations/managing_dli_resource_quotas.rst,Managing DLI Resource Quotas,en-us_image_0000001488163536.png,icon,pass,1.00,"The image is a bar-chart icon (three vertical bars of decreasing height), which is a common visual metaphor for quota/usage metrics. | The RST explicitly labels this as the 'My Quota' icon in the upper right corner, and the bar-chart representation aligns with viewing resource usage. | It is a small isolated UI symbol (icon), not a full screenshot. | The icon directly supports the core topic of the document: viewing and managing DLI resource quotas. | No contradictions between the image and the RST description.",The image does not show the surrounding UI context (upper-right corner placement) since it is an isolated icon. | No text label 'My Quota' is visible on the icon itself.
umn/source/configuring_an_agency_to_allow_dli_to_access_other_cloud_services/creating_a_custom_dli_agency.rst,Creating a Custom DLI Agency,en-us_image_0000001842062193.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/configuring_an_agency_to_allow_dli_to_access_other_cloud_services/dli_agency_overview.rst,DLI Agency Overview,en-us_image_0000001742695104.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/configuring_dli_to_read_and_write_data_from_and_to_external_data_sources/configuring_the_network_connection_between_dli_and_data_sources_enhanced_datasource_connection/creating_an_enhanced_datasource_connection.rst,Creating an Enhanced Datasource Connection,en-us_image_0000002363115912.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/configuring_dli_to_read_and_write_data_from_and_to_external_data_sources/configuring_the_network_connection_between_dli_and_data_sources_enhanced_datasource_connection/creating_an_enhanced_datasource_connection.rst,Creating an Enhanced Datasource Connection,en-us_image_0000002363080342.png,icon,pass,0.83,"The image is a small downward-pointing chevron, an isolated UI symbol used as an expand indicator. | In the RST it is referenced as |image1| in the step 'click |image1| to expand its details', matching a downward expand chevron. | The icon is consistent with the Preparation section's instruction to expand an elastic resource pool's details to find its CIDR block. | No contradiction between the icon and the surrounding text.","The image is a generic chevron without surrounding UI context, so its exact placement in the console cannot be confirmed from the image alone."
umn/source/configuring_dli_to_read_and_write_data_from_and_to_external_data_sources/configuring_the_network_connection_between_dli_and_data_sources_enhanced_datasource_connection/overview_of_enhanced_datasource_connections.rst,Overview of Enhanced Datasource Connections,en-us_image_0000002363051176.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/configuring_dli_to_read_and_write_data_from_and_to_external_data_sources/configuring_the_network_connection_between_dli_and_data_sources_enhanced_datasource_connection/overview_of_enhanced_datasource_connections.rst,Overview of Enhanced Datasource Connections,en-us_image_0000002397300825.png,other,fail,0.00,Local color check detected #3298ff.,
