document,title,image,image_type,result,score,reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,fail,,kein valides Bild,No model result was produced.
umn/source/faqs/how_do_i_start_the_activex_plug-in_when_using_internet_explorer_9_to_import_files.rst,How Do I Start the ActiveX Plug-in When Using Internet Explorer 9 to Import Files?,en-us_image_0141727097.png,icon,pass,1.00,"The image is a small gear/cog icon, matching the IE9 settings icon referenced in step 1 ('Click |image1| in the upper right corner of the browser'). | It is an isolated symbolic UI graphic (a settings gear), so it is classified as an icon. | The icon directly supports the Procedure section's first step for opening Internet Options in IE9. | No contradiction between the image and the RST text.","The image does not show the surrounding browser UI, so the 'upper right corner' placement is inferred from the RST text rather than visible in the image."
umn/source/getting_started/adding_tags_to_cloud_resources.rst,Adding Tags to Cloud Resources,en-us_image_0000002502623003.png,icon,partial,0.72,"Image shows a hamburger menu icon (three horizontal lines), consistent with the RST instruction to click the menu in the upper left corner of the page | The icon is used in the 'Adding Tags on the TMS Console' section as a navigation element to reach Tag Management Service | The icon is a generic navigation symbol, not specific to tag management, but correctly placed in the procedural steps | The image is very small and low resolution but the three-line pattern is clearly identifiable","The image is extremely small (approximately 30x30 pixels), making it difficult to confirm any additional details | No label or text is visible in the icon to confirm it is specifically the Huawei Cloud navigation menu"
umn/source/getting_started/adding_tags_to_cloud_resources.rst,Adding Tags to Cloud Resources,en-us_image_0000001982445689.png,icon,partial,0.72,"Image shows a hamburger menu icon (three horizontal lines), matching the RST instruction to click the menu in the upper left corner | Used in the 'Checking Whether a Tag Takes Effect' section as a navigation step to reach Tag Management Service | The icon is a generic navigation symbol appropriate for the procedural context | The image is very small and low resolution but the three-line hamburger pattern is identifiable","The image is extremely small (approximately 30x30 pixels), limiting detail verification | No distinguishing text or branding is visible to confirm the specific console context"
umn/source/getting_started/index.rst,Getting Started,en-us_image_0000002285916460.png,icon,partial,0.78,"Image is a hamburger menu icon (three horizontal lines), a standard navigation symbol in cloud management consoles | Referenced in step 2 of 'Adding Tags on the TMS Console' as the element to click in the upper left corner | The icon matches the described action of opening the main navigation menu to reach Management & Deployment > Tag Management Service | It is a generic UI navigation icon, not specific to TMS or tag management | No contradiction between the image and the RST description","The icon is very small and low-resolution, making it difficult to confirm exact styling | No surrounding UI context is visible to confirm it is specifically the TMS console menu"
umn/source/getting_started/index.rst,Getting Started,en-us_image_0000002320589057.png,icon,partial,0.78,"Image is a hamburger menu icon (three horizontal lines), identical in type to image1 | Referenced in step 2 of 'Checking Whether a Tag Takes Effect' as the element to click in the upper left corner | Used to navigate to Management & Deployment > Tag Management Service, consistent with the RST procedure | It is a generic UI navigation icon, not specific to TMS or tag management | No contradiction between the image and the RST description","The icon is very small and low-resolution, making it difficult to confirm exact styling | No surrounding UI context is visible to confirm it is specifically the TMS console menu"
umn/source/permissions_management/creating_a_user_and_granting_permissions.rst,Creating a User and Granting Permissions,en-us_image_0000001700714200.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/quotas.rst,Quotas,en-us_image_0000001701522432.png,icon,partial,0.78,"The image is a small bar-chart-style icon (three vertical bars of decreasing height), consistent with a UI symbol for quotas or statistics. | The RST references this image as a clickable element in the upper-right corner that opens the Service Quota page, which aligns with a bar-chart/statistics icon. | The icon is placed in the 'How Do I View My Quotas?' section, making it directly relevant to that procedure. | No contradiction is visible between the icon and the surrounding text.","The image does not show the surrounding management-console UI, so the 'upper right corner' placement cannot be visually confirmed. | No label or tooltip is visible on the icon to explicitly confirm it represents 'Service Quota'."
umn/source/service_overview/application_scenarios.rst,Application Scenarios,en-us_image_0174331264.png,other,pass,1.00,"Diagram is labeled 'TMS console' and shows centralized tag management across resources. | It depicts editing resource tags (ECS 1, ECS 2, EVS 1) and filtering resources by tag, matching the Centralized Resource Management description. | Tags (Tag 1, Tag 2) and resource types (ECS, EVS) align with the RST's mention of searching cloud resources with specific tags. | The figure caption 'Central management of resources' matches the image content.",No explicit UI controls shown; it is a schematic rather than a live console view.
umn/source/service_overview/application_scenarios.rst,Application Scenarios,en-us_image_0000001079874496.png,other,pass,1.00,"Diagram shows migration from a third-party cloud to Open Telekom Cloud, matching the Resource Migration scenario. | It includes a 'Local tag library' and 'TMS predefined tags' with import/export and associate flows, matching the RST's description of batch import/export of predefined tags. | Resources (ECS, EVS, VPC) carry tags after migration, consistent with adding predefined tags to migrated resources. | The figure caption 'Adding predefined tags to migrated resources' matches the image content.",No explicit UI controls shown; it is a schematic rather than a live console view.
