document,title,image,image_type,result,score,reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,fail,,kein valides Bild,No model result was produced.
umn/source/accessing_an_instance/accessing_rocketmq_on_a_client_with_ssl.rst,Accessing RocketMQ on a Client (With SSL),en-us_image_0000002371627441.png,screenshot,pass,1.00,"Terminal screenshot showing the mqadmin sendMessage command with -Dtls.enable=true, matching step 6 of the RST. | Output table shows #Broker Name, #QID, #Send Result (SEND_OK), #MsgId, consistent with the described message production result. | The red box highlights the SEND_OK row, matching the RST statement that the message is produced when the red-box information is displayed. | Topic name 'topic-test' and message 'hello rocketmq' match the example values in Table 1.","Connection address value is truncated/obscured in the command line, but this is consistent with the placeholder style used in the document."
umn/source/accessing_an_instance/accessing_rocketmq_on_a_client_with_ssl.rst,Accessing RocketMQ on a Client (With SSL),en-us_image_0000002371707253.png,screenshot,pass,1.00,"Terminal screenshot showing the mqadmin consumeMessage command with -Dtls.enable=true, matching step 7 of the RST. | Output displays consumed message metadata (MSGID, broker, queueId, storeSize, topic=topic-test) and body 'hello rocketmq'. | The red box highlights the consumed message line, matching the RST statement about the red-box information indicating consumption. | Topic 'topic-test' and body content align with the example values in Table 1.","Connection address value is truncated in the command line, consistent with the document's placeholder style."
umn/source/accessing_an_instance/accessing_rocketmq_on_a_client_with_ssl.rst,Accessing RocketMQ on a Client (With SSL),en-us_image_0000002337869086.png,screenshot,pass,1.00,"Terminal screenshot showing the mqadmin sendMessage command with the -m true flag, matching step 8 (messages with traces). | Output table shows #Send Result SEND_OK and a #MsgId, consistent with producing a traced message. | The red box highlights the SEND_OK row, matching the RST statement about the red-box information indicating production. | Topic 'topic-test' and message 'hello rocketmq' match the example values in Table 1.","Connection address value is truncated in the command line, consistent with the document's placeholder style."
umn/source/accessing_an_instance/accessing_rocketmq_on_a_client_with_ssl.rst,Accessing RocketMQ on a Client (With SSL),en-us_image_0000002337709346.png,screenshot,pass,1.00,"Terminal screenshot showing the mqadmin consumeMessage command with the -m true flag, matching step 9 (consume messages with traces). | Output displays consumed message metadata including TRACE_ON=true and body 'hello rocketmq', consistent with trace-enabled consumption. | The red box highlights the consumed message line, matching the RST statement about the red-box information indicating consumption. | Topic 'topic-test' and body content align with the example values in Table 1.","Connection address value is truncated in the command line, consistent with the document's placeholder style."
umn/source/accessing_an_instance/accessing_rocketmq_on_a_client_without_ssl.rst,Accessing RocketMQ on a Client (Without SSL),en-us_image_0000002371881673.png,screenshot,pass,1.00,"Shows terminal output of the mqadmin sendMessage command producing a normal message | Red box highlights the SEND_OK result as described in the RST text | Command matches the example in step 6 of the document | Output table shows Broker Name, QID, Send Result, and MsgId columns as expected",
umn/source/accessing_an_instance/accessing_rocketmq_on_a_client_without_ssl.rst,Accessing RocketMQ on a Client (Without SSL),en-us_image_0000002337843592.png,screenshot,pass,1.00,"Shows terminal output of the mqadmin consumeMessage command consuming a normal message | Displays full message details including MsgId, properties, and body content 'hello rocketmq' | Command matches the example in step 7 of the document | Output shows message metadata consistent with a consumed RocketMQ message",
umn/source/accessing_an_instance/accessing_rocketmq_on_a_client_without_ssl.rst,Accessing RocketMQ on a Client (Without SSL),en-us_image_0000002338003364.png,screenshot,pass,1.00,Shows terminal output of the mqadmin sendMessage command with -m true flag for trace messages | Red box highlights the SEND_OK result as described in the RST text | Command matches the example in step 8 of the document | Output table shows the same format as normal message production but with trace flag enabled,
umn/source/accessing_an_instance/accessing_rocketmq_on_a_client_without_ssl.rst,Accessing RocketMQ on a Client (Without SSL),en-us_image_0000002371961529.png,screenshot,pass,1.00,Shows terminal output of the mqadmin consumeMessage command with -m true flag for trace messages | Displays full message details including trace information and body content 'hello rocketmq' | Command matches the example in step 9 of the document | Output shows message metadata with trace properties consistent with consuming traced messages,
umn/source/accessing_an_instance/accessing_rocketmq_on_the_console.rst,Accessing RocketMQ on the Console,en-us_image_0143929918.png,icon,pass,1.00,"The image is a location pin icon, which is a standard symbol for region selection in cloud consoles. | The RST step 2 states 'Click |image1| in the upper left corner to select a region,' which aligns perfectly with a location pin icon. | The icon is used in the 'Accessing RocketMQ on the Console to Produce Messages' section as a navigation aid. | No contradictions between the image content and the document text.","The image does not show the surrounding console UI context (e.g., the upper-left corner placement), but this is expected for an inline icon reference."
