document,title,image,image_type,result,score,reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/before_you_start/concepts.rst,Concepts,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/calling_apis/response.rst,Response,,,fail,,kein valides Bild,No model result was produced.
umn/source/faqs/client_installation/how_can_i_install_the_mysql_client.rst,How Can I Install the MySQL Client?,en-us_image_0000001934653410.png,screenshot,pass,1.00,"The image is a web page screenshot of the MySQL Product Archives (Community Server Archived Versions) download page. | It shows the exact package named in the RST: mysql-community-client-8.0.26-1.el8.x86_64.rpm under 'RPM Package, Client Utilities'. | The version (8.0.26) and OS (Red Hat Enterprise Linux 8, x86 64-bit) match the RST example and the Red Hat Linux target system. | A Download button is highlighted with a red box, consistent with the figure caption 'Figure 1 Download' and step 1 'Obtain the installation package'. | No contradiction between the image content and the RST text.","The image does not show the upload-to-ECS or rpm install steps, but those are not required for this figure."
umn/source/faqs/client_installation/how_can_i_install_the_postgresql_client.rst,How Can I Install the PostgreSQL Client?,en-us_image_0000002218505054.png,screenshot,pass,1.00,"The image is a terminal screenshot showing the output of the 'psql -V' command, which directly matches the RST step 5 describing how to verify the PostgreSQL client installation. | The displayed version 'psql (PostgreSQL) 15.12 (Ubuntu 15.12-1.pgdg24.04+1)' confirms a successful PostgreSQL 15 client installation on Ubuntu, consistent with the document's topic. | The image is placed immediately after the code block for 'psql -V' in the Procedure section, providing the expected output as described in the text. | No contradictions exist between the image content and the RST description.","The image does not show the full terminal session context (e.g., prior installation commands), but this is not required by the RST."
umn/source/faqs/database_connection/what_should_i_do_if_an_rds_microsoft_sql_server_db_instance_failed_to_be_connected.rst,What Should I Do If an RDS Microsoft SQL Server DB Instance Failed to Be Connected?,en-us_image_0000001191211679.png,icon,partial,0.77,"The image is a small gray location/map-pin pictogram, which is an isolated UI symbol rather than a full interface screenshot. | In the RST, |image1| is used in Solution step 2 to indicate clicking the region/project selector in the upper left corner, and a location pin is a fitting symbol for region selection. | The icon is semantically consistent with the 'select a region and a project' instruction and does not contradict the surrounding text. | The visual content (a teardrop pin with a central dot) is clearly legible and matches a typical region/location selector icon.","The image does not show the surrounding console UI, so the exact placement in the upper-left corner cannot be visually confirmed. | No label or text accompanies the icon, so its specific function (region vs. project) is inferred from the RST rather than the image itself."
umn/source/faqs/database_parameter_modification/does_rds_for_postgresql_support_the_test_decoding_plugin.rst,Does RDS for PostgreSQL Support the test_decoding Plugin?,en-us_image_0000001191211679.png,icon,partial,0.62,"The image is a small gray location-pin / map-marker icon, an isolated UI symbol, so it is classified as an icon. | In the RST, |image1| is used in step 2 to indicate clicking the region/project selector in the upper-left corner, which matches a location-pin navigation icon. | The icon is part of the console navigation steps rather than directly illustrating test_decoding or the wal_level parameter, so topic match is limited. | No visible interactive button controls are present; it is a symbolic navigation glyph. | No contradiction between the image and the surrounding text.","The image does not show the surrounding console UI, so the exact placement (upper-left corner) cannot be visually confirmed. | No label or text accompanies the icon to explicitly confirm it is the region/project selector."
umn/source/faqs/log_management/how_can_i_obtain_microsoft_sql_server_error_logs_using_commands.rst,How Can I Obtain Microsoft SQL Server Error Logs Using Commands?,en-us_image_0000001145051730.png,screenshot,pass,1.00,"The image shows a tabular query result with LogDate, ProcessInfo, and Text columns, matching the RST's description of error log query output. | Timestamps (2018-06-14 14:30:4x) align with the example command's FilterBeginTime/FilterEndTime of 2018-06-14 14:30 to 14:31. | Database names containing 'FZYUN' (e.g., FZYUN032020, FZYUN029029) match the example's FilterText 'FZYUN'. | The figure is referenced in the RST as 'Figure 1 Example query results', and the image content is consistent with that caption.","No explicit UI chrome or application title bar is visible, so the exact client tool is not identifiable, though the tabular result format is clear."
umn/source/faqs/product_consulting/how_does_a_cloud_database_perform_a_primary_standby_switchover.rst,How Does a Cloud Database Perform a Primary/Standby Switchover?,en-us_image_0000001191211679.png,icon,pass,0.83,"The image is a location pin icon, consistent with the RST instruction to 'Click |image1| in the upper left corner and select a region and a project.' | A location pin is a standard UI symbol for region/project selection in cloud management consoles. | The icon is used in step 2 of the manual switchover procedure, which is a navigation step to reach the RDS console. | No contradiction between the icon and its described function in the document.","The image is a small isolated icon; the surrounding UI context (upper left corner placement, region/project dropdown) is not visible."
umn/source/faqs/product_consulting/how_does_a_cloud_database_perform_a_primary_standby_switchover.rst,How Does a Cloud Database Perform a Primary/Standby Switchover?,en-us_image_0000001145051626.png,icon,pass,0.90,"The image shows a refresh/reload icon (circular arrow in a bordered button), matching the RST instruction to 'click |image2| to refresh the list.' | The icon is used in step 7 of the switchover procedure to verify the DB instance status changes to 'Available' after switchover completes. | A circular arrow refresh icon is the standard symbol for refreshing a list or page in cloud management consoles. | No contradiction between the icon and its described function in the document.",The image is a small isolated icon; the surrounding UI context (upper right corner of the DB instance list) is not visible.
umn/source/faqs/product_consulting/why_is_an_error_reported_when_i_attempt_to_delete_a_database_from_rds_sql_server_primary_standby_db_instances.rst,Why Is an Error Reported When I Attempt to Delete a Database from RDS SQL Server Primary/Standby DB Instances?,en-us_image_0000001145211492.png,screenshot,pass,1.00,"The image is a SQL Server Management Studio screenshot showing a 'Delete Object' dialog and an error popup. | The error text matches the RST: 'The database ... is enabled for database mirroring. Database mirroring must be removed before you drop the database. (Microsoft SQL Server, Error: 3743)'. | The image is referenced in the RST as Figure 1 (Error information) within the Symptom section. | The visible Object Explorer tree (Databases, dbtest1, etc.) and the 'Error occurred' progress indicator align with the described scenario of dropping a database on a primary/standby instance.",The image does not explicitly label the instance as RDS primary/standby; that context is supplied by the RST text.
umn/source/getting_started_with_rds_for_mysql/operation_guide.rst,Operation Guide,en-us_image_0000001191131447.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/getting_started_with_rds_for_mysql/step_1_create_a_db_instance.rst,Step 1: Create a DB Instance,en-us_image_0000001145051824.png,icon,pass,0.83,"The image is a small gray location-pin / map-marker symbol, consistent with an isolated UI icon rather than a full screenshot. | In the RST, |image1| is used in Procedure step 2: 'Click |image1| in the upper left corner and select a region and a project,' which matches a region/location selector icon. | The icon is placed within the Procedure section and directly supports the region-selection step of creating a DB instance. | The visual content (a location pin) clearly corresponds to the 'select a region' action described in the text. | No contradiction between the icon and the surrounding RST content.","The image is a generic location pin and does not show the actual console UI, region list, or project selector it represents. | No surrounding interface context is visible to confirm it is the upper-left region selector of the RDS management console."
umn/source/getting_started_with_rds_for_mysql/step_2_connect_to_a_db_instance/connecting_to_a_db_instance.rst,Connecting to a DB Instance,en-us_image_0000001191131351.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/getting_started_with_rds_for_mysql/step_2_connect_to_a_db_instance/connecting_to_an_rds_for_mysql_db_instance_through_a_private_network/connecting_to_a_db_instance_through_a_private_network.rst,Connecting to a DB Instance Through a Private Network,en-us_image_0000001145211482.png,screenshot,pass,1.00,"Image shows the MySQL-Front 'Open Session' dialog with a 'New...' button, matching the RST instruction to click New in the connection management dialog. | The dialog displays 'Sessions' with 'Name' and 'Last Login' columns, consistent with a connection management interface. | Referenced as Figure 1 'Connection management' in the 'Using MySQL-Front to Connect to a DB Instance' section. | Buttons visible: New..., Remove, Properties..., Open, Cancel — all standard for a session management dialog.","No specific connection entries are visible in the Sessions list, which is expected at the initial step before creating a new connection."
umn/source/getting_started_with_rds_for_mysql/step_2_connect_to_a_db_instance/connecting_to_an_rds_for_mysql_db_instance_through_a_private_network/connecting_to_a_db_instance_through_a_private_network.rst,Connecting to a DB Instance Through a Private Network,en-us_image_0000001191131361.png,screenshot,pass,1.00,"Image shows the 'Add Account' dialog with fields for Description, Name, Host, Port (3306), Connection Type, User (root), Password, and Database. | These fields directly correspond to Table 1 parameters: Name, Host, Port, User, Password described in the RST. | The Port field shows 3306, matching the default database port mentioned in the RST. | The User field shows 'root', matching the default user stated in the RST. | Referenced as Figure 2 'Adding an account' in the MySQL-Front connection section.","The Host field appears empty in the screenshot, which is expected as the user is instructed to fill it in."
umn/source/getting_started_with_rds_for_mysql/step_2_connect_to_a_db_instance/connecting_to_an_rds_for_mysql_db_instance_through_a_private_network/connecting_to_a_db_instance_through_a_private_network.rst,Connecting to a DB Instance Through a Private Network,en-us_image_0000001191131363.png,screenshot,pass,1.00,"Image shows the 'Open Session' dialog with a connection named 'rds' listed and selected (highlighted in blue). | This matches the RST step 4 instruction to 'select the connection that you have created and click Open'. | The 'Open' button is visible and appears active, consistent with the next action. | Referenced as Figure 3 'Opening a session' in the MySQL-Front connection section. | The '???' in the Last Login column indicates the connection has not been used yet, which is consistent with a newly created connection.",The actual connection result (success or failure) is not shown in this screenshot.
umn/source/getting_started_with_rds_for_mysql/step_2_connect_to_a_db_instance/connecting_to_an_rds_for_mysql_db_instance_through_a_private_network/connecting_to_a_db_instance_through_a_private_network.rst,Connecting to a DB Instance Through a Private Network,en-us_image_0000001191211679.png,icon,partial,0.72,"Image is a small gray location pin / map marker icon, used as an inline reference |image1| in the RST. | The RST instructs: 'Click |image1| in the upper left corner and select a region and a project,' which is a standard region selector in the Huawei Cloud management console. | A location pin icon is a reasonable representation for a region selector in a cloud console UI. | This icon is part of the SSL Connection section, step 2, which is a prerequisite step rather than the core DB connection action. | The icon is generic and does not show the full console context, making it harder to verify exact placement.","The icon is shown in isolation without the surrounding console UI, so its exact position in the upper left corner cannot be verified. | No text label or tooltip is visible to confirm it is specifically the region selector."
umn/source/getting_started_with_rds_for_mysql/step_2_connect_to_a_db_instance/connecting_to_an_rds_for_mysql_db_instance_through_a_private_network/overview.rst,Overview,en-us_image_0000001145211526.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/getting_started_with_rds_for_mysql/step_2_connect_to_a_db_instance/connecting_to_an_rds_for_mysql_db_instance_through_a_public_network/connecting_to_a_db_instance_through_a_public_network.rst,Connecting to a DB Instance Through a Public Network,en-us_image_0000001191211477.png,screenshot,pass,1.00,"Image shows the MySQL-Front 'Open Session' dialog with Sessions list and New/Remove/Properties/Open/Cancel buttons | Matches Figure 1 'Connection management' referenced in step 2 of the MySQL-Front section | The RST instructs to click New in this dialog, and the New... button is clearly visible | Consistent with the topic of connecting to a DB instance through MySQL-Front",
umn/source/getting_started_with_rds_for_mysql/step_2_connect_to_a_db_instance/connecting_to_an_rds_for_mysql_db_instance_through_a_public_network/connecting_to_a_db_instance_through_a_public_network.rst,Connecting to a DB Instance Through a Public Network,en-us_image_0000001191131321.png,screenshot,pass,1.00,"Image shows the MySQL-Front 'Add Account' dialog with fields for Description, Name, Host, Port (3306), Connection Type, User (root), Password, Database | Matches Figure 2 'Adding an account' referenced in step 3 of the MySQL-Front section | The RST Table 1 describes parameters Name, Host, Port, User, Password which all appear in the dialog | Port 3306 and User root are pre-filled, consistent with the RDS MySQL context",
umn/source/getting_started_with_rds_for_mysql/step_2_connect_to_a_db_instance/connecting_to_an_rds_for_mysql_db_instance_through_a_public_network/connecting_to_a_db_instance_through_a_public_network.rst,Connecting to a DB Instance Through a Public Network,en-us_image_0000001145051640.png,screenshot,pass,1.00,Image shows the MySQL-Front 'Open Session' dialog with a session named 'rds' selected in the Sessions list | Matches Figure 3 'Opening a session' referenced in step 4 of the MySQL-Front section | The RST instructs to select the created connection and click Open; the image shows 'rds' highlighted with the Open button available | Consistent with the workflow of connecting to an RDS DB instance,
umn/source/getting_started_with_rds_for_mysql/step_2_connect_to_a_db_instance/connecting_to_an_rds_for_mysql_db_instance_through_a_public_network/connecting_to_a_db_instance_through_a_public_network.rst,Connecting to a DB Instance Through a Public Network,en-us_image_0000001145051824.png,icon,pass,1.00,"Image shows a small location pin/marker icon, consistent with a region selector in a cloud management console | Referenced as |image1| in step 2 of the SSL section: 'Click [icon] in the upper left corner and select a region and a project' | The location pin icon is a standard UI symbol for region/location selection in cloud consoles | Small symbolic graphic fitting the 'icon' classification",
umn/source/getting_started_with_rds_for_mysql/step_2_connect_to_a_db_instance/connecting_to_an_rds_for_mysql_db_instance_through_a_public_network/overview.rst,Overview,en-us_image_0000001145051736.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/getting_started_with_rds_for_postgresql/operation_guide.rst,Operation Guide,en-us_image_0000001191131447.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/getting_started_with_rds_for_postgresql/step_1_create_a_db_instance.rst,Step 1: Create a DB Instance,en-us_image_0000001191211679.png,icon,pass,0.83,"The image is a small gray location-pin / map-marker symbol, matching the |image1| reference used in step 2 of the procedure. | The RST instructs to 'Click |image1| in the upper left corner and select a region and a project,' which is consistent with a region/location selector icon. | The icon is placed within the Procedure section and directly supports the region-selection step of creating a DB instance. | The visual content (a location pin) is clearly visible and unambiguous.","The image is a generic location pin and does not show the surrounding console UI, so its exact placement in the upper-left corner cannot be confirmed from the image alone. | No RDS-specific branding or labels are visible in the icon, so its association with the RDS console relies solely on the RST context."
umn/source/getting_started_with_rds_for_postgresql/step_2_connect_to_a_db_instance/connecting_to_a_db_instance.rst,Connecting to a DB Instance,en-us_image_0000001191211393.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/getting_started_with_rds_for_postgresql/step_2_connect_to_a_db_instance/connecting_to_a_postgresql_db_instance_through_a_private_network/connecting_to_a_db_instance_through_psql.rst,Connecting to a DB Instance Through psql,en-us_image_0000001191211679.png,icon,partial,0.62,"The image is a small location-pin icon, consistent with a region/project selector in a cloud management console. | The RST references this icon in step 2 of the SSL Connection section: 'Click |image1| in the upper left corner and select a region and a project.' | The icon is a generic navigation element and not directly related to the psql connection procedure itself. | No contradiction between the icon and the surrounding text; a location pin is a standard symbol for region selection.","The icon is shown in isolation without surrounding UI context (no console header, no menu), so its exact placement in the upper-left corner cannot be visually confirmed. | No label or tooltip is visible on the icon to confirm it specifically represents 'region and project' selection."
umn/source/getting_started_with_rds_for_postgresql/step_2_connect_to_a_db_instance/connecting_to_a_postgresql_db_instance_through_a_private_network/overview.rst,Overview,en-us_image_0000001145051740.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/getting_started_with_rds_for_postgresql/step_2_connect_to_a_db_instance/connecting_to_a_postgresql_db_instance_through_a_public_network/connecting_to_a_db_instance_through_psql.rst,Connecting to a DB Instance Through psql,en-us_image_0000001191211679.png,icon,pass,0.90,"The image is a small isolated location-pin pictogram, matching the |image1| reference used for the region selector in the SSL Connection steps. | The RST instructs to 'Click |image1| in the upper left corner and select a region and a project,' which is exactly what a location/region pin icon represents in a cloud console. | The icon is placed in the SSL Connection section (step 2), consistent with navigating the RDS management console. | No contradiction between the icon and the surrounding text.","The image shows only the pin symbol without surrounding console UI, so the 'upper left corner' placement cannot be visually confirmed. | No label or text accompanies the icon to explicitly identify it as the region selector."
umn/source/getting_started_with_rds_for_postgresql/step_2_connect_to_a_db_instance/connecting_to_a_postgresql_db_instance_through_a_public_network/overview.rst,Overview,en-us_image_0000001145211530.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/getting_started_with_rds_for_sql_server/operation_guide.rst,Operation Guide,en-us_image_0000001191131447.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/getting_started_with_rds_for_sql_server/step_1_create_a_db_instance.rst,Step 1: Create a DB Instance,en-us_image_0000001191211679.png,icon,partial,0.72,"The image is a small location pin/marker icon, consistent with a region selector UI element. | The RST step 2 instructs the user to click this icon in the upper left corner to select a region and project, which aligns with a location pin symbol. | The icon is a generic UI symbol rather than a screenshot of the RDS console, so it provides limited visual detail about the actual creation workflow. | No contradiction exists between the icon and the surrounding text describing region selection.","The image does not show the surrounding UI context (e.g., the upper-left corner of the console) that would confirm its exact placement. | No label or text accompanies the icon to explicitly identify it as a region/project selector."
umn/source/getting_started_with_rds_for_sql_server/step_2_connect_to_a_db_instance/connecting_to_a_db_instance.rst,Connecting to a DB Instance,en-us_image_0000001145211356.png,other,fail,0.00,Local color check detected #3298ff.,
