document,title,image,image_type,result,score,reasons,missing_evidence
api-ref/source/common_parameters/obtaining_a_project_id.rst,Obtaining a Project ID,,,fail,,kein valides Bild,No model result was produced.
doc/public-images/source/index.rst,Image Management Service - Public Image Introduction,,,fail,,kein valides Bild,No model result was produced.
umn/source/auditing_key_operations/viewing_traces.rst,Viewing Traces,en-us_image_0000001744598325.png,screenshot,pass,1.00,"Image is labeled Figure 1 'Filters' and shows the Trace List filter panel. | Visible fields (Trace Type, Trace Source, Resource Type, Search By, Operator, Trace Status, time range, Query) match the filter list described in step 4. | Time range options (Last 1 hour/day/week, Customize) match the RST description.",None significant; the screenshot aligns with the documented filters.
umn/source/auditing_key_operations/viewing_traces.rst,Viewing Traces,en-us_image_0000001696838310.png,icon,pass,0.83,Image is a hamburger menu icon (three horizontal bars). | RST step 2 references |image1| as the menu icon in the upper left corner to open Management & Deployment. | The icon is consistent with a navigation menu symbol.,No surrounding UI context; only the isolated menu symbol is shown.
umn/source/auditing_key_operations/viewing_traces.rst,Viewing Traces,en-us_image_0000001696678850.png,icon,pass,1.00,Image is a circular refresh/reload arrow icon. | RST step 6 references |image2| to view the latest information about traces (refresh). | The refresh symbol matches the described action.,No surrounding UI context; only the isolated refresh symbol is shown.
umn/source/auditing_key_operations/viewing_traces.rst,Viewing Traces,en-us_image_0000001744678489.jpg,icon,pass,1.00,Image is a downward chevron/arrow icon. | RST step 7 references |image3| on the left of a trace to expand its details. | The expand chevron matches the described expand action.,No surrounding UI context; only the isolated chevron symbol is shown.
umn/source/auditing_key_operations/viewing_traces.rst,Viewing Traces,en-us_image_0000001942942816.png,screenshot,pass,1.00,"Image shows the Trace List table with an expanded trace row (login) revealing detail fields. | Visible fields (trace_id, code, trace_name, resource_type, trace_rating, message, source_ip, domain_id, trace_type) match the trace structure described in the RST. | The 'View Trace' link in the Operation column matches step 8.","Some values (source_ip, domain_id) are redacted/blurred in the screenshot."
umn/source/auditing_key_operations/viewing_traces.rst,Viewing Traces,en-us_image_0000001758618249.png,screenshot,pass,1.00,"Image shows the 'View Trace' dialog displaying JSON trace details. | Fields (request, trace_id, code, trace_name, resource_type, trace_rating, message, trace_type, service_type, time, user) align with the trace structure referenced in the RST. | Matches step 8 where clicking View Trace displays trace details.","Some values (trace_id, source_ip, domain_id, project_id, user name/id) are redacted/blurred."
umn/source/creating_a_private_image/creating_a_data_disk_image_from_an_ecs.rst,Creating a Data Disk Image from an ECS,en-us_image_0254963039.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/creating_a_private_image/creating_a_data_disk_image_from_an_ecs.rst,Creating a Data Disk Image from an ECS,en-us_image_0162743998.png,screenshot,pass,1.00,"Image shows the IMS console 'Image Type and Source' form with Type set to 'Create Image', Image Type set to 'Data disk image', and Source set to 'ECS', exactly matching RST steps 2a-2c | The info banner about ECS in running or stopped state aligns with the Prerequisites section | The table with Name, OS Type, Status, Private IP Address, Created columns is consistent with selecting a data disk of an ECS | Figure caption in RST ('Creating a data disk image') matches the content shown","The 'Image Information' area (Name, Tag, Description) mentioned in steps 2d-2e is not visible in this screenshot, likely below the visible area"
