document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/before_you_start/concepts.rst,Concepts,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/before_you_start/concepts.rst,Concepts,/home/ubuntu/repotesting/mapreduce-service/umn/source/_static/images/en-us_image_0000001829015345.png,figure,31,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/calling_apis/authentication.rst,Authentication,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/calling_apis/authentication.rst,Authentication,/home/ubuntu/repotesting/mapreduce-service/umn/source/_static/images/en-us_image_0000001351446161.png,figure,79,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/calling_apis/authentication.rst,Authentication,/home/ubuntu/repotesting/mapreduce-service/umn/source/_static/images/en-us_image_0000001298566184.png,figure,106,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/calling_apis/authentication.rst,Authentication,/home/ubuntu/repotesting/mapreduce-service/umn/source/_static/images/en-us_image_0000001298725832.png,figure,112,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/calling_apis/authentication.rst,Authentication,/home/ubuntu/repotesting/mapreduce-service/umn/source/_static/images/en-us_image_0000001351245885.png,figure,118,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/calling_apis/response.rst,Response,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/calling_apis/response.rst,Response,/home/ubuntu/repotesting/mapreduce-service/umn/source/_static/images/en-us_image_0000001298246380.png,figure,26,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/component-operation-guide/source/appendix/accessing_manager/accessing_fusioninsight_manager_mrs_3.x_or_later.rst,Accessing FusionInsight Manager (MRS 3.\ *x* or Later),,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/component-operation-guide/source/appendix/accessing_manager/accessing_fusioninsight_manager_mrs_3.x_or_later.rst,Accessing FusionInsight Manager (MRS 3.\ *x* or Later),/home/ubuntu/repotesting/mapreduce-service/umn/source/_static/images/en-us_image_0000001438733129.png,substitution_image,109,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/component-operation-guide/source/appendix/accessing_manager/accessing_fusioninsight_manager_mrs_3.x_or_later.rst,Accessing FusionInsight Manager (MRS 3.\ *x* or Later),/home/ubuntu/repotesting/mapreduce-service/umn/source/_static/images/en-us_image_0000001438453365.png,substitution_image,110,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/component-operation-guide/source/appendix/using_an_mrs_client/installing_a_client_version_3.x_or_later.rst,Installing a Client (Version 3.x or Later),,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/component-operation-guide/source/appendix/using_an_mrs_client/installing_a_client_version_3.x_or_later.rst,Installing a Client (Version 3.x or Later),/home/ubuntu/repotesting/mapreduce-service/umn/source/_static/images/en-us_image_0000001438729629.png,figure,169,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/component-operation-guide/source/appendix/using_an_mrs_client/installing_a_client_versions_earlier_than_3.x.rst,Installing a Client (Versions Earlier Than 3.x),,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/component-operation-guide/source/appendix/using_an_mrs_client/installing_a_client_versions_earlier_than_3.x.rst,Installing a Client (Versions Earlier Than 3.x),/home/ubuntu/repotesting/mapreduce-service/umn/source/_static/images/en-us_image_0000001388250740.png,figure,184,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/component-operation-guide/source/using_alluxio/accessing_alluxio_using_a_data_application.rst,Accessing Alluxio Using a Data Application,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/component-operation-guide/source/using_alluxio/accessing_alluxio_using_a_data_application.rst,Accessing Alluxio Using a Data Application,/home/ubuntu/repotesting/mapreduce-service/umn/source/_static/images/en-us_image_0000001349170061.png,figure,160,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/component-operation-guide/source/using_carbondata_for_mrs_3.x_or_later/carbondata_syntax_reference/spatial_indexes.rst,Spatial Indexes,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/component-operation-guide/source/using_carbondata_for_mrs_3.x_or_later/carbondata_syntax_reference/spatial_indexes.rst,Spatial Indexes,/home/ubuntu/repotesting/mapreduce-service/umn/source/_static/images/en-us_image_0000001296090372.png,substitution_image,656,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/component-operation-guide/source/using_carbondata_for_mrs_3.x_or_later/carbondata_troubleshooting/query_performance_deterioration.rst,Query Performance Deterioration,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/component-operation-guide/source/using_carbondata_for_mrs_3.x_or_later/carbondata_troubleshooting/query_performance_deterioration.rst,Query Performance Deterioration,/home/ubuntu/repotesting/mapreduce-service/umn/source/_static/images/en-us_image_0000001349170105.png,substitution_image,35,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/component-operation-guide/source/using_carbondata_for_mrs_3.x_or_later/overview/carbondata_overview.rst,CarbonData Overview,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/component-operation-guide/source/using_carbondata_for_mrs_3.x_or_later/overview/carbondata_overview.rst,CarbonData Overview,/home/ubuntu/repotesting/mapreduce-service/umn/source/_static/images/en-us_image_0000001295930452.png,figure,11,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/component-operation-guide/source/using_carbondata_for_mrs_3.x_or_later/overview/carbondata_overview.rst,CarbonData Overview,/home/ubuntu/repotesting/mapreduce-service/umn/source/_static/images/en-us_image_0000001348770313.png,figure,26,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/component-operation-guide/source/using_clickhouse/clickhouse_table_engine_overview.rst,ClickHouse Table Engine Overview,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/component-operation-guide/source/using_clickhouse/clickhouse_table_engine_overview.rst,ClickHouse Table Engine Overview,/home/ubuntu/repotesting/mapreduce-service/umn/source/_static/images/en-us_image_0000001349289865.png,figure,343,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/component-operation-guide/source/using_clickhouse/clickhouse_table_engine_overview.rst,ClickHouse Table Engine Overview,/home/ubuntu/repotesting/mapreduce-service/umn/source/_static/images/en-us_image_0000001295770752.png,substitution_image,389,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/component-operation-guide/source/using_clickhouse/migrating_clickhouse_data/synchronizing_kafka_data_to_clickhouse.rst,Synchronizing Kafka Data to ClickHouse,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/component-operation-guide/source/using_clickhouse/migrating_clickhouse_data/synchronizing_kafka_data_to_clickhouse.rst,Synchronizing Kafka Data to ClickHouse,/home/ubuntu/repotesting/mapreduce-service/umn/source/_static/images/en-us_image_0000001437950709.png,substitution_image,193,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/component-operation-guide/source/using_clickhouse/migrating_clickhouse_data/using_the_clickhouse_data_migration_tool.rst,Using the ClickHouse Data Migration Tool,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/component-operation-guide/source/using_clickhouse/migrating_clickhouse_data/using_the_clickhouse_data_migration_tool.rst,Using the ClickHouse Data Migration Tool,/home/ubuntu/repotesting/mapreduce-service/umn/source/_static/images/en-us_image_0000001533052357.png,substitution_image,68,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/component-operation-guide/source/using_clickhouse/migrating_clickhouse_data/using_the_clickhouse_data_migration_tool.rst,Using the ClickHouse Data Migration Tool,/home/ubuntu/repotesting/mapreduce-service/umn/source/_static/images/en-us_image_0000001349170269.png,substitution_image,69,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/component-operation-guide/source/using_clickhouse/user_management_and_authentication/interconnecting_clickhouse_with_openldap_for_authentication.rst,Interconnecting ClickHouse With OpenLDAP for Authentication,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/component-operation-guide/source/using_clickhouse/user_management_and_authentication/interconnecting_clickhouse_with_openldap_for_authentication.rst,Interconnecting ClickHouse With OpenLDAP for Authentication,/home/ubuntu/repotesting/mapreduce-service/umn/source/_static/images/en-us_image_0000001296090112.png,substitution_image,183,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/component-operation-guide/source/using_flink/security_configuration/configuring_kafka.rst,Configuring Kafka,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/component-operation-guide/source/using_flink/security_configuration/configuring_kafka.rst,Configuring Kafka,/home/ubuntu/repotesting/mapreduce-service/umn/source/_static/images/en-us_image_0000001295930604.png,substitution_image,105,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/component-operation-guide/source/using_flink/using_flink_from_scratch.rst,Using Flink from Scratch,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/component-operation-guide/source/using_flink/using_flink_from_scratch.rst,Using Flink from Scratch,/home/ubuntu/repotesting/mapreduce-service/umn/source/_static/images/en-us_image_0000001349289933.png,figure,136,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/component-operation-guide/source/using_flink/using_flink_from_scratch.rst,Using Flink from Scratch,/home/ubuntu/repotesting/mapreduce-service/umn/source/_static/images/en-us_image_0000001349289937.png,figure,142,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/component-operation-guide/source/using_flink/using_flink_from_scratch.rst,Using Flink from Scratch,/home/ubuntu/repotesting/mapreduce-service/umn/source/_static/images/en-us_image_0000001295930780.png,figure,148,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
