document,title,image,image_type,result,score,reasons,missing_evidence
umn/source/applying_for_a_cloud_waf_instance.rst,Applying for a Cloud WAF Instance,en-us_image_0000002361496364.jpg,icon,partial,0.77,"The image is a small location pin/marker icon, consistent with a region or project selector in a management console. | The RST step 2 instructs to click this icon in the upper left corner to select a region or project, which matches the location pin semantics. | The icon is a generic UI navigation element, not specific to WAF, but it is part of the WAF application workflow. | The image is clearly visible and unambiguous as a location/region selector icon.","The image is very small and low-resolution, making fine details hard to discern. | No surrounding UI context is visible to confirm it is in the upper left corner of a management console."
umn/source/applying_for_a_cloud_waf_instance.rst,Applying for a Cloud WAF Instance,en-us_image_0000002361654944.png,icon,partial,0.77,"The image is a hamburger menu icon (three horizontal lines), a standard navigation menu toggle. | The RST step 3 instructs to click this icon in the upper left corner to open the menu and choose Web Application Firewall (Dedicated) under Security, which matches the hamburger menu semantics. | The icon is a generic UI navigation element, not specific to WAF, but it is part of the WAF application workflow. | The image is clearly visible and unambiguous as a hamburger/menu icon.","The image is very small and low-resolution, making fine details hard to discern. | No surrounding UI context is visible to confirm it is in the upper left corner of a management console."
umn/source/applying_for_a_dedicated_waf_instance.rst,Applying for a Dedicated WAF Instance,en-us_image_0000002395174981.png,screenshot,pass,1.00,"Image is a full UI screenshot of the dedicated WAF instance configuration form | All parameters from Table 1 are visible: WAF Mode, Billing Mode, Region, AZ, Specifications (WI-500/WI-100), WAF Instance Type, VPC, Subnet, Security Group, Quantity, Instance Name Prefix, Tag, Anti-affinity | Matches the RST caption 'Figure 1 Configuring a dedicated WAF instance' in step 6 | The 'Create Now' button at the bottom right matches step 7 of the procedure",
umn/source/applying_for_a_dedicated_waf_instance.rst,Applying for a Dedicated WAF Instance,en-us_image_0000002361495032.jpg,icon,pass,0.88,Small location pin icon used in step 2 to indicate clicking to select a region or project | Matches the RST instruction 'Click |image1| in the upper left corner of the management console and select a region or project' | The icon is a standard location/region selector symbol appropriate for the context,"Image is small and slightly blurry, making fine details hard to discern"
umn/source/applying_for_a_dedicated_waf_instance.rst,Applying for a Dedicated WAF Instance,en-us_image_0000002361654944.png,icon,pass,0.88,Hamburger menu icon (three horizontal lines) used in step 3 to open the navigation menu | Matches the RST instruction 'Click |image2| in the upper left corner and choose Web Application Firewall (Dedicated) under Security' | Standard navigation menu icon appropriate for accessing the service list in the management console,Image is small; only the three-line hamburger pattern is clearly visible
umn/source/configuring_protection_policies/condition_field_description.rst,Condition Field Description,en-us_image_0000002395175065.png,screenshot,pass,1.00,"The image is a UI screenshot of a WAF 'Trigger' condition list panel, matching the document's topic of condition fields. | It displays the columns Field, Subfield, Logic, and Content, exactly the components the RST states a condition field consists of. | The populated row uses Field=Path and Logic=Include, consistent with Example 1 in the document. | The figure is referenced in the 'What Is a Condition Field?' section as Figure 1, so it is directly relevant to that section. | Interactive controls (dropdowns, toggle, Delete, Add Condition, Add Reference Table) are visible, confirming it is a configuration interface.","The 'Case-Sen...' and 'Operation' columns are not explicitly described in the RST table, but this is not a contradiction."
umn/source/configuring_protection_policies/configuring_a_global_protection_whitelist_rule_to_ignore_false_alarms.rst,Configuring a Global Protection Whitelist Rule to Ignore False Alarms,en-us_image_0000002361655996.png,screenshot,pass,0.95,"Image is the 'Add Global Protection Whitelist Rule' dialog, directly matching Figure 1 in the RST. | All parameters from Table 1 are visible: Scope, Domain Name, Condition List (Field/Subfield/Logic/Content), Ignore WAF Protection, Rule Description. | Example values match: Domain Name = www.example.com, Field = Path, Logic = Include, Content = /product. | The dialog shows 'All protection' selected for Ignore WAF Protection, while the table example value states 'Basic web protection' — a minor discrepancy.","The 'Ignored Protection Type', 'Rule ID', 'Rule Type', and 'Ignore Field' parameters from Table 1 are not visible in this dialog view (likely appear conditionally when 'Basic web protection' is selected)."
umn/source/configuring_protection_policies/configuring_a_global_protection_whitelist_rule_to_ignore_false_alarms.rst,Configuring a Global Protection Whitelist Rule to Ignore False Alarms,en-us_image_0000002395174933.png,icon,partial,0.78,"Small location-pin icon used as the region/project selector in the WAF console, matching step 2 description. | Referenced as |image1| in the RST for selecting a region or project in the upper left corner. | Icon is small and low-resolution but clearly a map/location pin symbol.",Icon is very small and slightly blurry; exact styling details are hard to discern.
umn/source/configuring_protection_policies/configuring_a_global_protection_whitelist_rule_to_ignore_false_alarms.rst,Configuring a Global Protection Whitelist Rule to Ignore False Alarms,en-us_image_0000002395334641.png,icon,partial,0.78,Hamburger menu icon (three horizontal lines) used to open the service navigation menu in the WAF console. | Referenced as |image2| in the RST for choosing Web Application Firewall (Dedicated) under Security. | Icon is small and low-resolution but the three-line pattern is recognizable.,Icon is very small and slightly blurry; exact color and styling are hard to confirm.
umn/source/configuring_protection_policies/configuring_a_global_protection_whitelist_rule_to_ignore_false_alarms.rst,Configuring a Global Protection Whitelist Rule to Ignore False Alarms,en-us_image_0000002395174901.png,icon,pass,1.00,"Toggle switch icon in the 'on' (enabled) position, shown in magenta/pink color. | Directly referenced as |image3| in step 6 of the RST, labeled as 'enabled' for the Blacklist and Whitelist configuration area. | Clearly depicts an active toggle state matching the 'enabled' description.",
umn/source/configuring_protection_policies/configuring_a_global_protection_whitelist_rule_to_ignore_false_alarms.rst,Configuring a Global Protection Whitelist Rule to Ignore False Alarms,en-us_image_0000002361494960.png,icon,pass,1.00,"Toggle switch icon in the 'off' (disabled) position, shown in gray. | Directly referenced as |image4| in step 6 of the RST, labeled as 'disabled' for the Blacklist and Whitelist configuration area. | Clearly depicts an inactive toggle state matching the 'disabled' description.",
umn/source/configuring_protection_policies/configuring_a_known_attack_source_rule_to_block_specific_visitors_for_a_specified_duration.rst,Configuring a Known Attack Source Rule to Block Specific Visitors for a Specified Duration,,,fail,,backend_error,No model result was produced.
umn/source/configuring_protection_policies/configuring_anti-crawler_rules.rst,Configuring Anti-Crawler Rules,en-us_image_0000002361655288.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/configuring_protection_policies/configuring_anti-crawler_rules.rst,Configuring Anti-Crawler Rules,en-us_image_0000002395175325.png,screenshot,pass,1.00,"Image is the 'Event Distribution' donut chart labeled Figure 2 in the RST. | Shows total 18 with Javascript challenges 16, JavaScript authentication 2, Other 0, matching the RST text exactly. | Appears in the 'How JavaScript Anti-Crawler Protection Works' section as expected.",
umn/source/configuring_protection_policies/configuring_anti-crawler_rules.rst,Configuring Anti-Crawler Rules,en-us_image_0000002361655788.png,screenshot,pass,1.00,"Image is the Feature Library tab (Figure 3) showing anti-crawler detection features. | Shows Protective Action 'Block' selected and Scanner enabled by default, matching the RST. | Lists Search Engine, Scanner, Script Tool, Other with status toggles as described in Table 1.",
umn/source/configuring_protection_policies/configuring_anti-crawler_rules.rst,Configuring Anti-Crawler Rules,en-us_image_0000002395335661.png,screenshot,pass,1.00,"Image is the JavaScript tab (Figure 4) with Status toggle on and Protection Mode 'Protect specified requests'. | Shows a rule table with wafjs, Path Include /admin, Effective Date Immediate, matching Table 2 example values. | Includes the CDN/Cookie caution banner consistent with the RST important note.",
umn/source/configuring_protection_policies/configuring_anti-crawler_rules.rst,Configuring Anti-Crawler Rules,en-us_image_0000002361655832.png,screenshot,pass,1.00,"Image is the 'Exclude Rule' dialog (Figure 5) for protecting all paths except a specified path. | Fields Rule Name wafjs, Path /admin, Logic Include, Effective Date Immediate match Table 2. | Contains Confirm and Cancel buttons as described in the RST step.",
umn/source/configuring_protection_policies/configuring_anti-crawler_rules.rst,Configuring Anti-Crawler Rules,en-us_image_0000002361655836.png,screenshot,pass,1.00,"Image is the 'Add Rule' dialog (Figure 6) for protecting a specified path only. | Fields Rule Name wafjs, Path /admin, Logic Include, Effective Date Immediate match Table 2. | Contains Confirm and Cancel buttons consistent with the RST step.",
umn/source/configuring_protection_policies/configuring_anti-crawler_rules.rst,Configuring Anti-Crawler Rules,en-us_image_0000002395176221.png,screenshot,pass,1.00,"Image is the Feature Library tab (Figure 7) with the Script Tool status toggle highlighted by a red box. | Script Tool is shown enabled, matching the configuration example step to enable Script Tool. | Other features (Search Engine, Other) shown disabled, consistent with the example.",
umn/source/configuring_protection_policies/configuring_anti-crawler_rules.rst,Configuring Anti-Crawler Rules,en-us_image_0000002361656172.png,screenshot,pass,1.00,Image is the Anti-Crawler configuration area (Figure 8) with the toggle switched on. | Matches the RST step to enable anti-crawler protection. | Small UI element showing the enabled state clearly.,
