document,title,image,image_type,result,score,reasons,missing_evidence
api-ref/source/appendixes/obtaining_a_project_id.rst,Obtaining a Project ID,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/before_you_start/concepts.rst,Concepts,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/calling_apis/returned_values.rst,Returned Values,,,fail,,kein valides Bild,No model result was produced.
umn/source/getting_started_with_gaussdbfor_cassandra/connecting_to_a_gaussdbfor_cassandra_instance_over_private_networks/configuring_security_group_rules.rst,Configuring Security Group Rules,en-us_image_0000001092346948.png,icon,pass,0.90,"The image is a small gray location-pin / map-marker icon, matching the region/project selector icon referenced in step 2 of the procedure. | The RST step 2 states 'Click |image1| in the upper left corner and select a region and a project', which aligns with a location-pin region selector icon. | The icon is an isolated symbolic graphic with no surrounding UI, so it is classified as an icon rather than a screenshot. | No interactive controls (buttons, fields) are visible within the image itself, only the static pin symbol.",No text label or surrounding console UI is visible to confirm the exact placement in the upper-left corner. | The icon is generic; no brand or console-specific context is shown to verify it is the Huawei Cloud region selector.
umn/source/getting_started_with_gaussdbfor_cassandra/connecting_to_a_gaussdbfor_cassandra_instance_over_private_networks/creating_a_gaussdbfor_cassandra_instance.rst,Creating a GaussDB(for Cassandra) Instance,en-us_image_0000001139224537.png,icon,pass,1.00,"The image is a small refresh icon (circular arrow) inside a button-like frame, matching the RST reference |image1| used to refresh DB instance statuses. | The RST states 'You can click |image1| in the upper right corner of the page to refresh the DB instance statuses,' which aligns with a refresh control icon. | The icon appears in the section describing viewing and managing DB instances after creation, where refreshing statuses is contextually relevant. | The visual content (a circular refresh arrow) directly supports the described refresh action.",The image does not show the surrounding page or the 'upper right corner' placement described in the text. | No label or tooltip is visible to confirm the icon's function beyond its refresh symbol.
umn/source/getting_started_with_gaussdbfor_cassandra/connecting_to_a_gaussdbfor_cassandra_instance_over_public_networks/configuring_security_group_rules.rst,Configuring Security Group Rules,en-us_image_0000001139129187.png,icon,partial,0.77,"The image is a small location-pin icon, matching the RST reference |image1| used in step 2 to select a region and project. | It is an isolated symbolic UI graphic, consistent with the 'icon' classification. | The icon's meaning (region/location selector) aligns with the procedure's navigation step in the management console. | No contradiction between the icon and the surrounding RST text.","The image does not show the surrounding console UI, so the exact placement in the upper-left corner cannot be visually confirmed. | No label or text accompanies the icon to explicitly identify it as the region/project selector."
umn/source/getting_started_with_gaussdbfor_cassandra/connecting_to_a_gaussdbfor_cassandra_instance_over_public_networks/creating_a_gaussdbfor_cassandra_instance.rst,Creating a GaussDB(for Cassandra) Instance,en-us_image_0000001139224537.png,icon,pass,0.90,"The image is a small refresh/reload icon (circular arrow) inside a button-like frame, matching the RST reference to click the icon to refresh DB instance statuses. | It is an isolated UI symbol, so it is classified as an icon rather than a full screenshot. | The icon directly supports the procedure step about refreshing instance statuses after creation, so it is relevant to the section. | The visual content (a refresh symbol) aligns with the described action of refreshing statuses, with no contradiction to the text.",The image does not show the surrounding console page or the 'upper right corner' placement described in the text. | No label or tooltip is visible to confirm the icon's function beyond its refresh glyph.
umn/source/logging_in_to_the_gaussdb_nosql_console.rst,Logging In to the GaussDB NoSQL Console,en-us_image_0000001092187390.png,icon,pass,1.00,"The image is a small gray location-pin / map-marker pictogram, an isolated UI symbol, so it is classified as an icon. | In the RST, |image1| is referenced in Procedure step 2: 'Click |image1| in the upper left corner and select a region and a project.' | A location-pin icon is semantically consistent with selecting a region/project in a cloud console's upper-left corner. | The icon appears in the Procedure section where the login/region-selection steps are described, so it is topically and sectionally relevant. | No interactive controls (buttons, menus) are visible within the image itself, only a static symbol.","The image shows only the symbol without surrounding console UI, so the 'upper left corner' placement cannot be visually confirmed from the image alone. | No label or text accompanies the icon to explicitly identify it as the region selector."
umn/source/working_with_gaussdbfor_cassandra/auditing/querying_traces.rst,Querying Traces,en-us_image_0160430768.png,icon,partial,0.77,"The image is a location pin/marker icon, consistent with a region/project selector in a cloud management console. | The RST references this icon in step 2: 'Click |image1| in the upper left corner and select a region and a project,' which matches the semantic meaning of a location pin. | The icon is a generic UI element used across many console procedures, so its topic specificity to 'Querying Traces' is moderate. | The visual clearly shows a map-pin shape with a central dot, confirming it is a location/region selector icon.","The image is very small and low-resolution, making it difficult to confirm any text or additional UI context around the icon. | No surrounding UI elements are visible to confirm it is specifically in the 'upper left corner' of a console."
umn/source/working_with_gaussdbfor_cassandra/auditing/querying_traces.rst,Querying Traces,en-us_image_0108820738.png,icon,partial,0.77,"The image is a downward-pointing chevron (V-shape), a common UI symbol for expanding or collapsing a row in a table. | The RST references this icon in step 6: 'Click |image2| to the left of the record to be queried to extend its details,' which matches the expand/collapse semantics of a downward chevron. | The icon is a generic UI element used in many table/list interfaces, so its topic specificity to 'Querying Traces' is moderate. | The visual clearly shows a downward chevron, confirming it is an expand control.","The image is very small and low-resolution, making it difficult to confirm any surrounding table or list context. | No adjacent text or table rows are visible to confirm it is specifically to the left of a trace record."
umn/source/working_with_gaussdbfor_cassandra/backups_and_restorations/managing_automated_backups.rst,Managing Automated Backups,en-us_image_0000001139129197.png,icon,pass,1.00,"The image is a toggle-switch icon, consistent with the RST instruction to 'click |image1| to disable the backup policy'. | The toggle is shown in the 'on' (active) state, which aligns with the action of clicking it to turn the policy off. | The image is placed in the 'Disabling Automated Backup Policy' section, matching its semantic role. | No contradiction between the icon and the surrounding text.","The image is a standalone icon without surrounding dialog context, so the exact label or state text is not visible."
umn/source/working_with_gaussdbfor_cassandra/db_instance_management/changing_a_db_instance_name.rst,Changing a DB Instance Name,en-us_image_0000001139129107.png,icon,pass,1.00,"Pencil/edit icon matches the RST reference for clicking to change an instance name in Method 1, step 2 | Standard edit icon is semantically appropriate for modifying a DB instance name | Icon is clearly visible and unambiguous as an edit symbol",No surrounding UI context visible; only the isolated icon is shown
umn/source/working_with_gaussdbfor_cassandra/db_instance_management/changing_a_db_instance_name.rst,Changing a DB Instance Name,en-us_image_0000001139224555.png,icon,pass,1.00,"Pencil/edit icon matches the RST reference for clicking in the DB Instance Name field in Method 2, step 3 | Standard edit icon is semantically appropriate for modifying the instance name field | Icon is clearly visible and unambiguous as an edit symbol",No surrounding UI context visible; only the isolated icon is shown
umn/source/working_with_gaussdbfor_cassandra/db_instance_management/changing_a_db_instance_name.rst,Changing a DB Instance Name,en-us_image_0000001092187298.png,icon,pass,1.00,"Checkmark icon matches the RST reference for submitting the name change in Method 2 | A checkmark is a standard confirm/submit symbol, consistent with the described action | Icon is clearly visible and unambiguous as a confirmation symbol",No surrounding UI context visible; only the isolated icon is shown
umn/source/working_with_gaussdbfor_cassandra/db_instance_management/changing_a_db_instance_name.rst,Changing a DB Instance Name,en-us_image_0000001092058816.png,icon,pass,1.00,"X/cross icon matches the RST reference for canceling the name change in Method 2 | An X is a standard cancel/close symbol, consistent with the described action | Icon is clearly visible and unambiguous as a cancel symbol",No surrounding UI context visible; only the isolated icon is shown
