document,title,image,image_type,result,score,reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/before_you_start/concepts.rst,Concepts,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/calling_apis/authentication.rst,Authentication,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/calling_apis/response.rst,Response,,,fail,,kein valides Bild,No model result was produced.
umn/source/dis_sdk_usage_guide/configuring_sample_projects.rst,Configuring Sample Projects,en-us_image_0124306701.png,screenshot,pass,1.00,"Image shows Eclipse Import Projects dialog matching Figure 1 description in RST | Root directory D:\dis-sdk-1.2.3 and dis-sdk-demo project are visible as described | Projects area shows the sample project selected as the RST instructs | Dialog includes Browse, Select All, Deselect All, Refresh, Finish, Cancel buttons consistent with the procedure",
umn/source/dis_sdk_usage_guide/configuring_sample_projects.rst,Configuring Sample Projects,en-us_image_0000001499513972.png,screenshot,pass,1.00,"Image shows Properties for dis-sdk-demo dialog with Resource page in right pane, matching Figure 2 | Text file encoding section shows Other: UTF-8 selected as described in RST | Apply and Close button is visible and highlighted, matching the final step | Left navigation tree shows Resource, Java Build Path, and other expected entries",
umn/source/dis_sdk_usage_guide/configuring_sample_projects.rst,Configuring Sample Projects,en-us_image_0124306705.png,screenshot,fail,0.22,"RST labels this as Figure 3 'Java Build Path' showing Libraries tab and Add External JARs step | Image actually shows the Import Projects dialog, identical to Figure 1, not the Java Build Path page | No Libraries tab, no Add External JARs button, no JAR Selection dialog visible | Clear contradiction between the image content and the RST description for this figure",Java Build Path page with Libraries tab is not shown | Add External JARs button is not visible | JAR Selection dialog is not visible | dis-sdk folder path selection is not shown
umn/source/faqs/dump_questions/how_does_a_schema_support_default_fields_or_null_fields.rst,How Does a Schema Support Default Fields or NULL Fields?,en-us_image_0200877126.png,screenshot,pass,1.00,"Screenshot of the Source Data Schema UI matching Figure 1 'Example of not supporting the default field'. | The 'Null' checkbox is unchecked, consistent with the default (no null support) state described in the RST. | The right panel highlights key1 type as 'string' in a red box, matching the RST statement that key1 type is String. | Interactive controls (Import File, Create Schema Tree, Clear, Format, Unformat, Convert and Move) are visible.",No additional information missing; the image aligns with the RST description.
umn/source/faqs/dump_questions/how_does_a_schema_support_default_fields_or_null_fields.rst,How Does a Schema Support Default Fields or NULL Fields?,en-us_image_0200879188.png,screenshot,pass,1.00,"Screenshot of the Source Data Schema UI matching Figure 2 'Example of supporting the default field'. | The 'Null' checkbox is checked, consistent with enabling null/default support as described in the RST. | The right panel highlights key1 type as ['null','string'] in a red box and shows 'default': null, matching the RST statement that key1 type is Union [null, string]. | Interactive controls (Import File, Create Schema Tree, Clear, Edit, Format, Unformat, Convert and Move) are visible.",No additional information missing; the image aligns with the RST description.
umn/source/faqs/general_questions/what_is_dis.rst,What Is DIS?,en-us_image_0000001199305476.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/getting_started/creating_an_iam_agency.rst,Creating an IAM Agency,en-us_image_0124319023.jpg,screenshot,pass,1.00,"Image shows the IAM Agency page in Open Telekom Cloud management console | Left navigation tree shows Agency highlighted, matching RST step 3 | The '+ Create Agency' button is visible in the top-right, matching the RST instruction | Table columns (Agency Name, Description, Created, Status, Operation) are visible | Breadcrumb and layout match the described console interface",
umn/source/getting_started/creating_an_iam_agency.rst,Creating an IAM Agency,en-us_image_0124319248.jpg,screenshot,pass,0.88,"Image shows the Create Agency form with all major parameters from Table 1 | Agency Name field shows 'dis', Agency Type is 'Cloud service', Cloud Service is 'DIS' | Permissions table shows Global service and OBS(S3) rows with Modify links | Validity Period shows 'Permanent' while RST specifies 'Unlimited' | Permissions table shows '--' in Permission column while RST states 'Tenant Administrator' | OBS(S3) label differs slightly from RST's 'OBS'",Permission column shows '--' instead of the 'Tenant Administrator' policy mentioned in RST | Validity Period label is 'Permanent' rather than 'Unlimited' as stated in the RST
umn/source/getting_started/step_1_creating_a_dis_stream.rst,Step 1: Creating a DIS Stream,en-us_image_0000001788900822.png,screenshot,pass,1.00,"Image shows the Open Telekom Cloud DIS (Data Ingestion Service) management console, matching the RST caption 'Figure 1 DIS management console' | The console displays Streams overview with Common and Advanced DIS streams, partition charts, and a Create button, consistent with the procedure for creating a DIS stream | Left sidebar shows DIS navigation (Overview, Stream Management, Event Management, App Management) matching the expected console layout | The Create button in the upper right aligns with the RST instruction to 'Click Create Stream'",The specific 'Create Stream' button text is not fully visible (shows 'Create' only) | No stream creation form or parameters are visible in this overview screenshot
umn/source/getting_started/step_1_creating_a_dis_stream.rst,Step 1: Creating a DIS Stream,en-us_image_0120206164.png,icon,partial,0.72,"Image is a small location pin/marker icon, consistent with the RST reference to clicking an icon to select a region and project | The icon is used as |image1| in step 2 of the procedure: 'Click |image1| in the upper left corner of the page and select a region and project' | A location pin is semantically appropriate for region selection in a cloud console | The icon is small and isolated, fitting the 'icon' classification","No surrounding UI context is visible to confirm its exact placement in the upper left corner | The icon is very small, making it difficult to assess fine visual details"
umn/source/getting_started/step_2_preparing_a_dis_application_development_environment.rst,Step 2: Preparing a DIS Application Development Environment,en-us_image_0120206057.png,screenshot,pass,1.00,"Image shows the Eclipse Preferences dialog with the Java page selected in the navigation tree | Matches RST step 1.b which describes configuring general settings for Java development | The right pane displays 'General settings for Java development' with options for Package Explorer, Type Hierarchy, Refactoring, Search, and Java dialogs | Figure caption in RST is 'Figure 1 Preferences' which aligns with the visible dialog title",
umn/source/getting_started/step_2_preparing_a_dis_application_development_environment.rst,Step 2: Preparing a DIS Application Development Environment,en-us_image_0120206033.png,screenshot,pass,1.00,"Image shows the Eclipse Preferences dialog with Installed JREs page in the navigation tree | Matches RST step 1.c which describes ensuring configured JDK environmental variables are displayed | The right pane shows a table with Name, Location, Type columns and a jdk1.8.0_101 entry | Buttons Add, Edit, Duplicate, Remove, Search are visible as described in the procedure",
umn/source/getting_started/step_2_preparing_a_dis_application_development_environment.rst,Step 2: Preparing a DIS Application Development Environment,en-us_image_0120206155.png,screenshot,pass,1.00,"Image shows the Add JRE dialog with JRE Type selection | Matches RST step 1.c.ii which describes clicking Add and the Add JRE dialog being displayed | The list shows Execution Environment Description, Standard 1.1.x VM, and Standard VM (highlighted) | Figure caption in RST is 'Figure 3 JRE Type' which matches the visible dialog content",
umn/source/getting_started/step_2_preparing_a_dis_application_development_environment.rst,Step 2: Preparing a DIS Application Development Environment,en-us_image_0120206008.png,screenshot,pass,1.00,"Image shows the Add JRE dialog with JRE Definition page | Matches RST step 1.c.iii which describes configuring basic information about JDK | Fields JRE home, JRE name, Default VM arguments are visible as described in the RST | The JRE system libraries section and Add External JARs button are present",
umn/source/getting_started/step_2_preparing_a_dis_application_development_environment.rst,Step 2: Preparing a DIS Application Development Environment,en-us_image_0151034370.png,screenshot,pass,1.00,"Image shows the Import Projects dialog with dis-sdk-demo project listed | Matches RST step 3.c which describes selecting a save location and the dis-sdk-demo sample project | The root directory D:\dis-sdk-1.2.3 is shown and the project dis-sdk-demo is checked | Options section shows Search for nested projects checked, consistent with import workflow",
umn/source/getting_started/step_2_preparing_a_dis_application_development_environment.rst,Step 2: Preparing a DIS Application Development Environment,en-us_image_0086571410.png,screenshot,pass,1.00,"Image shows the Properties for dis-sdk-demo dialog with Java Build Path page and Libraries tab active | Matches RST step 4.b which describes importing a dependency package via Java Build Path | The JARs and class folders list shows multiple .jar files from dis-sdk-1.2.3 path | Buttons Add JARs, Add External JARs, Add Library, Apply and Close are visible as described",
umn/source/getting_started/step_3_sending_data_to_dis.rst,Step 3: Sending Data to DIS,en-us_image_0068150349.png,screenshot,pass,1.00,"Image shows an IDE right-click context menu with 'Run As' highlighted and a submenu containing '1 Java Application', matching the RST instruction to choose Run As > 1 Java Application. | The figure caption 'Running a producer application' aligns with the 'Running the Producer Program' section. | Menu items (Find Bugs, Code Review, Profile As, Debug As, Run As, Validate, etc.) are clearly visible and consistent with an Eclipse-style IDE shortcut menu. | No contradiction between the image content and the surrounding RST text.","The image does not show the producer application project itself, only the context menu. | No DIS console or data-sent confirmation is shown in this image (that is described separately in the RST)."
umn/source/managing_a_dump_task/creating_a_dump_task.rst,Creating a Dump Task,en-us_image_0238223179.png,icon,partial,0.77,"The image is a small blue location-pin / map-marker symbol, consistent with a region/project selector icon. | In the RST, |image1| and |image2| (both this file) are used in the step 'Click ... in the upper left corner of the page and select a region and project', which matches a location-pin selector. | The icon is an isolated UI symbol, not a full screenshot, so it is classified as an icon. | No contradiction between the icon and the surrounding navigation instructions.","The image is a generic location pin; the surrounding console UI (upper-left corner placement, region/project menu) is not visible in the image itself. | No label or text in the image confirms it is specifically the region/project selector."
umn/source/managing_dis_streams/deleting_a_stream.rst,Deleting a Stream,en-us_image_0000001835382181.png,screenshot,pass,1.00,"Shows the Stream Management page exactly as described in Figure 1 of the RST | Table includes Name/ID, Status, Stream Type, Partitions, Source Data, Data Retention, Created, Enterprise Project, and Operation columns | Delete links are visible in the Operation column matching step 4 of the procedure | Create button visible in upper right corner | Three streams listed with Running status",Left navigation tree is not visible in this screenshot (RST step 3 mentions choosing Stream Management from the navigation tree)
umn/source/managing_dis_streams/deleting_a_stream.rst,Deleting a Stream,en-us_image_0000001835503737.png,screenshot,pass,0.88,"Shows the Delete Stream dialog box as described in Figure 2 of the RST | Warning message and caution text match the RST note about deleted streams not being recoverable | Table shows stream details (Name, ID, Status, Source Data Type) for the stream being deleted | Dialog has Yes and No buttons at the bottom","RST step 5 says 'Click OK' but the dialog shows 'Yes' and 'No' buttons instead, creating a minor text-image mismatch"
umn/source/managing_dis_streams/deleting_a_stream.rst,Deleting a Stream,en-us_image_0120206196.png,icon,partial,0.72,"Small location pin / map marker icon in blue | Referenced in RST step 2 as the element to click to select a region and project | A location pin icon is semantically appropriate for a region/project selector | Icon is small and isolated, consistent with an inline UI symbol",No surrounding UI context visible to confirm exact placement in the upper left corner of the page
umn/source/managing_dis_streams/listing_dis_streams.rst,Listing DIS Streams,en-us_image_0000001835382181.png,screenshot,pass,1.00,"Image is a UI screenshot titled 'Stream Management', matching the RST figure caption and section topic. | Table columns (Name/ID, Status, Stream Type, Partitions, Data Retention (hours), Created, Operation) align with the fields described in the RST. | Stream Type values 'Common' and 'Advanced' are visible, consistent with the RST's stream type definitions. | Operation column shows 'Delete' and a 'More' dropdown, consistent with the RST's mention of Delete and View Dump Task operations. | Created timestamps use the yyyy/MM/dd HH:mm:ss GMT+08:00 format described in the RST.","The RST lists 'View Dump Task' as an operation, but the image shows a 'More' dropdown rather than an explicit 'View Dump Task' label. | The RST does not mention the 'Source Data' or 'Enterprise Project' columns visible in the image, but these do not contradict the text."
umn/source/managing_dis_streams/managing_applications.rst,Managing Applications,en-us_image_0165229968.jpg,screenshot,pass,1.00,"Screenshot shows the Applications tab selected in a stream detail page with tabs: Monitoring, Dump Tasks, Scaling Logs, Applications, Tags, Permissions | Table displays Name, ID, Created, and Operation columns matching the RST description of viewing application names, IDs, and creation time | The 'Remove All Checkpoints' link in the Operation column matches the RST note about deleting checkpoints | This is Figure 1 referenced in the 'Viewing an Application' section",
umn/source/managing_dis_streams/managing_applications.rst,Managing Applications,en-us_image_0165286917.jpg,screenshot,pass,1.00,"Screenshot shows 'App > asdfiasdf' breadcrumb indicating a specific application's consumption details | Descriptive text explains checkpoints as sequence numbers recording consumed data, matching the RST note | Table shows Partition No., Partition Status, Earliest Offset, Latest Offset, and Checkpoint columns | This is Figure 2 referenced in the 'Viewing an Application' section for viewing stream consumption details",
umn/source/managing_dis_streams/managing_applications.rst,Managing Applications,en-us_image_0165093532.png,icon,pass,1.00,Small location pin/marker icon used as the region and project selector | Referenced as |image1| in the RST step 'Click |image1| in the upper left corner of the page and select a region and project' | The icon is consistent with a region selector UI element in cloud console interfaces,
umn/source/managing_dis_streams/managing_applications.rst,Managing Applications,en-us_image_0165094364.png,icon,pass,1.00,"Small location pin/marker icon used as the region and project selector | Referenced as |image2| in the RST step 'Click |image2| in the upper left corner of the page and select a region and project' | Identical to image1, consistent with the same region selector used in both Creating and Viewing sections",
umn/source/managing_dis_streams/scaling_up_down_a_stream.rst,Scaling Up/Down a Stream,en-us_image_0000001671647961.png,screenshot,pass,1.00,"The image shows the 'Edit Auto-Scaling Parameter' dialog box exactly as described in the RST under 'Enabling Auto Scaling' step c. | Visible fields include Stream Type (Common), Auto Scaling toggle (enabled), Down To and Up To numeric inputs with +/- controls, and OK/Cancel buttons. | The dialog directly illustrates the auto-scaling configuration process described in the document. | No contradictions between the image content and the RST text.","The RST mentions setting upper and lower thresholds, but the image shows both values as 1, which is a default state rather than a configured example."
umn/source/managing_dis_streams/scaling_up_down_a_stream.rst,Scaling Up/Down a Stream,en-us_image_0000001623208020.png,icon,partial,0.72,"The image is a small blue location/region pin icon, consistent with the RST instruction 'Click |image1| in the upper left corner of the page and select a region and project.' | It serves as a region/project selector icon in the DIS console navigation. | The icon is generic and does not provide specific detail about the scaling operation itself. | No contradictions with the RST text.",The icon is too small to show any surrounding UI context such as the upper-left corner placement or the region/project selection dropdown.
umn/source/managing_dis_streams/scaling_up_down_a_stream.rst,Scaling Up/Down a Stream,en-us_image_0000001671447933.png,icon,partial,0.72,"The image is a small pencil/edit icon, consistent with the RST instruction 'Click |image2| next to Auto Scaling.' | It represents the edit action to open the Auto-Scaling Parameter dialog. | The icon is generic and does not show the surrounding Auto Scaling row context. | No contradictions with the RST text.",The icon is too small to show the 'Auto Scaling' label or the stream details page context it appears on.
umn/source/managing_dis_streams/scaling_up_down_a_stream.rst,Scaling Up/Down a Stream,en-us_image_0120206196.png,icon,partial,0.72,"The image is a small blue location/region pin icon, consistent with the RST instruction 'Click |image3| in the upper left corner of the page and select a region and project.' under Manual Scaling. | It serves the same region/project selector function as in the Auto Scaling section. | The icon is generic and does not provide specific detail about the manual scaling operation. | No contradictions with the RST text.",The icon is too small to show any surrounding UI context such as the Stream Management page or the Scale Up/Down button.
umn/source/managing_dis_streams/scaling_up_down_a_stream.rst,Scaling Up/Down a Stream,en-us_image_0120396589.png,icon,partial,0.72,"The image is a small blue location/region pin icon, consistent with the RST instruction 'Click |image4| in the upper left corner of the page and select a region and project.' under Viewing Scale-Up/Down Logs. | It serves the same region/project selector function as in other sections. | The icon is generic and does not provide specific detail about the log viewing operation. | No contradictions with the RST text.",The icon is too small to show any surrounding UI context such as the Scale-Up/Down Logs tab or the stream details page.
umn/source/managing_dis_streams/viewing_stream_monitoring_metrics.rst,Viewing Stream Monitoring Metrics,en-us_image_0000001788903274.png,screenshot,pass,1.00,"Image is explicitly referenced as 'Figure 1 Monitoring page' in the RST and shows the DIS stream monitoring page. | Displays the Streams and Partitions sub-tabs, time range buttons (1h, 3h, 12h, Custom), and stream details matching the table description. | Breadcrumb shows 'Stream Management / dis-8qZy' consistent with the navigation steps described. | All UI elements visible and legible, directly supporting the monitoring metrics viewing instructions.",The actual monitoring graphs/charts are not visible in the screenshot (page appears to be at the top before data loads).
umn/source/managing_dis_streams/viewing_stream_monitoring_metrics.rst,Viewing Stream Monitoring Metrics,en-us_image_0120206196.png,icon,partial,0.72,"Referenced as |image1| in step 2: 'Click |image1| in the upper left corner and select a region and a project.' | The image is a small location pin/marker icon, consistent with a region/project selector in a cloud console UI. | It is a small symbolic graphic (icon) rather than a full screenshot. | The icon is relevant to the navigation instructions but does not show the full context of the upper-left corner area.",The surrounding UI context (upper left corner of the console) is not visible; only the isolated icon is shown. | No text label is visible on the icon to confirm it is specifically the region/project selector.
umn/source/managing_dis_streams/viewing_stream_monitoring_metrics.rst,Viewing Stream Monitoring Metrics,en-us_image_0127307205.jpg,icon,partial,0.72,"Referenced as |image2| in the Time Range table row: 'Click |image2| next to Custom, and then set the start time and end time.' | The image is a small calendar icon, consistent with a date/time picker control. | It is a small symbolic graphic (icon) used to indicate the custom time range selection action. | The icon semantically matches the described action of setting start and end times.",The surrounding UI context (the 'Custom' label and time range area) is not visible; only the isolated icon is shown. | No text or additional UI elements are visible to confirm the exact placement next to 'Custom'.
