document,title,image,image_type,result,score,reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/before_you_start/concepts.rst,Concepts,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/calling_apis/returned_values.rst,Returned Values,,,fail,,kein valides Bild,No model result was produced.
umn/source/account_management/managing_permissions/managing_permissions.rst,Managing Permissions,en-us_image_0000002454002032.png,screenshot,pass,1.00,"The image is a terminal/CLI screenshot showing a MySQL session, matching the 'screenshot' definition (visible interface with command prompt and output). | It displays the three commands from Example 1 of the SHOW GRANTS section: SHOW GRANTS, SHOW GRANTS FOR CURRENT_USER, and SHOW GRANTS FOR CURRENT_USER(). | Each command returns a 'Grants for root' table with a GRANT statement listing privileges, consistent with the figure caption 'Viewing the permissions of the current user'. | The content directly supports the SHOW GRANTS section and its Example 1, with no contradiction to the RST text.",No additional information is missing; the image aligns with the documented example.
umn/source/auditing/querying_traces.rst,Querying Traces,en-us_image_0000001733146333.png,icon,pass,1.00,"The image is a small downward-pointing chevron/arrow glyph, an isolated UI symbol, so it is classified as an icon. | In the RST, |image1| is referenced in step 6 of the Procedure: 'click |image1| on the left of the trace to view details', which matches an expand/collapse arrow used to reveal trace details. | The downward chevron is consistent with an expand control placed to the left of a list row, aligning with the described action of viewing trace details. | The image is directly tied to the 'Querying Traces' procedure and the trace-list interaction described in the document.","The image shows only the arrow glyph without surrounding list rows or console UI, so the exact placement 'on the left of the trace' cannot be visually confirmed. | No label or tooltip is visible to confirm the control's function beyond its arrow shape."
umn/source/backups_and_restorations/backup_principles.rst,Backup Principles,en-us_image_0000001685147442.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/connection_management/changing_a_database_port.rst,Changing a Database Port,en-us_image_0000001685307214.png,icon,pass,1.00,"Pencil/edit icon matches the RST instruction to click an edit icon beside 'Database Port' | Standard edit symbol (pencil) is semantically correct for modifying a field value | Icon is small and isolated, consistent with an inline UI symbol in a console interface",No surrounding UI context visible (just the icon in isolation)
umn/source/connection_management/changing_a_database_port.rst,Changing a Database Port,en-us_image_0000001733266389.png,icon,pass,1.00,"Checkmark icon matches the RST instruction to click to confirm the port change | Standard confirm/OK symbol (checkmark) is semantically correct for proceeding with an action | Icon is small and isolated, consistent with an inline UI symbol in a console interface",No surrounding UI context visible (just the icon in isolation)
umn/source/connection_management/changing_a_database_port.rst,Changing a Database Port,en-us_image_0000001733266393.png,icon,pass,1.00,"X/cross icon matches the RST instruction to click to cancel the port change | Standard cancel/close symbol (X) is semantically correct for aborting an action | Icon is small and isolated, consistent with an inline UI symbol in a console interface",No surrounding UI context visible (just the icon in isolation)
umn/source/connection_management/changing_the_security_group_of_a_ddm_instance.rst,Changing the Security Group of a DDM Instance,en-us_image_0000001685147562.png,icon,pass,1.00,Pencil/edit icon matches the RST description of clicking an icon beside the Security Group field to modify it | Standard UI convention: edit icon next to a field indicates the field is editable | Icon is used in step 2 of the Procedure section for changing the security group,No surrounding UI context visible (just the isolated icon)
umn/source/connection_management/changing_the_security_group_of_a_ddm_instance.rst,Changing the Security Group of a DDM Instance,en-us_image_0000001733146369.png,icon,pass,1.00,Green checkmark icon matches the RST description of clicking to confirm specifying a new security group | Standard UI convention: checkmark represents confirmation/accept action | Used in step 2 of the Procedure as the confirm button after selecting a new security group,No surrounding UI context visible (just the isolated icon)
umn/source/connection_management/changing_the_security_group_of_a_ddm_instance.rst,Changing the Security Group of a DDM Instance,en-us_image_0000001685307302.png,icon,pass,1.00,Magenta X icon matches the RST description of clicking to cancel the security group change | Standard UI convention: X represents cancel/reject action | Used in step 2 of the Procedure as the cancel button for the security group change,No surrounding UI context visible (just the isolated icon)
umn/source/connection_management/configuring_access_control.rst,Configuring Access Control,en-us_image_0000001685307398.png,screenshot,pass,1.00,"Shows the Network Information area with Access Control toggle, matching Figure 1 description | Displays all expected fields: Floating IP Address, DDM Service Port (5066), VPC, Subnet, Security Group, Access Control | The Access Control toggle is highlighted with a red border, indicating where to click to enable it | Directly corresponds to the single-group scenario described in the RST procedure",
umn/source/connection_management/configuring_access_control.rst,Configuring Access Control,en-us_image_0000001685147654.png,screenshot,pass,1.00,"Shows the Group Information table with multiple groups (group-6691, group-default), matching Figure 2 description | The Access Control column is highlighted with a red border, showing where to click for each group | Displays all expected columns: Group Name, Instance Nodes, Role, Subnet, Floating IP Address, Access Control, Operation | Directly corresponds to the multi-group scenario described in the RST procedure",
umn/source/connection_management/configuring_access_control.rst,Configuring Access Control,en-us_image_0000001733146461.png,icon,pass,0.88,"Small toggle switch icon in the off (gray) position, used as inline reference |image1| in the RST | Represents the clickable toggle next to the Access Control label in the single-group scenario | Minimal visual detail as it is a simple UI symbol | Consistent with the toggle shown in the full screenshot (Image 1)",No surrounding context visible; it is an isolated icon without labels or page elements
umn/source/connection_management/configuring_access_control.rst,Configuring Access Control,en-us_image_0000001685307394.png,icon,pass,0.88,"Small toggle switch icon in the off (gray) position, used as inline reference |image2| in the RST | Represents the clickable toggle in the Access Control column for the multi-group scenario | Minimal visual detail as it is a simple UI symbol | Consistent with the toggle shown in the full screenshot (Image 2)",No surrounding context visible; it is an isolated icon without labels or page elements
umn/source/connection_management/enabling_and_disabling_ssl_for_a_db_instance.rst,Enabling and Disabling SSL for a DB instance,en-us_image_0000002127674393.png,icon,pass,1.00,"Image shows a toggle switch in the OFF (gray) position, consistent with the 'Enabling SSL' step where the user clicks the off toggle to turn SSL on | The icon is referenced as |image1| in step 3 of the Enabling SSL section, matching its semantic role | Small isolated UI symbol (toggle switch), correctly classified as an icon","No surrounding UI context visible (no field label, no page frame)"
umn/source/connection_management/enabling_and_disabling_ssl_for_a_db_instance.rst,Enabling and Disabling SSL for a DB instance,en-us_image_0000002091995216.png,icon,pass,1.00,"Image shows a toggle switch in the ON (blue) position, consistent with the 'Disabling SSL' step where the user clicks the on toggle to turn SSL off | The icon is referenced as |image2| in step 3 of the Disabling SSL section, matching its semantic role | Small isolated UI symbol (toggle switch), correctly classified as an icon","No surrounding UI context visible (no field label, no page frame)"
umn/source/faqs/general_questions/how_do_i_select_and_configure_a_security_group.rst,How Do I Select and Configure a Security Group?,en-us_image_0000001685147478.png,screenshot,pass,1.00,"Image is a UI screenshot of the sg-ECS security group Inbound Rules tab, matching Figure 1 caption 'ECS security group rules'. | Shows inbound rules (TCP:22 SSH, ICMP:All, All from sg-ECS) consistent with allowing client access to the DDM instance. | Security group name sg-ECS matches the RST assumption for the ECS security group. | Visible interactive controls (Add Rule, Fast-Add Rule, Delete, Allow Common Ports, Import/Export Rule, Modify/Replicate/Delete links) confirm it is an application screenshot.","No explicit rule for port 5066 is shown in this ECS inbound view, but the RST only requires the ECS rules to allow client access, so this is not a contradiction."
umn/source/faqs/general_questions/how_do_i_select_and_configure_a_security_group.rst,How Do I Select and Configure a Security Group?,en-us_image_0000001733266413.png,screenshot,pass,1.00,"Image is a UI screenshot of the sg-DDM security group Inbound Rules tab, matching Figure 2 caption 'Configuring security group inbound rules for your DDM instance'. | Shows TCP:5066 from sg-ECS, matching the RST-stated DDM service port 5066 and the ECS source security group. | Includes an All rule from sg-DDM for intra-group communication, consistent with the RST guidance. | Interactive controls (Add Rule, Fast-Add Rule, Delete, Allow Common Ports, Import/Export Rule, Modify/Replicate/Delete) are visible.","No additional context beyond the rule table is shown, but the visible rules fully support the RST description."
umn/source/faqs/general_questions/how_do_i_select_and_configure_a_security_group.rst,How Do I Select and Configure a Security Group?,en-us_image_0000001733146301.png,screenshot,pass,1.00,"Image is a UI screenshot of the sg-DDM security group Outbound Rules tab, matching Figure 3 caption 'Configuring security group outbound rules for your DDM instance'. | Shows TCP:3306 to sg-RDS, matching the RST-stated RDS for MySQL port 3306 and the RDS destination security group. | Includes an All rule to 0.0.0.0/0 for general outbound traffic, consistent with the configuration guidance. | Interactive controls (Add Rule, Fast-Add Rule, Delete, Allow Common Ports, Import/Export Rule, Modify/Replicate/Delete) are visible.",No further detail is needed; the visible outbound rules align with the RST description.
umn/source/faqs/general_questions/how_do_i_select_and_configure_a_security_group.rst,How Do I Select and Configure a Security Group?,en-us_image_0000001733266417.png,screenshot,pass,1.00,"Image is a UI screenshot of the sg-RDS security group Outbound Rules tab, matching Figure 4 caption 'Configuring security group rules of the RDS instance'. | Shows an All rule to sg-DDM, allowing the DDM instance to access the data node, consistent with the RST instruction. | Includes an All rule to 0.0.0.0/0 for general traffic, consistent with the configuration guidance. | Interactive controls (Add Rule, Fast-Add Rule, Delete, Allow Common Ports, Import/Export Rule, Modify/Replicate/Delete) are visible.","The RST text refers to this as rules for the data node's security group; the image labels it sg-RDS, which is consistent with the RDS for MySQL data node assumption."
umn/source/getting_started/overview.rst,Overview,en-us_image_0000001733146485.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/getting_started/step_1_create_a_ddm_instance_and_an_rds_for_mysql_instance.rst,Step 1: Create a DDM Instance and an RDS for MySQL Instance,en-us_image_0000001685147682.png,icon,pass,1.00,"The image is a location pin / map marker icon, which is the standard UI symbol for a region selector. | RST step 2 instructs the user to 'Click |image1| in the upper left corner and select the required region,' which directly matches a region/location icon. | The icon is used in the Procedure section of a DDM instance creation guide, where selecting a region is the first configuration step. | No contradiction exists between the icon's meaning (region/location) and the surrounding text.","The image is a small, low-resolution icon; no surrounding UI context (e.g., the actual console header) is visible to confirm placement in the upper-left corner."
umn/source/instance_management/administrator_account.rst,Administrator Account,en-us_image_0000001733146449.png,icon,pass,0.90,"Location pin icon matches the RST instruction to 'select a region and a project' | Icon is a standard UI symbol for region/area selection in a management console | Used in step 2 of the Resetting the Administrator Password section | The icon is a small symbolic graphic, not a screenshot",No visible text or label on the icon to confirm it specifically represents region selection | Cannot verify the exact console context from the icon alone
umn/source/instance_management/administrator_account.rst,Administrator Account,en-us_image_0000001733266565.png,icon,pass,0.90,"Hamburger menu icon (three horizontal lines) matches the RST instruction to open navigation and choose Databases > Distributed Database Middleware | Standard UI symbol for opening a side navigation menu | Used in step 3 of the Resetting the Administrator Password section | The icon is a small symbolic graphic, not a screenshot",No visible text or label on the icon to confirm it opens a specific navigation menu | Cannot verify the exact console context from the icon alone
umn/source/instance_management/administrator_account.rst,Administrator Account,en-us_image_0000001685147638.png,icon,pass,0.90,"Location pin icon matches the RST instruction to 'select a region and a project' | Identical to image1, used in the Creating an Administrator Account section step 2 | Standard UI symbol for region/area selection | The icon is a small symbolic graphic, not a screenshot",No visible text or label on the icon to confirm it specifically represents region selection | Cannot verify the exact console context from the icon alone
umn/source/instance_management/administrator_account.rst,Administrator Account,en-us_image_0000001733266553.png,icon,pass,0.90,"Hamburger menu icon (three horizontal lines) matches the RST instruction to open navigation and choose Databases > Distributed Database Middleware | Identical to image2, used in the Creating an Administrator Account section step 3 | Standard UI symbol for opening a side navigation menu | The icon is a small symbolic graphic, not a screenshot",No visible text or label on the icon to confirm it opens a specific navigation menu | Cannot verify the exact console context from the icon alone
umn/source/instance_management/modifying_parameters_of_a_ddm_instance.rst,Modifying Parameters of a DDM Instance,en-us_image_0000001685147610.png,screenshot,pass,1.00,"Image shows a MySQL terminal EXPLAIN output for a JOIN query between sharded tables (bill and ordertbl), directly illustrating the bind_table parameter effect | The execution plan shows a LookUpJoin with two separate ExtTableScan operations on db_4581_[0~7], consistent with the 'bind_table not used' scenario described in the RST | The figure caption in the RST matches: 'Result if bind_table is not used' | Terminal output is clearly readable with visible table structure and SQL text",
umn/source/instance_management/modifying_parameters_of_a_ddm_instance.rst,Modifying Parameters of a DDM Instance,en-us_image_0000001685147602.png,screenshot,pass,1.00,"Image shows a MySQL terminal EXPLAIN output for the same JOIN query, demonstrating the optimized execution plan when bind_table IS used | The plan shows a single ExtTableScan on db_e421_[0~15] with the INNER JOIN pushed down into the pushdownSql, indicating the optimizer combined the tables | The 'plan cache: hit' line confirms the optimized plan is cached, consistent with the bind_table parameter enabling better optimization | The figure caption in the RST matches: 'Result if bind_table is used'",
umn/source/monitoring_management/viewing_metrics/viewing_instance_metrics.rst,Viewing Instance Metrics,en-us_image_0000001620873737.png,icon,pass,0.90,"The image is a small blue downward chevron, an expand/collapse control symbol. | RST step 3 references |image1| as the control to click in front of the target instance to reveal nodes before viewing metrics. | The chevron is consistent with an expand control used in the instance list procedure for viewing instance metrics. | No contradiction between the icon and its described use in the Procedure section.","Only the isolated chevron is shown; no surrounding list, instance name, or console UI is visible. | Cannot confirm from the image alone that it is specifically the DDM console expand control."
umn/source/parameter_template_management/applying_a_parameter_template.rst,Applying a Parameter Template,en-us_image_0000001685147590.png,icon,partial,0.77,"The image is a location/region pin icon, consistent with step 2's instruction to select a region and project. | It is a generic UI navigation icon, not specific to DDM or parameter templates, but it is part of the documented procedure. | The RST explicitly references this image as the element to click for region selection, and the icon visually matches that purpose.",No surrounding UI context is visible; only the isolated icon is shown. | The specific label or tooltip for the icon is not visible in the image.
umn/source/parameter_template_management/applying_a_parameter_template.rst,Applying a Parameter Template,en-us_image_0000001733146405.png,icon,partial,0.77,"The image is a hamburger menu icon (three horizontal lines), consistent with step 3's instruction to open the navigation menu and choose Databases > Distributed Database Middleware. | It is a generic UI navigation icon, not specific to DDM or parameter templates, but it is part of the documented procedure. | The RST explicitly references this image as the element to click to access the service navigation, and the icon visually matches that purpose.",No surrounding UI context is visible; only the isolated icon is shown. | The specific label or menu items that appear after clicking are not visible in the image.
umn/source/parameter_template_management/comparing_two_parameter_templates.rst,Comparing Two Parameter Templates,en-us_image_0000001685307262.png,icon,partial,0.77,"The image is a location pin icon, consistent with the RST instruction to 'select a region and a project' in step 2. | It is a small symbolic graphic (icon), not a screenshot of the parameter template comparison interface. | The icon is part of the navigation procedure to reach the Parameter Templates page, so it is tangentially related to the main topic of comparing parameter templates. | The visual clearly shows a standard location/map pin symbol, matching the described use case for region selection.",No surrounding UI context is visible; only the isolated icon is shown. | The actual region/project selection dropdown or panel is not depicted.
umn/source/parameter_template_management/comparing_two_parameter_templates.rst,Comparing Two Parameter Templates,en-us_image_0000001733266445.png,icon,partial,0.77,"The image is a hamburger menu icon (three horizontal lines), consistent with the RST instruction to click in the upper left corner to open navigation in step 3. | It is a small symbolic graphic (icon), not a screenshot of the parameter template comparison interface. | The icon is part of the navigation procedure to reach Databases > Distributed Database Middleware, so it is tangentially related to the main topic. | The visual clearly shows three horizontal bars, a standard hamburger/menu icon used for navigation.",No surrounding UI context is visible; only the isolated icon is shown. | The actual navigation menu with 'Databases > Distributed Database Middleware' options is not depicted.
umn/source/parameter_template_management/creating_a_parameter_template.rst,Creating a Parameter Template,en-us_image_0000001733146325.png,icon,partial,0.77,"The image is a location pin icon, consistent with the RST instruction to 'select a region and a project' in step 2. | It is a small symbolic UI element (icon), not a full screenshot. | The icon is part of the navigation procedure to reach the parameter template creation page, indirectly related to the main topic. | The visual clearly shows a map/location pin symbol, matching the described function of selecting a region.",No surrounding UI context is visible to confirm this is specifically the region selector in the DDM management console. | The icon is generic and could represent any location/region selector in any application.
umn/source/parameter_template_management/creating_a_parameter_template.rst,Creating a Parameter Template,en-us_image_0000001733146317.png,icon,partial,0.77,"The image is a hamburger menu icon (three horizontal lines), consistent with the RST instruction to click it and 'choose Databases > Distributed Database Middleware' in step 3. | It is a small symbolic UI element (icon), not a full screenshot. | The icon is part of the navigation procedure to reach the DDM section, indirectly related to the parameter template creation topic. | The visual clearly shows three horizontal lines, the standard hamburger menu symbol for opening a navigation menu.",No surrounding UI context is visible to confirm this is specifically the navigation menu in the DDM management console. | The icon is generic and could represent any hamburger menu in any application.
umn/source/parameter_template_management/deleting_a_parameter_template.rst,Deleting a Parameter Template,en-us_image_0000001733266501.png,icon,partial,0.77,"The image is a location pin icon, consistent with step 2's instruction to click an icon in the upper left corner to select a region and project. | The icon is a standard UI symbol for region/location selection in cloud management consoles. | It is referenced as |image1| in the Procedure section of the document. | The icon is clearly visible and identifiable as a map/location pin.","The image does not show the full management console interface, only the isolated icon. | No surrounding UI context is visible to confirm the exact placement in the upper left corner."
