document,title,image,image_type,result,score,reasons,missing_evidence
umn/source/deh_management/adjusting_deh_resource_quotas.rst,Adjusting DeH Resource Quotas,en-us_image_0275513364.png,icon,partial,0.72,"The image is a small location-pin icon, consistent with a region/project selector in the upper-left corner of a management console. | The RST step 2 instructs the user to click this icon to select the desired region and project, which aligns with a location/region selector symbol. | The icon is part of the navigation flow for viewing quotas but does not directly illustrate quota information or DeH resources. | No contradiction between the icon's appearance and its described function in the document.","The icon is very small and low-resolution; finer details of the UI context (e.g., surrounding menu) are not visible. | No label or text accompanies the icon in the image itself to confirm it is specifically a region selector."
umn/source/deh_management/adjusting_deh_resource_quotas.rst,Adjusting DeH Resource Quotas,en-us_image_0152727234.png,icon,partial,0.78,"The image is a small bar-chart icon (three vertical bars of decreasing height), which is a common symbol for resource usage or quota visualization. | The RST step 3 instructs the user to click this icon in the upper-right corner to display the Quotas page, which is semantically consistent with a bar-chart/usage icon. | The icon is directly tied to the step that leads to viewing quota information, making it highly relevant to the section. | No contradiction between the icon's appearance and its described function in the document.",The icon is very small and low-resolution; surrounding UI context is not visible. | No text label in the image confirms it is specifically the 'Quotas' button.
umn/source/deh_management/changing_the_name_of_a_deh.rst,Changing the Name of a DeH,en-us_image_0000001850888056.png,icon,pass,1.00,"Location pin icon is used in step 2 to select region and project, which is a standard UI pattern for region selection in cloud management consoles. | The icon is a small symbolic graphic (map pin), consistent with its role as a region/project selector. | Directly referenced in the Procedure section as the element to click for region and project selection.",No surrounding UI context visible; the icon is shown in isolation.
umn/source/deh_management/changing_the_name_of_a_deh.rst,Changing the Name of a DeH,en-us_image_0238393801.png,icon,pass,1.00,"Green checkmark icon is used in step 5 to confirm the name change, which is a standard confirm/OK action. | The icon is a small symbolic graphic (checkmark), consistent with a confirmation action. | Directly referenced in the Procedure section as the button to click after changing the name.",No surrounding UI context visible; the icon is shown in isolation.
umn/source/deh_management/changing_the_name_of_a_deh.rst,Changing the Name of a DeH,en-us_image_0238393800.png,icon,pass,1.00,"Red X icon is used in step 5 as the cancel action when the user does not want to change the name. | The icon is a small symbolic graphic (X mark), consistent with a cancel/close action. | Directly referenced in the Procedure section as the button to click to discard the name change.",No surrounding UI context visible; the icon is shown in isolation.
umn/source/deh_management/changing_the_name_of_a_deh.rst,Changing the Name of a DeH,en-us_image_0000001176881132.png,icon,pass,1.00,"Pencil/edit icon is used in step 6 to make the DeH name editable, which is directly relevant to the topic of changing a name. | The icon is a small symbolic graphic (pencil), consistent with an edit action. | Directly referenced in the Procedure section as the element to click next to the DeH name to enable editing.",No surrounding UI context visible; the icon is shown in isolation.
umn/source/deh_management/configuring_auto_placement_for_dehs.rst,Configuring Auto Placement for DeHs,en-us_image_0000001850888056.png,icon,pass,0.90,"The image is a small gray location-pin / map-marker symbol, consistent with a region/project selector icon. | In the RST, |image1| is used in Procedure step 2: 'Click |image1| in the upper left corner and select the desired region and project,' which matches a location-pin icon. | The icon is an isolated UI symbol, not a full screenshot or interactive button. | No contradiction between the icon and its textual reference.","The image does not show surrounding console UI, so the exact placement (upper-left corner) cannot be visually confirmed. | No label or text accompanies the icon to explicitly identify it as the region/project selector."
umn/source/deh_management/releasing_a_deh.rst,Releasing a DeH,en-us_image_0210485079.png,icon,partial,0.77,"The image is a small gray location-pin / map-marker pictogram, an isolated UI symbol, so it is classified as an icon. | In the RST, |image1| is used in Procedure step 2 to indicate clicking the region/project selector in the upper-left corner, which a location pin icon conventionally represents. | The icon is semantically consistent with 'select the desired region and project' and does not contradict the surrounding text. | No interactive controls (buttons, menus) are visible; it is a static symbol.",The image alone does not show the management console context or the region/project dropdown it triggers. | No label or text accompanies the icon to confirm it is the region selector.
umn/source/deh_management/releasing_dehs_in_batches.rst,Releasing DeHs in Batches,en-us_image_0210485079.png,icon,partial,0.77,"The image is a small gray location-pin / map-marker pictogram, an isolated UI symbol, so it is classified as an icon. | In the RST, |image1| is used in Procedure step 2 to indicate clicking the region/project selector, which a location pin icon appropriately represents. | The icon is relevant to the Procedure section where the user selects the desired region and project before navigating to Dedicated Host. | The visual content (a teardrop location marker with a central dot) is clearly visible and unambiguous.","The image does not show the surrounding management console UI, so the exact placement in the upper-left corner cannot be verified from the image alone. | No label or text accompanies the icon, so its meaning relies on the RST context."
umn/source/deh_management/viewing_the_details_of_a_deh.rst,Viewing the Details of a DeH,en-us_image_0000001850888056.png,icon,pass,0.90,"The image is a small gray location-pin / map-marker pictogram, an isolated UI symbol, so it is classified as an icon. | In the RST, |image1| is referenced in Procedure step 2: 'Click |image1| in the upper left corner and select the desired region and project.' | A location-pin icon is the standard region/project selector control in cloud management consoles, matching the described action exactly. | The icon appears in the Procedure section and is directly relevant to navigating to the DeH console. | No interactive button states, labels, or magenta styling are visible; it is a static symbol.","The image is a generic region-selector icon and does not itself show the DeH details page or any DeH-specific fields. | No surrounding UI context (e.g., the upper-left corner placement) is visible in the isolated icon."
