document,title,image,image_type,result,score,reasons,missing_evidence
umn/source/certificate_management/deleting_a_certificate.rst,Deleting a Certificate,en-us_image_0000001372795273.png,screenshot,pass,1.00,"Image shows the Certificates page in a WAF management console with a table listing certificates | Matches Figure 1 referenced in step 4 of the procedure | Displays Certificate Name, Domain Name, Expiration Date, and Operation columns as expected | Shows the 'Delete' link in the Operation column for the 'wafest' certificate | Includes the 'Quota details' link mentioned in the note | Upload Certificate button visible in upper right corner",
umn/source/certificate_management/deleting_a_certificate.rst,Deleting a Certificate,en-us_image_0000001372554625.png,screenshot,pass,1.00,Image shows the 'Delete Certificate' confirmation dialog box | Matches Figure 2 referenced in step 5 of the procedure | Displays the warning message about irreversibility of deletion | Shows the certificate name 'wafest' and expiration date | Contains 'Yes' and 'No' buttons matching step 6 instruction to click 'Yes',
umn/source/certificate_management/deleting_a_certificate.rst,Deleting a Certificate,en-us_image_0000001372714457.png,icon,pass,0.88,"Image is a small location pin / map marker icon | Used as |image1| in step 2 for selecting a region or project | A location pin is semantically appropriate for a region/project selector | The icon is small and slightly blurry, limiting detail assessment","Icon is very small and low resolution, making it difficult to confirm exact visual details | No surrounding UI context visible to confirm it is in the upper left corner of the console"
umn/source/certificate_management/uploading_a_certificate.rst,Uploading a Certificate,en-us_image_0000001372795273.png,screenshot,pass,1.00,"Image is the Certificates page screenshot referenced as Figure 1 in step 4. | Shows the certificate list table with columns Certificate Name, Domain Name, Expiration Date, Operation. | Displays the Upload Certificate button in the upper right corner and Quota details link as described. | Two sample entries (wafest, test) are visible matching a typical certificate list view.",
umn/source/certificate_management/uploading_a_certificate.rst,Uploading a Certificate,en-us_image_0000001321314946.png,screenshot,pass,1.00,"Image is the Upload Certificate dialog box referenced as Figure 2 in step 5. | Shows Certificate Name field, Certificate Content field with PEM content, and Private Key field with RSA key. | Includes Quota details info banner, View Example links, and OK/Cancel buttons. | Directly matches the RST description of entering certificate name and pasting certificate file and private key.",
umn/source/certificate_management/uploading_a_certificate.rst,Uploading a Certificate,en-us_image_0000001372714457.png,icon,pass,0.88,"Image is a small location-pin icon referenced as |image1| in step 2 for selecting a region or project. | The icon is a map/location marker consistent with a region selector in a management console. | Image is small and slightly blurry, limiting fine detail assessment.",Icon is low-resolution; exact label or tooltip text is not visible.
umn/source/certificate_management/uploading_a_certificate.rst,Uploading a Certificate,en-us_image_0000001372554657.png,icon,pass,0.88,"Image is a small pencil/edit icon referenced as |image2| for modifying a certificate name. | The pencil symbol is a standard edit indicator, consistent with the RST context of clicking to modify a name. | Image is small and slightly blurry, limiting fine detail assessment.",Icon is low-resolution; no surrounding UI context is visible to confirm placement in the Certificate Name column.
umn/source/change_history.rst,Change History,en-us_image_0000001372914929.png,icon,partial,0.77,"The image is a small circular clockwise-arrow (refresh/reload) pictogram, i.e., an isolated UI symbol, so it is classified as an icon. | The RST references |image1| in the 2019-03-04 entry as a 'button in the upper right corner of the domain information page', which is consistent with a refresh button icon. | The icon depicts a button-like control, so an interactive control symbol is visible. | The image is a generic refresh icon rather than a WAF-specific graphic, so topic and detail match are moderate. | No contradiction between the icon and the RST description of a button.",The image does not show the surrounding domain information page or the upper-right-corner placement described in the RST. | No label or tooltip is visible to confirm the exact function of the button.
umn/source/dashboard.rst,Dashboard,en-us_image_0000001372795313.png,screenshot,pass,1.00,"Image is a full dashboard UI screenshot showing event logs for a WAF domain | All parameters from Table 1 are visible: Requests (56), Peak Value (1 qps), Attacks (27), Attack Sources (2) | Time period selector shows Yesterday, Today, Past 3 days, Past 7 days, Past 30 days matching the RST | Event Distribution donut chart with SQL Injection and Custom legend is present | Top 5 Source IP Addresses (Attacks) bar chart is visible with values 23, 4, 0, 0, 0 | Attack trend line chart with date axis and Time Zone (GMT+08:00) label is shown | Domain name drop-down 'All domain names' is visible in the upper left",
umn/source/dashboard.rst,Dashboard,en-us_image_0000001372714457.png,icon,pass,0.88,"Image is a small location-pin / map-marker icon consistent with a region or project selector | RST step 2 says 'Click |image1| in the upper left corner of the management console and select a region or project', which matches a location pin icon | The icon is small and slightly blurry, limiting fine detail assessment | No contradiction between the icon and its described purpose in the procedure",Icon is low-resolution; exact label or tooltip text is not visible | Cannot confirm whether the icon is specifically a 'region' selector versus a generic location marker
umn/source/domain_management/configuring_the_minimum_tls_version_and_cipher_suite.rst,Configuring the Minimum TLS Version and Cipher Suite,en-us_image_0000001321794518.png,screenshot,pass,1.00,"Shows the WAF Domains page table with Name, Mode, DNS, Protection Status, Policy, and Operation columns, matching Figure 1 in the RST. | Includes the 'Quota details' link and search/tag controls referenced in the note and procedure. | Directly supports step 3 (choose Security > Web Application Firewall > Domains) and step 4 (click target domain name).","The domain name is partially blurred, so the exact protected domain cannot be verified."
umn/source/domain_management/configuring_the_minimum_tls_version_and_cipher_suite.rst,Configuring the Minimum TLS Version and Cipher Suite,en-us_image_0000001321474658.png,screenshot,pass,1.00,"Shows the Basic Information page with a TLS Configuration row displaying 'TLS v1.1' and 'Default cipher suite' plus an edit (pencil) icon, matching Figure 2. | Client Protocol is shown as HTTPS, consistent with the prerequisite for this section. | Supports step 5: clicking the edit icon next to the cipher suite name to open the TLS Configuration dialog.","The edit icon is small; its exact label is not textually shown, but its position next to the cipher suite name is clear."
umn/source/domain_management/configuring_the_minimum_tls_version_and_cipher_suite.rst,Configuring the Minimum TLS Version and Cipher Suite,en-us_image_0000001321794530.png,screenshot,pass,1.00,"Shows the TLS Configuration dialog with Minimum TLS Version and Cipher Suite dropdowns, exactly the parameters described in Table 1. | Displays the note about requests using the selected version or later and the cipher suite description, matching the RST text. | Includes OK and Cancel buttons supporting step 6 (Click OK).","The dropdown options (TLS v1.2, cipher suites 1-3) are not expanded, so the full list of choices is not visible."
umn/source/domain_management/configuring_the_minimum_tls_version_and_cipher_suite.rst,Configuring the Minimum TLS Version and Cipher Suite,en-us_image_0000001372714457.png,icon,partial,0.65,"A small location/map-pin icon used in step 2 to select a region or project in the upper left corner. | It is a navigation control rather than a TLS-specific element, so its topical relevance to the TLS configuration is indirect. | The image is a low-resolution isolated symbol with little detail.","No surrounding UI context is visible, so the exact menu it opens cannot be confirmed from the image alone."
