document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/apis/federated_identity_authentication_management/obtaining_a_token_in_federated_identity_authentication_mode/idp_initiated.rst,IdP Initiated,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/apis/federated_identity_authentication_management/obtaining_a_token_in_federated_identity_authentication_mode/sp_initiated.rst,SP Initiated,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/before_you_start.rst,Before You Start,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/calling_apis/response.rst,Response,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/mycredential/source/how_do_i_manage_access_keys.rst,How Do I Manage Access Keys?,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/mycredential/source/how_do_i_modify_my_credential_information.rst,How Do I Modify My Credential Information?,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/mycredential/source/how_do_i_query_a_project_id.rst,How Do I Query a Project ID?,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/mycredential/source/how_do_i_view_my_credential_information.rst,How Do I View My Credential Information?,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/permissions/source/permissions.rst,Permissions,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/user_guide/auditing/viewing_audit_logs.rst,Viewing Audit Logs,/home/ubuntu/repotesting/identity-access-management/umn/source/_static/images/en-us_image_0000001135554103.png,figure,40,screenshot,True,False,True,"Interactive button 'View Trace' is blue, not magenta or plain white, and no magenta elements are present.",3,3,3,3,3,1.00,fail,,200,completed,1,Matches RST description of expanding trace details. | Shows table with trace information and expanded fields.,
umn/source/user_guide/auditing/viewing_audit_logs.rst,Viewing Audit Logs,/home/ubuntu/repotesting/identity-access-management/umn/source/_static/images/en-us_image_0274187205.png,figure,49,screenshot,True,False,True,"Close button 'X' is gray, not magenta or plain white, and no magenta elements are present.",3,3,3,3,3,1.00,fail,,200,completed,1,Matches RST description of the View Trace dialog box. | Shows JSON details of a trace.,
umn/source/user_guide/identity_providers/iam_user_sso_via_saml/overview_of_iam_user_sso_via_saml.rst,Overview of IAM User SSO via SAML,/home/ubuntu/repotesting/identity-access-management/umn/source/_static/images/en-us_image_0000001607256960.png,figure,51,screenshot,True,False,True,"Interactive 'Copy' button is blue, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,"Screenshot shows the SSO login link configuration UI with a 'Copy' button, aligning with the RST description of configuring a federated login entry.",
umn/source/user_guide/identity_providers/iam_user_sso_via_saml/verifying_the_login.rst,Verifying the Login,/home/ubuntu/repotesting/identity-access-management/umn/source/_static/images/en-us_image_0000001656582221.png,figure,23,screenshot,True,False,True,Interactive button (copy icon) is not magenta or plain white.,3,3,3,3,3,1.00,fail,,200,completed,1,Screenshot displays the IAM console Basic Information section and the Login Link with a copy icon.,
umn/source/user_guide/identity_providers/virtual_user_sso_via_saml/creating_an_idp_entity.rst,Creating an IdP Entity,/home/ubuntu/repotesting/identity-access-management/umn/source/_static/images/en-us_image_0000001606939052.png,figure,109,screenshot,True,False,True,"The interactive link 'Manually configure' is blue, and there are no other magenta buttons or text visible.",3,3,3,3,3,1.00,fail,,200,completed,1,"The image shows the 'Manually configure' link highlighted, matching the RST instruction.",
umn/source/user_guide/identity_providers/virtual_user_sso_via_saml/verifying_the_login.rst,Verifying the Login,/home/ubuntu/repotesting/identity-access-management/umn/source/_static/images/en-us_image_0000001656459361.png,figure,23,screenshot,True,False,True,"Interactive copy button is dark gray, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,Screenshot shows the Basic Information section with the login link and the copy button highlighted.,None
