document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/before_you_start/concepts.rst,Concepts,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/advanced_queries/creating_a_custom_query.rst,Creating a Custom Query,/home/ubuntu/repotesting/config/umn/source/_static/images/en-us_image_0000001924943432.png,figure,34,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image shows the 'Advanced Queries' page with the 'Custom Queries' tab selected. | It clearly displays the 'Create Query' button in the upper right corner, matching step 4 of the document. | The button is magenta, complying with the color rule.",
umn/source/advanced_queries/creating_a_custom_query.rst,Creating a Custom Query,/home/ubuntu/repotesting/config/umn/source/_static/images/en-us_image_0000001924872408.png,figure,54,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image shows the 'Query Editor' with a 'Save Query' dialog box open. | It illustrates step 6 ('Click Save Query') and step 7 ('Click OK') of the 'Creating a Custom Query' section. | The 'OK' button in the dialog is magenta, satisfying the color requirement.",
umn/source/advanced_queries/creating_a_custom_query.rst,Creating a Custom Query,/home/ubuntu/repotesting/config/umn/source/_static/images/en-us_image_0000001952151661.png,figure,81,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image shows the 'Advanced Queries' page with the 'Default Queries' tab selected. | It highlights the 'Query' button in the 'Operation' column, matching step 2 of the 'Using a Predefined Query' section. | The pagination number '1' is magenta, so the image contains a magenta button.",
umn/source/advanced_queries/creating_a_custom_query.rst,Creating a Custom Query,/home/ubuntu/repotesting/config/umn/source/_static/images/en-us_image_0000001925032772.png,figure,97,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image shows the 'Query Editor' with a 'Save As' dialog box open. | It illustrates step 4 ('Click Save As') and step 5 ('Click OK') of the 'Using a Predefined Query' section. | The 'OK' button in the dialog is magenta, satisfying the color requirement.",
umn/source/advanced_queries/creating_a_custom_query.rst,Creating a Custom Query,/home/ubuntu/repotesting/config/umn/source/_static/images/en-us_image_0000001711484518.png,substitution_image,230,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image is an icon of three horizontal lines (hamburger menu). | It corresponds to |image1| in step 2 of the 'Creating a Custom Query' section, which instructs to click this icon in the upper left corner. | As an icon, it does not contain visible interactive buttons to trigger a hard fail.",
umn/source/advanced_queries/deleting_a_query.rst,Deleting a Query,/home/ubuntu/repotesting/config/umn/source/_static/images/en-us_image_0000001925034256.png,figure,31,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Screenshot shows the 'Custom Queries' tab and the 'Delete' button in the Operation column. | Confirmation dialog for deleting the query is visible.,
umn/source/advanced_queries/deleting_a_query.rst,Deleting a Query,/home/ubuntu/repotesting/config/umn/source/_static/images/en-us_image_0000001711484518.png,substitution_image,38,icon,False,False,False,,2,2,2,2,3,0.72,partial,,200,completed,1,Image shows the hamburger menu icon referenced in the text. | Lacks surrounding UI context to show the 'Management & Deployment' menu.,Surrounding interface showing the menu expansion.
umn/source/advanced_queries/modifying_a_custom_query.rst,Modifying a Custom Query,/home/ubuntu/repotesting/config/umn/source/_static/images/en-us_image_0000001952313421.png,figure,33,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image clearly shows the 'Custom Queries' tab and highlights the 'Query' button in the Operation column, directly illustrating step 5 of the procedure.",
umn/source/advanced_queries/modifying_a_custom_query.rst,Modifying a Custom Query,/home/ubuntu/repotesting/config/umn/source/_static/images/en-us_image_0000001711484518.png,substitution_image,48,icon,False,False,False,,2,2,2,2,3,0.72,partial,,200,completed,1,The image shows the hamburger menu icon referenced in step 2. | It is an isolated crop without the surrounding interface context mentioned in the text.,Surrounding UI showing the 'upper left corner' location. | The 'Management & Deployment' menu that appears after clicking.
umn/source/appendix/supported_services_and_regions.rst,Supported Services and Regions,/home/ubuntu/repotesting/config/umn/source/_static/images/en-us_image_0000001792864500.png,figure,20,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Image shows the Resource List page with the 'Supported Services and Regions' link, matching the document description. | Contains magenta interactive elements like the 'All' buttons and toggle switch, satisfying the color rule.",
umn/source/appendix/supported_services_and_regions.rst,Supported Services and Regions,/home/ubuntu/repotesting/config/umn/source/_static/images/en-us_image_0000001978887360.png,substitution_image,25,icon,False,False,False,,2,2,2,2,3,0.72,partial,,200,completed,1,"Image shows a hamburger menu icon, which corresponds to the navigation icon mentioned in the procedure step 2.",
umn/source/faqs/resource_compliance.rst,Resource Compliance,/home/ubuntu/repotesting/config/umn/source/_static/images/en-us_image_0000001967928392.png,figure,23,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Image displays the 'Configure Rule Parameters' UI for a predefined policy. | Shows predefined parameters 'specifiedTagKey' and 'specifiedTagValue' matching the text description. | Directly corresponds to Figure 1 and the section content.,
umn/source/faqs/resource_compliance.rst,Resource Compliance,/home/ubuntu/repotesting/config/umn/source/_static/images/en-us_image_0000002004649109.png,figure,29,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Image displays the 'Configure Rule Parameters' UI for a custom policy. | Shows input fields for custom parameters and a note indicating a maximum of 10 parameters. | Directly corresponds to Figure 2 and the section content.,
umn/source/faqs/resource_list.rst,Resource List,/home/ubuntu/repotesting/config/umn/source/_static/images/en-us_image_0000001952314057.png,figure,14,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays the 'Resource List' page interface. | It clearly shows the 'View Details' button in the Operation column, directly illustrating the text's instruction. | The UI layout and elements match the described workflow for accessing service details.",
umn/source/faqs/resource_recorder.rst,Resource Recorder,/home/ubuntu/repotesting/config/umn/source/_static/images/en-us_image_0000002001635001.png,figure,65,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Image shows the 'Advanced Queries' page with the 'Query' button highlighted, matching the text instructions. | The magenta 'Query' buttons align with the UI description.",
umn/source/faqs/resource_recorder.rst,Resource Recorder,/home/ubuntu/repotesting/config/umn/source/_static/images/en-us_image_0000001964993150.png,figure,73,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Image displays the 'Query Editor' interface with resource attributes on the left, as described. | The magenta 'Run' button is visible, consistent with standard UI elements.",
umn/source/faqs/resource_recorder.rst,Resource Recorder,/home/ubuntu/repotesting/config/umn/source/_static/images/en-us_image_0000001978727588.png,substitution_image,91,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Image shows the hamburger menu icon referenced in the text. | The icon matches the description of the element to click in the upper left corner.,
umn/source/permissions_management/creating_an_iam_user_and_granting_permissions_to_access_config.rst,Creating an IAM User and Granting Permissions to Access Config,/home/ubuntu/repotesting/config/umn/source/_static/images/en-us_image_0000001842296713.png,figure,28,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,The image is a flowchart that visually represents the process of granting Config permissions. | The steps in the flowchart exactly match the numbered list provided in the 'Process Flow' section of the document. | The image is correctly referenced and captioned as Figure 1 in the document.,
umn/source/resource_compliance/rules/adding_a_custom_rule.rst,Adding a Custom Rule,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/resource_compliance/rules/adding_a_rule_with_a_predefined_policy.rst,Adding a Rule with a Predefined Policy,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/resource_compliance/rules/editing_a_rule.rst,Editing a Rule,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/resource_compliance/rules/triggering_a_rule.rst,Triggering a Rule,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/resource_compliance/rules/viewing_a_rule.rst,Viewing a Rule,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/resource_compliance/viewing_noncompliant_resources.rst,Viewing Noncompliant Resources,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/resource_list/viewing_resource_changes.rst,Viewing Resource Changes,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/resource_list/viewing_resource_compliance_data.rst,Viewing Resource Compliance Data,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/resource_list/viewing_resource_relationships.rst,Viewing Resource Relationships,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/resource_list/viewing_resources/exporting_the_resource_list.rst,Exporting the Resource List,,,,,,,,,,,,,,,fail,backend_error,,,2,,
umn/source/resource_list/viewing_resources/filtering_resources.rst,Filtering Resources,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/resource_list/viewing_resources/querying_all_resources.rst,Querying All Resources,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/resource_list/viewing_resources/querying_details_about_a_resource.rst,Querying Details About a Resource,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/resource_recorder/configuring_the_resource_recorder.rst,Configuring the Resource Recorder,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/service_overview/what_is_config.rst,What Is Config?,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
