document,title,image,image_type,result,score,reasons,missing_evidence
api-ref/source/apis/federated_identity_authentication_management/obtaining_a_token_in_federated_identity_authentication_mode/idp_initiated.rst,IdP Initiated,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/apis/federated_identity_authentication_management/obtaining_a_token_in_federated_identity_authentication_mode/sp_initiated.rst,SP Initiated,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/before_you_start.rst,Before You Start,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/calling_apis/response.rst,Response,,,fail,,kein valides Bild,No model result was produced.
doc/mycredential/source/how_do_i_manage_access_keys.rst,How Do I Manage Access Keys?,,,fail,,kein valides Bild,No model result was produced.
doc/mycredential/source/how_do_i_modify_my_credential_information.rst,How Do I Modify My Credential Information?,,,fail,,kein valides Bild,No model result was produced.
doc/mycredential/source/how_do_i_query_a_project_id.rst,How Do I Query a Project ID?,,,fail,,kein valides Bild,No model result was produced.
doc/mycredential/source/how_do_i_view_my_credential_information.rst,How Do I View My Credential Information?,,,fail,,kein valides Bild,No model result was produced.
doc/permissions/source/permissions.rst,Permissions,,,fail,,kein valides Bild,No model result was produced.
umn/source/faqs/how_do_i_bind_a_virtual_mfa_device.rst,How Do I Bind a Virtual MFA Device?,en-us_image_0000002525746603.png,screenshot,pass,1.00,"Image shows the Security Settings page with the Critical Operations tab active, matching step 2 of the procedure. | The Virtual MFA Device row displays an 'Unbound' status and a highlighted 'Bind' button, consistent with the figure caption 'Binding a virtual MFA device'. | Tabs (Basic Information, Critical Operations, Login Authentication Policy, Password Policy, ACL) align with the described Security Settings interface.","No QR code or secret key is shown, but those belong to a later step, so this is not a gap for this figure."
umn/source/faqs/how_do_i_bind_a_virtual_mfa_device.rst,How Do I Bind a Virtual MFA Device?,en-us_image_0000002525618428.png,screenshot,pass,1.00,"Image shows the 'Add MFA Device' page with Step 1 (set up authenticator app) and a QR code, matching the figure caption 'Adding a virtual MFA device'. | Account Name, Username, and Secret Key fields correspond to the 'entering the secret key' option in the procedure. | Step 2 with two 6-digit verification code input fields matches the requirement to enter two consecutive codes.","The QR code and secret key values are partially obscured/redacted, but the structure is still clearly visible."
umn/source/getting_started/getting_started_with_iam.rst,Getting Started with IAM,en-us_image_0000001088564514.png,other,pass,1.00,"The image is a hierarchical diagram illustrating the IAM user management model, matching the document's topic of IAM users and groups. | The diagram's structure (Domain/Account at top, then admin, Developers, Testers groups, then individual users) aligns with the RST example description. | User names in the image (Franklin, Lawrence under admin; Elizabeth, Randolph under Developers; Jennifer, Randolph under Testers) exactly match the example steps in the RST. | The image is referenced in the RST as Figure 1 'User management model' within the Example section, so it is directly relevant to that section. | No visible contradiction between the diagram and the textual example.","The diagram does not show the security credentials (username/password) mentioned in the note, but this is not required for the figure."
umn/source/service_overview/iam_features.rst,IAM Features,en-us_image_0274187240.png,other,pass,1.00,"The image is a static diagram illustrating a permissions management model, matching the RST figure caption 'Figure 1 Permissions management model'. | It depicts two users (Job and Ray) with different access levels ('Manage' vs 'View') across multiple projects (A, B, C), directly illustrating the 'Refined permissions management' bullet. | Projects contain cloud services (ECS, EVS, OBS, VPC), consistent with the RST's mention of OBS and other services. | The diagram aligns with the example of granting different permissions to different users for the same or different projects.","No explicit legend explaining the dashed vs solid project boundaries. | The diagram does not show user groups or SSO, which are other IAM features mentioned in the RST."
umn/source/service_overview/identity_management.rst,Identity Management,en-us_image_0274187193.png,other,pass,1.00,"Diagram clearly labeled 'Domain (Account)' at top, 'Security administrator' in middle, and 'User 1/2/3' at bottom | Arrows labeled 'Create' and 'Create and manage' match the RST text about creating a security administrator to manage users | Figure caption in RST is 'Account management model' which matches the diagram content | Hierarchical structure aligns with the Domain section discussing account and security administrator roles",
umn/source/service_overview/identity_management.rst,Identity Management,en-us_image_0274186863.png,other,pass,1.00,Diagram shows 'Domain (Account)' connected to User 1 through User 4 via lines | Matches RST caption 'Relationship between an account and users' | Placed in the User section which discusses creating users in IAM | Tree structure visually represents the one-to-many relationship between an account and its users,
umn/source/service_overview/permissions_management.rst,Permissions Management,en-us_image_0274187188.png,other,pass,1.00,"Diagram clearly illustrates the authorization model described in the 'Granting Permissions to Users' section | Shows the relationship between Project/Resources, Permission set, User group, and User as described in the text | Labels (Project, Resources, Permission set, Authorize, User, Add, User group) match the concepts in the RST | The flow (User adds to User group, Permission set authorizes to User group) aligns with the two-step process described",
umn/source/service_overview/permissions_management.rst,Permissions Management,en-us_image_0274186856.png,other,pass,1.00,"Diagram illustrates identity conversion of federated users as described in the 'Granting Permissions to Federated Users' section | Shows the flow: Federated users → Rules → User groups, matching the text about creating identity provider and identity conversion rules | Labels (Federated users, Rules, User groups) are consistent with the RST content | The diagram supports the concept of federating external users and granting permissions via conversion rules",
umn/source/user_guide/agencies/delegating_another_account_for_resource_management/creating_an_agency_and_assigning_permissions.rst,Creating an Agency and Assigning Permissions,en-us_image_0000001511524692.png,screenshot,pass,1.00,"Image shows the IAM console Agencies page with left navigation pane and Create Agency button highlighted in upper right corner | Matches RST step 2 exactly: choose Agencies from left navigation pane and click Create Agency in the upper right corner | Left nav shows Agencies highlighted, consistent with the described navigation | Table columns (Agency Name/ID, Delegated Party, Validity Period, Created, Description, Operation) align with agency management context",
umn/source/user_guide/agencies/delegating_another_account_for_resource_management/creating_an_agency_and_assigning_permissions.rst,Creating an Agency and Assigning Permissions,en-us_image_0000001562564797.png,screenshot,pass,1.00,"Image shows the Create Agency form with Agency Name field pre-filled with 'agency' | Displays Agency Type options (Account and Cloud service) matching RST step 4 description | Includes Delegated Account, Validity Period, and Description fields matching RST steps 4-5 | Cancel and OK buttons visible at bottom, consistent with the form submission flow",
umn/source/user_guide/agencies/delegating_another_account_for_resource_management/process_for_account_delegation.rst,Process for Account Delegation,en-us_image_0000001951429117.png,other,pass,1.00,"Diagram depicts Account A delegating its resources (Region A + Permissions) to Account B, matching the account delegation topic. | Aligns with step 1 where Account A creates an agency to delegate resource access to Account B. | Labels and the 'Delegate' arrow clearly convey the delegation flow described in the RST. | No visible UI controls, so it is a conceptual diagram rather than a screenshot or icon.",No actual IAM agency-creation interface is shown; the figure is conceptual only.
umn/source/user_guide/agencies/delegating_another_account_for_resource_management/process_for_account_delegation.rst,Process for Account Delegation,en-us_image_0000001924150268.png,other,pass,1.00,"Diagram shows Account B performing a permissions assignment to an IAM user, matching step 2 of the procedure. | The annotation 'Manages resources of account A based on assigned permissions' matches the RST description of authorizing an IAM user. | Clear labels (Account B, Permissions assignment, IAM user) provide strong visual evidence. | It is a multi-element conceptual diagram, not a screenshot or isolated icon.",The user-group creation sub-steps (a and b) are not explicitly depicted; only the permission assignment to an IAM user is shown.
umn/source/user_guide/agencies/delegating_another_account_for_resource_management/process_for_account_delegation.rst,Process for Account Delegation,en-us_image_0000001924309660.png,other,pass,1.00,"Diagram shows Account B managing resources for account A within Region A, matching step 3 of the procedure. | The 'Region A' and 'Resources' elements correspond to the RST instruction to switch to region A and manage account A's resources. | Clear labels and a single connecting line provide unambiguous visual evidence. | It is a conceptual diagram, not a screenshot or isolated icon.",The role-switching action (logging in as account B and switching to account A) is not explicitly illustrated; only the resulting management state is shown.
umn/source/user_guide/agencies/delegating_another_service_for_resource_management.rst,Delegating Another Service for Resource Management,en-us_image_0000001562896221.png,screenshot,pass,1.00,"The image is a UI screenshot of the IAM console 'Create Agency' page, matching the document topic of creating a cloud service agency. | It shows the 'Agency Name' field filled with 'abcd' and the 'Cloud service' agency type selected, consistent with RST steps 3-4 and the Figure 1 caption 'Cloud service agency name'. | The form fields (Agency Name, Agency Type, Cloud Service, Validity Period, Description) align with the procedure described in the 'Creating a Cloud Service Agency on the IAM Console' section. | No contradiction: the Cloud Service dropdown still shows the placeholder, which is consistent with the step-by-step flow where the service is selected after the name.","The specific cloud service to be delegated is not yet chosen in the screenshot (placeholder shown), so the exact service example (e.g., OBS) is not visible."
umn/source/user_guide/agencies/deleting_or_modifying_agencies.rst,Deleting or Modifying Agencies,en-us_image_0000001511856446.png,screenshot,pass,1.00,"Screenshot shows the Agencies list page with a single agency row and the 'Modify' action highlighted in a red box, matching Figure 1 caption 'Modifying an agency'. | The RST instructs to 'click Modify in the row containing the agency you want to modify', and the image clearly highlights the Modify link in the Operation column. | Table columns (Agency Name/ID, Delegated Party, Validity Period, Created, Description, Operation) are consistent with the agency management context described in the RST.",
umn/source/user_guide/agencies/deleting_or_modifying_agencies.rst,Deleting or Modifying Agencies,en-us_image_0000001511377602.png,screenshot,pass,1.00,"Screenshot shows the Agencies list page with the 'Delete' action in the Operation column highlighted in a red box, matching Figure 2 caption 'Deleting an agency'. | The RST instructs to 'click Delete in the row containing the agency to be deleted and click OK', and the image clearly highlights the Delete link in the row. | The interface layout and columns are consistent with the agency management context described in the RST.",The confirmation dialog with the 'OK' button mentioned in the RST is not visible in this screenshot.
umn/source/user_guide/agencies/deleting_or_modifying_agencies.rst,Deleting or Modifying Agencies,en-us_image_0000001511378178.png,screenshot,pass,1.00,"Screenshot shows multiple agencies with checkboxes selected (three rows checked) and the 'Delete' button above the list highlighted in a red box, matching Figure 3 caption 'Batch deleting agencies'. | The RST instructs to 'select the agencies to be deleted in the list and click Delete above the list', and the image clearly shows both the selection via checkboxes and the highlighted Delete button above the table. | Multiple agency types are visible (Cloud service, Account), demonstrating the batch operation context.",
umn/source/user_guide/auditing/viewing_audit_logs.rst,Viewing Audit Logs,en-us_image_0000001135554103.png,screenshot,pass,1.00,"Image shows a trace list table with columns matching the RST description: Trace Name, Resource Type, Trace Source, Resource ID, Resource Name, Trace Status, Operator, Recorded, Operation | The first row (login, IAM) is expanded showing Trace ID, Trace Type (ConsoleAction), Source IP Address, and Generated timestamp, matching Figure 1 caption 'Expanding trace details' | The 'View Trace' link in the Operation column is visible, consistent with step 7 of the procedure | Trace Source shows 'IAM' for the login entry, matching the filter instruction in the RST",Resource Name and Operator columns appear blank/redacted in the image
