document,title,image,image_type,result,score,reasons,missing_evidence
umn/source/faqs/connection_management_development_tool/mysql/self-built_databases_on_ecss.rst,Self-Built Databases on ECSs,en-us_image_0000001337431632.png,screenshot,pass,1.00,"The image shows a terminal/code view containing the [mysqld] section with the skip-name-resolve directive. | This directly matches the rst instruction to enter 'skip-name-resolve' under [mysqld] in the database configuration file. | The image is placed immediately after the code-block illustrating the same configuration, serving as a visual example. | No interactive controls or buttons are visible in the image.","The image does not show the full file path or editor context, only the two lines of configuration text."
umn/source/faqs/connection_management_development_tool/reference/modifying_ecs_security_group_rules.rst,Modifying ECS Security Group Rules,en-us_image_0000001387792145.png,screenshot,pass,1.00,"Shows the ECS details page with the Security Groups tab active, matching step 1. | Displays the Inbound Rules table including a TCP 3306 rule and a 100.0.0.0/8 source, consistent with the RST description. | Includes the Manage Rule link and Change Security Group control referenced in the document.","Some source/description values are blurred, but the key TCP 3306 and 100.0.0.0/8 entries are visible."
umn/source/faqs/connection_management_development_tool/reference/modifying_ecs_security_group_rules.rst,Modifying ECS Security Group Rules,en-us_image_0000001388031793.png,screenshot,pass,1.00,"Shows the Add Inbound Rule dialog matching Figure 2 and step 2. | Fields show TCP protocol, port 3306, source 100.0.0.0/8, and description DAS, matching the recommended configuration note. | Contains interactive controls (Add Rule, OK, Cancel, dropdowns).",
umn/source/faqs/connection_management_development_tool/reference/modifying_ecs_security_group_rules.rst,Modifying ECS Security Group Rules,en-us_image_0000001337591748.png,screenshot,pass,1.00,"Shows the Add Outbound Rule dialog matching Figure 3 and step 3. | Fields show TCP protocol, destination 100.0.0.0/8, and description DAS, consistent with the outbound rule note. | Contains interactive controls (Add Rule, OK, Cancel, dropdowns).","The port field shows only a placeholder (Example: 22 or 22-30) rather than a filled value, but this is consistent with a form to be completed."
umn/source/faqs/connection_management_development_tool/reference/modifying_firewall_rules.rst,Modifying Firewall Rules,en-us_image_0000001387792089.png,screenshot,pass,1.00,"The image shows a terminal line '-A INPUT -p tcp -m tcp --dport 49537 -j ACCEPT', which is an iptables rule output. | This directly matches the RST step that runs 'iptables -S' to check the iptables configuration. | The visible '--dport 49537' aligns with the note explaining that the port next to --dport indicates the accessible port. | The image is placed immediately after the iptables -S code block, consistent with its role as example output.","No full terminal window or prompt is visible; only a single rule line is shown. | No additional context (e.g., other rules or the command prompt) is present in the image."
umn/source/faqs/product_consulting/how_are_the_sql_statements_classified.rst,How Are the SQL Statements Classified?,en-us_image_0000001388031477.png,other,pass,1.00,"The image is a table titled with columns Query, Data Change, Structure Change, O&M, and High-Risk Operation, which directly illustrates the classification of SQL statements. | The figure caption in the RST ('Classification of SQL statements') matches the content of the table exactly. | The table lists concrete SQL statement examples (e.g., select, insert, alter table, create user, drop database) under each classification category, providing the detail the FAQ title asks about. | This is the only figure in the document and is the sole visual evidence for the section.","No explanatory text in the image defining each category beyond the column headers. | Some cells are empty, leaving certain categories without examples."
umn/source/getting_started/data_management/overview.rst,Overview,en-us_image_0000001387791961.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/getting_started/data_management/step_1_log_in_to_das.rst,Step 1: Log In to DAS,en-us_image_0000001337591560.png,icon,pass,1.00,"The image is a location pin icon, which is the standard symbol for a region/location selector in cloud management consoles. | The RST instructs the user to click this icon in the upper left corner to select the desired region and project, which matches the location pin semantics perfectly. | The icon is a small, isolated pictogram with no surrounding UI, confirming it is an icon rather than a screenshot.","The image does not show the surrounding UI context (e.g., the upper-left corner of the console), but the RST provides that context in text."
umn/source/getting_started/data_management/step_1_log_in_to_das.rst,Step 1: Log In to DAS,en-us_image_0000001387911537.png,icon,pass,1.00,"The image is a hamburger menu icon (three horizontal lines), the standard symbol for opening a navigation menu. | The RST instructs the user to click this icon in the upper left corner and then navigate under Database to Data Admin Service, which is consistent with a hamburger menu revealing a service navigation panel. | The icon is a small, isolated pictogram with no surrounding UI, confirming it is an icon rather than a screenshot.","The image does not show the expanded menu or the Database / Data Admin Service items, but the RST describes that navigation in text."
umn/source/getting_started/intelligent_o&m/overview.rst,Overview,en-us_image_0000001388191653.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/getting_started/intelligent_o&m/step_1_log_in_to_das.rst,Step 1: Log In to DAS,en-us_image_0000001387911589.png,icon,pass,1.00,"The image shows a location pin icon, which is a standard UI symbol for region/location selection | The RST describes clicking this icon in the upper left corner to select the required region and project | A location pin is semantically appropriate for region selection in a cloud console interface | The icon is small and isolated, consistent with an icon classification",The image does not show the surrounding UI context (upper left corner placement) | No text label is visible on the icon itself
umn/source/getting_started/intelligent_o&m/step_1_log_in_to_das.rst,Step 1: Log In to DAS,en-us_image_0000001337591616.png,icon,pass,1.00,"The image shows a hamburger menu icon (three horizontal lines), a standard navigation menu symbol | The RST describes clicking this icon in the upper left corner to access a menu containing Database > Data Admin Service | A hamburger menu is the conventional UI element for opening a service/navigation menu in cloud consoles | The icon is small and isolated, consistent with an icon classification","The image does not show the surrounding UI context (upper left corner placement) | No text label is visible on the icon itself | The menu contents (Database, Data Admin Service) are not visible in the icon"
