document,title,image,image_type,result,score,reasons,missing_evidence
api-ref/source/v2/index.rst,Financial Dashboard API v2 (Current),,,fail,,kein valides Bild,No model result was produced.
doc/sustainability/source/usermanual.rst,Sustainability Dashboard User Manual,image01.png,screenshot,pass,1.00,"Image shows 'Overall power consumption per region' stacked bar chart matching section 1 description | Chart displays breakdown by service types (Database, Container, Compute, Block Storage, Object Storage, Network, Used Elastic IP Address) as described | Mean, Last, Total columns visible on the right side matching the legend indicators described in RST | Both EU-DE and EU-NL regions shown in the same graph as stated in the document",
doc/sustainability/source/usermanual.rst,Sustainability Dashboard User Manual,image02.png,screenshot,pass,1.00,"Image shows 'Compute power consumption per region' matching section 2 'Compute Service Details' | VM types (Memory-optimized, General Purpose) with specific configurations visible in legend | Mean, Last, Total columns present as described in the dashboard structure | Daily time bins visible on x-axis matching the temporal analysis description",
doc/sustainability/source/usermanual.rst,Sustainability Dashboard User Manual,image03.png,screenshot,pass,1.00,"Image shows 'Container infrastructure power consumption per region' matching section 3 | CCE VM types (Compute small, medium, large, xlarge, 2xlarge, 4xlarge) visible in legend | Mean, Last, Total columns present as described | Container IDs and types included as stated in the RST description",
doc/sustainability/source/usermanual.rst,Sustainability Dashboard User Manual,image04.png,screenshot,pass,1.00,"Image shows 'Database power consumption per region' matching section 4 'Database Service Details' | RDS PostgreSQL instances with CPU and RAM configurations visible in legend | Mean, Last, Total columns present as described | Resource ID and type visible as stated in the RST description",
doc/sustainability/source/usermanual.rst,Sustainability Dashboard User Manual,image05.png,screenshot,pass,1.00,"Image shows two charts: 'Block storage power consumption per region' and 'Object storage power consumption per region' matching section 5 | Storage types (SSD, SAS, HDD, Ceph, etc.) visible in legends | Mean, Last, Total columns present as described | Power consumption per allocated GB visible as stated in RST",
doc/sustainability/source/usermanual.rst,Sustainability Dashboard User Manual,image06.png,screenshot,pass,1.00,"Image shows 'Used (Static) IP Address, EIPs power consumption per region' and 'Network Traffic power consumption in region EU-DE' matching section 6 | Elastic IP services and network traffic breakdown visible | Mean, Last, Total columns present as described | Provides visibility of network usage role in overall power/emissions as stated",
doc/sustainability/source/usermanual.rst,Sustainability Dashboard User Manual,image07.png,screenshot,pass,1.00,"Image shows the time range selector panel with 'Absolute time range', 'From' and 'To' fields matching step 1 description | 'Apply time range' button visible as described in RST | Dropdown with relative time options (Last 5 minutes, Last 15 minutes, etc.) visible | Matches the instruction to insert From and To dates and press Apply Time Range",
doc/sustainability/source/usermanual.rst,Sustainability Dashboard User Manual,image08.png,screenshot,pass,1.00,"Image shows the overall power consumption chart with a context menu open showing export options (CSV, JSON, Excel, Download, etc.) | Matches step 8 description about exporting data using the data explore option | Arrows point to the context menu and the chart, highlighting the export functionality | Visualizes the export/snapshot capability described in the RST",
doc/sustainability/source/usermanual.rst,Sustainability Dashboard User Manual,image09.png,screenshot,pass,1.00,"Image shows 'Inspect: Overall power consumption per region' with 'Series joined by time' selected in the dropdown | Matches step 9 description about choosing 'Series joined by time' to export all infrastructure categories totals | Data table shows columns for EU-DE - Compute, Container, Database, Block Sto, EVS RDS, Object | Download CSV button visible for export functionality",
doc/sustainability/source/usermanual.rst,Sustainability Dashboard User Manual,image10.png,screenshot,pass,1.00,"Image shows 'Data options' with 'Show data frame' dropdown showing individual component selection (EU-DE - Compute, EU-DE - Co...) | Matches step 9 continuation about exporting values per components individually | Download CSV button and Formatted data toggle visible | Demonstrates the per-component export option described in the RST",
umn/source/faq.rst,FAQ,image27.png,screenshot,pass,1.00,Shows the Grafana time-range selector with the clock icon and 'Last 30 days UTC' highlighted at top right. | Directly illustrates the FAQ step of clicking the Clock Icon to change the displayed timespan. | Custom range and quick ranges panels match the timespan configuration described.,
umn/source/faq.rst,FAQ,image28.png,screenshot,pass,1.00,"Displays a 'Cloud spendings (category view)' panel with a legend listing multiple services (Compute, Storage, PaaS, Network, Management). | The legend names next to the graph are exactly what the FAQ says to click to limit a widget to one data set. | Shows the full set of series before deselection, matching the 'crowded widget' scenario.",
umn/source/faq.rst,FAQ,image29.png,screenshot,pass,1.00,"Same 'Cloud spendings (category view)' panel but only the Compute series is shown in the graph. | Demonstrates the result of de-selecting data sets by clicking their names, as described in the FAQ. | Legend still lists all series, consistent with the toggle behavior explained.",
umn/source/faq.rst,FAQ,image30.png,screenshot,pass,1.00,"Shows the widget context menu with the 'Inspect' item expanded to a 'Data' submenu option. | Matches the FAQ instruction to click the widget name and use Inspect > Data to download the CSV. | Menu items (View, Edit, Share, Explore, Inspect, More, Remove) are clearly visible.",
umn/source/faq.rst,FAQ,image31.png,screenshot,pass,1.00,"Shows the panel Legend options tab with a 'Hide series' section containing 'With only nulls' and 'With only zeros' checkboxes. | Directly matches the FAQ advice to hide 0.00€ products via the 'hide series' options in legend options. | Options and Values checkboxes (Show, As Table, Avg, Total) are visible, confirming the editing context.",
umn/source/faq.rst,FAQ,image32.png,screenshot,pass,1.00,"Titled 'Runtime of a machine according to invoice data during S/W time change over' covering late September to late October. | Shows a 25-hour spike around 10/25, consistent with the FAQ's 25-hour example on the 27th of October. | Illustrates the daylight-savings changeover effect on the quantity/runtime field.",
umn/source/faq.rst,FAQ,image33.png,screenshot,pass,1.00,"Same 'Runtime ... during S/W time change over' chart covering early March to late April. | Shows a 23-hour dip around 03/28, matching the FAQ's 23-hour example on the 28th of March. | Visually confirms the drop on a summer/winter time changeover.",
umn/source/faq.rst,FAQ,query-editor-failure.PNG,screenshot,pass,1.00,"Shows the Query editor with the 'Data source' field highlighted, displaying a 'Datasource-BusinessPartner-L...' value. | Matches the FAQ fix of selecting a datasource with the 'Datasource-BusinessPartner' prefix to restore the query editor. | Query, Transform, and Alert tabs plus Query options are visible, confirming the editor context.",
umn/source/howto.rst,How to,image06.png,screenshot,pass,1.00,"Image shows the user menu dropdown with 'Switch organization' option, matching the 'Switch Organizations' section | The menu includes 'Current Org:', 'Sign out', 'Change password', 'Notification history', 'Preferences' as described | The bottom-left user icon with name matches the RST description of navigating to the bottom left",
umn/source/howto.rst,How to,image08.png,screenshot,pass,1.00,"Image shows the Dashboards navigation menu with the square symbol icon, matching the 'Access Dashboards' section | The menu lists 'Browse', 'Playlists', 'Snapshots', 'Library panels', 'New dashboard', 'New folder', 'Import' | The square symbol in the left navigation bar is visible as described in the RST",
umn/source/howto.rst,How to,image09.png,screenshot,pass,1.00,Image shows the Dashboards page with 'Provided by Open Telekom Cloud' folder containing 'Consumption View' and 'Consumption View with Tags' | Matches the 'Provided by T Cloud Public' section describing two default consumption dashboards | The folder structure and dashboard names align with the RST description,
umn/source/howto.rst,How to,image11.png,screenshot,pass,1.00,"Image shows the 'Consumption View' dashboard with spending panels matching the 'Consumption view (Hourly/Daily)' section | Displays 'Invoiced services consumed', 'Not invoiced services consumed' (€348), and 'Spending for selected tenant' bar chart | Includes 'Share of spendings: All Categories' donut and stacked bar charts with product categories (Storage, Database, Network, Container, Compute, Security)",
umn/source/howto.rst,How to,image12.png,screenshot,pass,1.00,Image shows the tag selection bar with 'Select a Tag Key: CCE-Dynamic-Provisioning-Node' and 'Select a Tag Value: All' | Directly matches the RST example of selecting Tag Key 'CCE-Dynamic-Provisioning-Node' for Container Costs | The dropdown interface for tag selection is clearly visible,
umn/source/howto.rst,How to,image13.png,screenshot,pass,1.00,"Image shows 'Consumption View with Tags' dashboard with 'Spending for selected Tag Keys' bar chart | The chart displays CCE-Dynamic-Provisioning-Node spending data over time | Includes 'Detail view for not tagged infrastructure' table below, matching the RST description of dashboard panels displaying costs accordingly",
umn/source/howto.rst,How to,image14.png,screenshot,pass,1.00,"Image shows 'Detail view for resources with tag key CCE-Dynamic-Provisioning-Node' with a bar chart and detail table | The table includes columns: Date, Spendings, Product name, Project name, Resource id, Tag V | Matches the RST description of 'More detailed views for each selected Tag Key-Value combinations'",
umn/source/howto.rst,How to,image16.png,screenshot,pass,1.00,Image shows the 'Consumption View with Tags' dashboard with 'Select a Contract: All' dropdown circled in red | Matches the 'Business Partner consumption view' section describing a selection box for contracts | Also shows 'Select a Tag Key: All' and 'Select a Tag Value: All' dropdowns,
umn/source/howto.rst,How to,image18.png,screenshot,pass,1.00,"Image shows 'Consumption View with Tags' with 'Select a Tag Key: CCE-Dynamic-Provisioning-Node' selected | The stacked bar chart shows spending across multiple tenants for the CCE tag, matching the Business Partner view description | Multiple tenant entries in the legend confirm the multi-tenant view described in the RST",
umn/source/howto.rst,How to,image19.png,screenshot,pass,1.00,"Image shows the widget context menu with 'View', 'Edit', 'Share', 'More...', 'Remove' options | Matches Alerts step 1: 'Enter the widget editor by clicking Edit' | The menu appears over a bar chart panel titled 'Spending for tenant in selected timespan (category view)'",
