document,title,image,image_type,result,score,reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,fail,,kein valides Bild,No model result was produced.
doc/best-practice/source/configuring_private_domain_names_for_ecss.rst,Configuring Private Domain Names for ECSs,,,fail,,kein valides Bild,No model result was produced.
umn/source/faq/private_zones/how_can_i_map_the_private_ip_address_of_an_ecs_to_a_domain_name.rst,How Can I Map the Private IP Address of an ECS to a Domain Name?,en-us_image_0000001942372773.png,screenshot,pass,1.00,"Image is a screenshot of the 'Create Private Zone' dialog, matching Figure 1 in the RST | The Name field shows '192.in-addr.arpa' which matches the example value in Table 1 | All fields from Table 1 are visible: Name, VPC, Email, Tags, Description | The dialog title 'Create Private Zone' matches the RST figure caption",
umn/source/faq/private_zones/how_can_i_map_the_private_ip_address_of_an_ecs_to_a_domain_name.rst,How Can I Map the Private IP Address of an ECS to a Domain Name?,en-us_image_0000001942372761.png,screenshot,pass,0.88,"Image is a screenshot of the 'Add Record Set' dialog, matching Figure 2 in the RST | The Name field shows '10.1.168' with suffix '.192.in-addr.arpa', matching the RST example | TTL shows 300 seconds, matching the default value in Table 3 | The Type field shows 'A – Map domains to IPv4 addresses' but the RST specifies the type should be 'PTR - Map IP addresses to domains'","The Type dropdown shows 'A' instead of 'PTR' as instructed in the RST, creating a visual contradiction with the documented procedure"
umn/source/faq/private_zones/how_can_i_map_the_private_ip_address_of_an_ecs_to_a_domain_name.rst,How Can I Map the Private IP Address of an ECS to a Domain Name?,en-us_image_0000001906973766.png,icon,pass,1.00,"Image is a small location pin/marker icon, consistent with a region/project selector | Referenced in the RST as |image1| in step 4: 'Click |image1| in the upper left corner and select the desired region and project' | The icon is a standard location/region selector symbol used in cloud management consoles | No contradictions with the RST content",
umn/source/getting_started/configuring_a_private_zone.rst,Configuring a Private Zone,en-us_image_0000001906813850.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/getting_started/configuring_a_private_zone.rst,Configuring a Private Zone,en-us_image_0000001906813838.png,screenshot,pass,1.00,"Image shows a 'Create Private Zone' dialog matching Figure 2 in the RST | Fields visible (Name, VPC, Email, Tags, Description) align with the RST step f instructions | The Name field hint mentions 'example.com' matching the RST example | VPC dropdown is present as described in the RST | OK and Cancel buttons are visible at the bottom of the dialog",The VPC dropdown value is partially obscured/redacted in the image
umn/source/getting_started/configuring_a_private_zone.rst,Configuring a Private Zone,en-us_image_0000001942373065.png,screenshot,pass,1.00,"Image shows an 'Add Record Set' dialog matching Figure 3 in the RST | Type field shows 'A – Map domains to IPv4 addresses' matching the RST instruction | Name field is blank with 'example.com' displayed beside it, matching the RST description | Value field is present for entering the private IP address as described | TTL field with preset options (300, 5 min, 1 h, 12 h, 1 day) is visible","The Value field is empty in the screenshot, so the actual private IP address is not shown"
umn/source/getting_started/configuring_a_private_zone.rst,Configuring a Private Zone,en-us_image_0000001906973766.png,icon,pass,1.00,Image is a small location pin/marker icon used as a region/project selector | The RST references this icon (|image1| and |image2|) for selecting region and project | A location pin is a standard UI symbol for region selection in cloud consoles | The icon is used in both the 'Creating a Private Zone' and 'Change DNS server addresses' sections as described,"The icon is very small and low-resolution, making fine details hard to discern"
umn/source/getting_started/configuring_a_ptr_record.rst,Configuring a PTR Record,en-us_image_0000001906973554.png,screenshot,pass,1.00,"Image shows a 'Create PTR Record' dialog form matching Figure 1 in the RST | Fields visible: EIP, Domain Name, TTL (s), Tags, Description — all referenced in the RST procedure | The form layout and parameter names align with step 5 of the Procedure section | TTL options (300, 5 min, 1 h, 12 h, 1 day) and the '5 min' default selection are visible | OK and Cancel buttons at the bottom match the RST instruction to click OK",The EIP value is blurred/redacted in the screenshot | No specific domain name is entered in the Domain Name field
umn/source/getting_started/configuring_a_ptr_record.rst,Configuring a PTR Record,en-us_image_0000001906973550.png,screenshot,pass,1.00,"Image shows a PTR Records table matching Figure 2 in the RST | Columns include EIP, Status, TTL (s), Domain Name, Description, Operation — consistent with a PTR record listing page | Status shows 'Normal' with a green checkmark, indicating a successfully created record | Modify and Delete links in the Operation column are visible | This corresponds to step 6 where the user views the created PTR record on the PTR Records page",EIP and Domain Name values are blurred/redacted | Only one record row is visible; no indication of multiple EIPs mapping to one domain
