document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,/home/ubuntu/repotesting/enterprise-project-service/umn/source/_static/images/en-us_image_0000001647330778.png,figure,67,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
umn/source/application_scenarios.rst,Application Scenarios,/home/ubuntu/repotesting/enterprise-project-service/umn/source/_static/images/en-us_image_0243252592.png,figure,21,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/application_scenarios.rst,Application Scenarios,/home/ubuntu/repotesting/enterprise-project-service/umn/source/_static/images/en-us_image_0243252599.png,figure,28,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/application_scenarios.rst,Application Scenarios,/home/ubuntu/repotesting/enterprise-project-service/umn/source/_static/images/en-us_image_0243252575.png,figure,42,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/application_scenarios.rst,Application Scenarios,/home/ubuntu/repotesting/enterprise-project-service/umn/source/_static/images/en-us_image_0000001541547957.png,figure,49,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/faqs/what_are_the_differences_between_iam_and_enterprise_management.rst,What Are the Differences Between IAM and Enterprise Management,/home/ubuntu/repotesting/enterprise-project-service/umn/source/_static/images/en-us_image_0000001088335405.png,figure,35,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/multi-project_management/procedure.rst,Procedure,/home/ubuntu/repotesting/enterprise-project-service/umn/source/_static/images/en-us_image_0000001183142611.png,figure,11,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Local color check detected #3298ff.,
umn/source/multi-project_management/procedure.rst,Procedure,/home/ubuntu/repotesting/enterprise-project-service/umn/source/_static/images/en-us_image_0000001936354110.png,figure,42,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Shows the Enterprise Project Management Service page with a 'Create Enterprise Project' dialog. | The Name field contains 'EnterpriseProject_A', matching the RST step to enter EnterpriseProject_A and click OK. | Corresponds to Figure 2 in the 'Creating an Enterprise Project' section.",
umn/source/multi-project_management/procedure.rst,Procedure,/home/ubuntu/repotesting/enterprise-project-service/umn/source/_static/images/en-us_image_0000001936407072.png,figure,67,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Shows the IAM console User Groups page with the 'Create User Group' button highlighted. | Matches RST step 2a: choose User Groups from the left navigation and click Create User Group. | Corresponds to Figure 3 in the 'Creating IAM Users and User Groups' section.,
umn/source/multi-project_management/procedure.rst,Procedure,/home/ubuntu/repotesting/enterprise-project-service/umn/source/_static/images/en-us_image_0000001963826009.png,figure,87,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Shows the IAM Users page with the 'Create User' button highlighted. | Matches RST step 2a: choose Users in the left navigation and click Create User. | Corresponds to Figure 4 in the 'Creating IAM Users and User Groups' section.,
