document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/before_you_start/basic_concepts.rst,Basic Concepts,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/before_you_start/index.rst,Before You Start,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/calling_apis/authentication.rst,Authentication,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/calling_apis/response.rst,Response,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/sdk-ref/source/preparations/viewing_the_project_id.rst,Viewing the Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/data_preparation/data_labeling/manual_labeling/audio_labeling/sound_classification.rst,Sound Classification,/home/ubuntu/repotesting/modelarts/umn/source/_static/images/en-us_image_0000002571542931.png,substitution_image,98,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image shows a play button icon, which directly corresponds to the RST instruction to click the icon to preview audio files.",
umn/source/data_preparation/data_labeling/manual_labeling/image_labeling/image_segmentation.rst,Image Segmentation,/home/ubuntu/repotesting/modelarts/umn/source/_static/images/en-us_image_0000002541062594.png,figure,61,screenshot,True,False,True,"Interactive buttons are gray, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,incomplete,1,Matches the toolbar description in the RST. | Shows all common labeling buttons as described. | Directly supports the 'Manually Labeling Images' section.,
umn/source/data_preparation/data_labeling/manual_labeling/image_labeling/image_segmentation.rst,Image Segmentation,/home/ubuntu/repotesting/modelarts/umn/source/_static/images/en-us_image_0000002541062570.png,substitution_image,154,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,incomplete,1,Matches the filter criteria dropdown icon. | Supports the 'Filtering Data' section.,
umn/source/data_preparation/data_labeling/manual_labeling/image_labeling/image_segmentation.rst,Image Segmentation,/home/ubuntu/repotesting/modelarts/umn/source/_static/images/en-us_image_0000002540903018.png,substitution_image,156,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,incomplete,1,Matches the polygon labeling icon. | Supports the 'Manually Labeling Images' section.,
umn/source/data_preparation/data_labeling/manual_labeling/image_labeling/image_segmentation.rst,Image Segmentation,/home/ubuntu/repotesting/modelarts/umn/source/_static/images/en-us_image_0000002541062634.png,substitution_image,166,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,incomplete,1,Matches the cancel operation icon. | Supports the 'Manually Labeling Images' section.,
umn/source/data_preparation/data_labeling/manual_labeling/image_labeling/image_segmentation.rst,Image Segmentation,/home/ubuntu/repotesting/modelarts/umn/source/_static/images/en-us_image_0000002540903036.png,substitution_image,167,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,incomplete,1,Matches the redo operation icon. | Supports the 'Manually Labeling Images' section.,
umn/source/data_preparation/data_labeling/manual_labeling/image_labeling/image_segmentation.rst,Image Segmentation,/home/ubuntu/repotesting/modelarts/umn/source/_static/images/en-us_image_0000002540902902.png,substitution_image,168,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,incomplete,1,Matches the zoom in icon. | Supports the 'Manually Labeling Images' section.,
umn/source/data_preparation/data_labeling/manual_labeling/image_labeling/image_segmentation.rst,Image Segmentation,/home/ubuntu/repotesting/modelarts/umn/source/_static/images/en-us_image_0000002541062706.png,substitution_image,169,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,incomplete,1,Matches the zoom out icon. | Supports the 'Manually Labeling Images' section.,
umn/source/data_preparation/data_labeling/manual_labeling/image_labeling/image_segmentation.rst,Image Segmentation,/home/ubuntu/repotesting/modelarts/umn/source/_static/images/en-us_image_0000002571422979.png,substitution_image,170,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,incomplete,1,Matches the delete bounding boxes icon. | Supports the 'Manually Labeling Images' section.,
umn/source/data_preparation/data_labeling/manual_labeling/image_labeling/image_segmentation.rst,Image Segmentation,/home/ubuntu/repotesting/modelarts/umn/source/_static/images/en-us_image_0000002571422999.png,substitution_image,171,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,incomplete,1,Matches the show/hide bounding box icon. | Supports the 'Manually Labeling Images' section.,
umn/source/data_preparation/data_labeling/manual_labeling/image_labeling/image_segmentation.rst,Image Segmentation,/home/ubuntu/repotesting/modelarts/umn/source/_static/images/en-us_image_0000002541062614.png,substitution_image,172,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,incomplete,1,Matches the drag bounding box icon. | Supports the 'Manually Labeling Images' section.,
umn/source/data_preparation/data_labeling/manual_labeling/image_labeling/image_segmentation.rst,Image Segmentation,/home/ubuntu/repotesting/modelarts/umn/source/_static/images/en-us_image_0000002571422913.png,substitution_image,173,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,incomplete,1,Matches the reset bounding box icon. | Supports the 'Manually Labeling Images' section.,
umn/source/data_preparation/data_labeling/manual_labeling/image_labeling/image_segmentation.rst,Image Segmentation,/home/ubuntu/repotesting/modelarts/umn/source/_static/images/en-us_image_0000002571542979.png,substitution_image,174,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,incomplete,1,Matches the full screen display icon. | Supports the 'Manually Labeling Images' section.,
umn/source/data_preparation/data_labeling/manual_labeling/image_labeling/image_segmentation.rst,Image Segmentation,/home/ubuntu/repotesting/modelarts/umn/source/_static/images/en-us_image_0000002571542951.png,substitution_image,175,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,incomplete,1,Matches the save modification icon. | Supports the 'Modifying a Label' section.,
umn/source/data_preparation/data_labeling/manual_labeling/text_labeling/named_entity_recognition.rst,Named Entity Recognition,/home/ubuntu/repotesting/modelarts/umn/source/_static/images/en-us_image_0000002571422839.png,substitution_image,112,icon,False,False,False,,3,3,3,2,3,0.95,pass,,200,completed,1,"The image shows a close/delete icon, which aligns with the instruction to click it to delete a label.","The image is quite blurry, making precise visual identification slightly difficult."
umn/source/data_preparation/data_labeling/manual_labeling/text_labeling/named_entity_recognition.rst,Named Entity Recognition,/home/ubuntu/repotesting/modelarts/umn/source/_static/images/en-us_image_0000002571542793.png,substitution_image,113,icon,False,False,False,,3,3,3,2,3,0.95,pass,,200,completed,1,"The image displays a user icon with a plus sign, consistent with the team labeling job indicator described in the text.","Low image resolution limits detailed verification, but the general shape matches the context."
umn/source/data_preparation/data_labeling/manual_labeling/text_labeling/text_classification.rst,Text Classification,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/data_preparation/data_labeling/manual_labeling/text_labeling/text_triplet.rst,Text Triplet,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/data_preparation/data_labeling/manual_labeling/video_labeling.rst,Video Labeling,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/data_preparation/data_preparation_and_analysis/creating_a_dataset/creating_a_dataset.rst,Creating a Dataset,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/devenviron_new/configuring_a_local_ide_accessed_using_ssh.rst,Configuring a Local IDE Accessed Using SSH,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/devenviron_new/devenviron_overview.rst,DevEnviron Overview,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/devenviron_new/managing_notebook_instances/accessing_a_notebook_instance.rst,Accessing a Notebook Instance,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/devenviron_new/managing_notebook_instances/changing_an_ip_address_for_remotely_accessing_a_notebook_instance.rst,Changing an IP Address for Remotely Accessing a Notebook Instance,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/devenviron_new/managing_notebook_instances/creating_a_notebook_instance.rst,Creating a Notebook Instance,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/devenviron_new/managing_notebook_instances/dynamically_expanding_evs_disk_capacity.rst,Dynamically Expanding EVS Disk Capacity,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/devenviron_new/using_jupyterlab_to_develop_models/downloading_a_file_from_jupyterlab_to_a_local_path.rst,Downloading a File from JupyterLab to a Local Path,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/devenviron_new/using_jupyterlab_to_develop_models/jupyterlab_overview_and_common_operations.rst,JupyterLab Overview and Common Operations,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/devenviron_new/using_jupyterlab_to_develop_models/jupyterlab_plug-ins/code_parametrization_plug-in.rst,Code Parametrization Plug-in,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/devenviron_new/using_jupyterlab_to_develop_models/uploading_files_to_jupyterlab/cloning_an_open-source_repository_in_github.rst,Cloning an open-source repository in GitHub,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/devenviron_new/using_jupyterlab_to_develop_models/uploading_files_to_jupyterlab/uploading_files_from_a_local_path_to_jupyterlab/upload_scenarios_and_entries.rst,Upload Scenarios and Entries,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
