document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
umn/source/cloud_eye_monitoring/viewing_metrics.rst,Viewing Metrics,/home/ubuntu/repotesting/enterprise-switch/umn/source/_static/images/en-us_image_0000002384432926.png,substitution_image,30,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image shows a location pin icon, which directly corresponds to the instruction to select a region and project.",
umn/source/cloud_eye_monitoring/viewing_metrics.rst,Viewing Metrics,/home/ubuntu/repotesting/enterprise-switch/umn/source/_static/images/en-us_image_0000001820780384.png,substitution_image,31,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays a hamburger menu icon, which is a standard UI symbol for opening a service list or navigation menu as described in the procedure.",
umn/source/enterprise_switches/creating_an_enterprise_switch.rst,Creating an Enterprise Switch,/home/ubuntu/repotesting/enterprise-switch/umn/source/_static/images/en-us_image_0000002516958061.png,figure,43,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,2,"The image is a screenshot of the 'Create Enterprise Switch' form, directly illustrating the parameters listed in Table 1 and the figure caption.",
umn/source/enterprise_switches/creating_an_enterprise_switch.rst,Creating an Enterprise Switch,/home/ubuntu/repotesting/enterprise-switch/umn/source/_static/images/en-us_image_0000002007168470.png,substitution_image,132,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,2,The image shows the location pin icon referenced in step 2 for selecting the region.,
umn/source/enterprise_switches/creating_an_enterprise_switch.rst,Creating an Enterprise Switch,/home/ubuntu/repotesting/enterprise-switch/umn/source/_static/images/en-us_image_0000002555557291.png,substitution_image,133,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,2,The image shows the hamburger menu icon referenced in step 3 to open the service list.,
umn/source/enterprise_switches/deleting_an_enterprise_switch.rst,Deleting an Enterprise Switch,/home/ubuntu/repotesting/enterprise-switch/umn/source/_static/images/en-us_image_0000002007326742.png,substitution_image,43,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays a location pin icon, which aligns with the RST instruction to select a region and project.",
umn/source/enterprise_switches/deleting_an_enterprise_switch.rst,Deleting an Enterprise Switch,/home/ubuntu/repotesting/enterprise-switch/umn/source/_static/images/en-us_image_0000002524317986.png,substitution_image,44,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays a hamburger menu icon, which aligns with the RST instruction to open the service list.",
umn/source/enterprise_switches/modifying_an_enterprise_switch.rst,Modifying an Enterprise Switch,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/enterprise_switches/viewing_details_of_an_enterprise_switch.rst,Viewing Details of an Enterprise Switch,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started/quick_start.rst,Quick Start,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started/step_2_create_an_enterprise_switch.rst,Step 2: Create an Enterprise Switch,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started/step_3_create_a_layer_2_connection.rst,Step 3: Create a Layer 2 Connection,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started/step_4_configure_a_tunnel_gateway_in_your_data_center.rst,Step 4: Configure a Tunnel Gateway in Your Data Center,,,,,,,,,,,,,,,fail,backend_error,500,,2,,
umn/source/getting_started/step_5_verify_network_connectivity.rst,Step 5: Verify Network Connectivity,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/layer_2_connections/creating_a_layer_2_connection.rst,Creating a Layer 2 Connection,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/layer_2_connections/deleting_a_layer_2_connection.rst,Deleting a Layer 2 Connection,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/layer_2_connections/modifying_a_layer_2_connection_name.rst,Modifying a Layer 2 Connection Name,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/layer_2_connections/viewing_details_of_a_layer_2_connection.rst,Viewing Details of a Layer 2 Connection,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/permissions_management/creating_an_iam_user_and_granting_enterprise_switch_permissions.rst,Creating an IAM User and Granting Enterprise Switch Permissions,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/service_overview/enterprise_switch_advantages.rst,Enterprise Switch Advantages,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/service_overview/functions.rst,Functions,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/service_overview/how_enterprise_switches_work.rst,How Enterprise Switches Work,,,,,,,,,,,,,,,fail,backend_error,502,,2,,
umn/source/service_overview/region_and_az.rst,Region and AZ,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/service_overview/what_is_an_enterprise_switch.rst,What Is an Enterprise Switch?,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/service_overview/working_with_other_services.rst,Working with Other Services,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
