document,title,image,image_type,result,score,reasons,missing_evidence
umn/source/change_history.rst,Change History,en-us_image_0249207685.jpg,icon,partial,0.60,"The image is a very small, blurry icon referenced in the RST as |image1| for setting Bandwidth in the PLAS (VPN) Connector creation section. | The RST context states 'Add or click |image1| or |image2| to set Bandwidth', indicating this is a small UI control icon (likely a minus/dash button). | The image is too small and blurry to clearly identify the exact symbol, but it appears to be a small dark mark consistent with a minus or dash icon. | It is an isolated symbolic graphic, not a full UI screenshot.","The image is extremely small and blurry, making it difficult to confirm the exact symbol depicted. | No surrounding UI context is visible to confirm it is a bandwidth adjustment control."
umn/source/change_history.rst,Change History,en-us_image_0249207700.jpg,icon,partial,0.72,"The image is a small icon showing a plus/cross symbol, referenced in the RST as |image2| for setting Bandwidth in the PLAS (VPN) Connector creation section. | The RST context states 'Add or click |image1| or |image2| to set Bandwidth', and the plus symbol is consistent with an 'add/increase' control for bandwidth. | It is an isolated symbolic graphic (a plus/cross icon), not a full UI screenshot. | The plus shape is reasonably visible and semantically consistent with the 'Add' action described in the RST.","No surrounding UI context is visible to confirm it is specifically a bandwidth adjustment control. | The image is small, limiting the amount of visual detail available for verification."
umn/source/getting_started/manual_provisioning/obtaining_region.rst,Obtaining Region,en-us_image_0249207710.png,icon,pass,1.00,"The image is a small location-pin pictogram, matching the RST's reference to the icon next to which region information is shown. | A location/region pin is semantically consistent with the 'Obtaining Region' topic. | The icon is directly referenced as |image1| in the section, so it is highly relevant. | No visible contradiction between the icon and the surrounding text.","The image shows only the icon, not the management console UI or the actual region text described in the RST. | No surrounding interface context is visible to confirm the upper-left placement."
umn/source/getting_started/manual_provisioning/obtaining_the_domain_name.rst,Obtaining the Domain Name,en-us_image_0249207678.png,screenshot,pass,1.00,"Image shows a dropdown menu with 'User Center', 'My Credential', and 'Log Out' options, matching Figure 1 description | The username area in the upper right corner is visible (blurred) with a dropdown arrow, consistent with the RST instruction to click the username | The 'My Credential' option is clearly visible as a selectable menu item, matching the RST step",The full console interface is not visible; only the dropdown portion is shown
umn/source/getting_started/manual_provisioning/obtaining_the_domain_name.rst,Obtaining the Domain Name,en-us_image_0249207717.png,screenshot,pass,1.00,"Image shows the 'Account Information' panel with multiple fields including User Name, User ID, Domain Name, Domain ID, etc. | The 'Domain Name' field is highlighted with a red box, directly corresponding to the RST instruction to obtain the user's domain name | The layout matches Figure 2 description in the RST document",The actual domain name value is blurred/redacted for privacy
umn/source/getting_started/manual_provisioning/obtaining_the_resource_id.rst,Obtaining the Resource ID,en-us_image_0249207705.png,icon,partial,0.77,"The image is a small gray location-pin / map-marker pictogram, i.e. an isolated UI symbol, so it is classified as an icon. | In the RST, |image1| is referenced in step 2 ('Click |image1| in the upper left corner and select a region and a project'), and a location pin is the conventional glyph for a region/project selector, so it is semantically consistent with the procedure. | The icon is relevant to the 'Obtaining the Resource ID' getting-started workflow because selecting a region/project is a prerequisite step before navigating to Direct Connect. | The visual content (a teardrop pin with a central dot) is clearly legible and unambiguous.","The image shows only the symbol in isolation; the surrounding console UI (upper-left placement, region/project dropdown) is not visible, so the exact context cannot be confirmed from the image alone. | No label or text accompanies the icon, so its meaning is inferred from the RST step rather than from the image itself."
umn/source/getting_started/manual_provisioning/obtaining_the_vpc_id.rst,Obtaining the VPC ID,en-us_image_0249207715.png,icon,partial,0.77,"The image is a small gray location-pin / map-marker pictogram, matching the region selector icon referenced in step 2 ('Click |image1| in the upper left corner and select a region and a project'). | It is an isolated symbolic UI graphic, not a full screenshot or page interface. | The icon is consistent with the getting-started / manual provisioning procedure for selecting a region before navigating to VPC. | No visible interactive controls, buttons, or text are present in the image.","The image does not show the surrounding console UI, so the 'upper left corner' placement cannot be visually confirmed. | No label or tooltip is visible to confirm it is specifically the region/project selector."
umn/source/getting_started/self-service_provisioning/creating_a_plas_vpn_connector.rst,Creating a PLAS (VPN) Connector,en-us_image_0249207692.png,other,pass,1.00,"Flowchart directly illustrates the PLAS connector creation process as described in the RST Procedure section. | Steps (Start, Click Create PLAS Connector, Configure connector/cloud/network information, Submit, Notify IPLS administrator, End) align with the numbered procedure in the document. | Referenced as Figure 1 in the Process section of the RST.",
umn/source/getting_started/self-service_provisioning/creating_a_plas_vpn_connector.rst,Creating a PLAS (VPN) Connector,en-us_image_0249207673.png,screenshot,pass,1.00,"Shows the Connector Information form with Region (eu-de), Name, Description, and Bandwidth slider, matching Table 1 in the RST. | Bandwidth slider shows values 10-1000 Mbit/s with +/- controls, consistent with the RST description. | Referenced as Figure 2 in the RST under step 5.",
umn/source/getting_started/self-service_provisioning/creating_a_plas_vpn_connector.rst,Creating a PLAS (VPN) Connector,en-us_image_0249207699.png,screenshot,pass,1.00,"Shows Cloud Information section with Provider (Open Telekom Cloud), Primary Location (Biere eu-de-01), Secondary Location (Magdeburg eu-de-02), and DC Connection Name dropdowns. | Includes 'Create a connection first' links matching the RST description for DC Connection Name fields. | Referenced as Figure 3 in the RST under step 5.",
umn/source/getting_started/self-service_provisioning/creating_a_plas_vpn_connector.rst,Creating a PLAS (VPN) Connector,en-us_image_0249207687.png,screenshot,pass,1.00,"Shows Network Information section with Type (IntraSelect), Access Location (Biere eu-de-01), and Network PoP (Berlin/Frankfurt toggle). | All values match the RST Table 1 entries for Network Information. | Referenced as Figure 4 in the RST under step 5.",
umn/source/getting_started/self-service_provisioning/creating_a_plas_vpn_connector.rst,Creating a PLAS (VPN) Connector,en-us_image_0249207696.jpg,icon,partial,0.72,"Small minus/dash icon used inline in the RST as |image1| for the bandwidth slider control. | Referenced in the Bandwidth parameter description: 'Drag the slider or click |image1| or |image2| to set Bandwidth.' | Image is very small and low-resolution, making details hard to discern.",Image is extremely small and blurry; exact appearance of the minus button is difficult to confirm.
umn/source/getting_started/self-service_provisioning/creating_a_plas_vpn_connector.rst,Creating a PLAS (VPN) Connector,en-us_image_0249207712.jpg,icon,partial,0.72,"Small plus (+) icon used inline in the RST as |image2| for the bandwidth slider control. | Referenced in the Bandwidth parameter description: 'Drag the slider or click |image1| or |image2| to set Bandwidth.' | Image is very small and low-resolution, making details hard to discern.",Image is extremely small and blurry; exact appearance of the plus button is difficult to confirm.
umn/source/management/modifying_a_plas_vpn_connector.rst,Modifying a PLAS (VPN) Connector,en-us_image_0249207697.png,screenshot,pass,1.00,"The image is a UI form titled 'Connector Information' matching the RST step to modify PLAS connector information. | It displays Name, Description, and Bandwidth (Mbit/s) fields, exactly the parameters listed in Table 1 of the document. | The bandwidth slider with +/- controls and a 100 Mbit/s value aligns with the note about increasing or decreasing bandwidth. | The form is consistent with the 'Modify' operation described in the procedure.","The image does not show the Submit button referenced in the final step. | The Region field (eu-de) is shown but not mentioned in the RST table, though this is not a contradiction."
umn/source/management/searching_for_plas_vpn_connectors.rst,Searching for PLAS (VPN) Connectors,en-us_image_0249207713.jpg,icon,pass,1.00,"The image is a magnifying glass search icon, matching the RST step 4 instruction to click the search icon after entering a connector name or ID | The icon is consistent with the topic of searching for PLAS connectors | It is referenced as |image1| in the Procedure section, step 4, which describes the search action",
umn/source/management/searching_for_plas_vpn_connectors.rst,Searching for PLAS (VPN) Connectors,en-us_image_0249207706.png,icon,pass,1.00,"The image is a downward-pointing chevron/arrow icon, matching the RST step 5 instruction to click to open a PLAS connector record for more details | The icon represents an expand action, consistent with opening a connector record to see details | It is referenced as |image2| in the Procedure section, step 5",
umn/source/management/searching_for_plas_vpn_connectors.rst,Searching for PLAS (VPN) Connectors,en-us_image_0249207693.png,screenshot,pass,1.00,"The screenshot shows a PLAS connector list with columns for Name/ID, Status, DC Connection Name, Bandwidth (Mbit/s), and Operation, matching the RST description of viewing statuses, bandwidths, and connection names | An expanded row shows detailed connector information including Connector Name, ID, Status, Cloud Provider, DC Connections, Bandwidth, Port Type, Network Access Location, Network PoP, Network Provider, Network Type, and Create Time | The screenshot is referenced as |image3| after step 5, illustrating the result of opening a PLAS connector record to see more details | The search bar in the upper right with a Name dropdown and search icon matches the search functionality described in step 4",
umn/source/overview/application_scenarios_and_physical_networking.rst,Application Scenarios and Physical Networking,en-us_image_0249207728.png,other,pass,1.00,"The image is a network topology diagram labeled as the physical network of PLAS, matching the figure caption in the RST. | It depicts Customer network, Carrier network (EC & IP VPN), PLAS, and OTC (Biere/Magdeburg) with Direct Connect Gateways, consistent with the described PLAS connectivity scenarios. | The diagram directly illustrates the Physical Networking section content about exclusive connections from on-premise networks to VPCs. | No visible interactive controls; it is a static schematic, so it is classified as 'other'.","The diagram does not explicitly label Layer 2 (EC) vs Layer 3 (IP VPN) paths separately, though the carrier network header mentions both. | No VPC endpoint is explicitly drawn on the OTC side; only Direct Connect Gateways and cloud icons are shown."
umn/source/overview/what_is_plas.rst,What Is PLAS?,en-us_image_0249207722.png,other,pass,1.00,"The image is a schematic diagram illustrating PLAS connectors, matching the figure caption 'PLAS connector introduction' in the RST. | It contrasts 'Without PLAS connectors' (manual, complex configuration) with 'With PLAS connectors' (automatic configuration), aligning with the manual vs self-service provisioning discussion. | The diagram shows IPLS network connecting to OTC via a PLAS box with PCNE and PCCE edges, consistent with the note defining PCNE (PLAS connector network edge) and PCCE (PLAS connector cloud edge). | The IPLS-to-OTC connection matches the RST statement that PLAS connectors connect IPLS private lines to the OTC. | No interactive UI controls are present; it is a static explanatory diagram.","The diagram does not explicitly label the Direct Connect gateway or edge/cloud gateway terms used in the RST body. | No latency or stability metrics are shown, though the RST mentions reduced latency."
