document,title,image,image_type,result,score,reasons,missing_evidence
umn/source/faqs/what_are_rpo_and_rto.rst,What Are RPO and RTO?,en-us_image_0288665392.png,other,pass,1.00,"The image is a conceptual diagram illustrating RPO and RTO, matching the document title and definitions. | Left panel labels 'RPO' and 'Lost data' between Production site AZ and DR site AZ, consistent with RPO as tolerated data loss. | Right panel labels 'RTO' and 'Failover time' between Production and DR site servers, consistent with RTO as tolerated interruption duration. | The figure is explicitly referenced in the RST as Figure 1 showing an example of RPO and RTO. | No interactive UI controls are present; it is a static illustration.","No numeric values or time units are shown for RPO/RTO, but the RST does not require them."
umn/source/faqs/what_can_i_do_if_the_nic_names_of_the_dr_drill_server_and_production_site_server_are_different.rst,What Can I Do If the NIC Names of the DR Drill Server and Production Site Server Are Different?,en-us_image_0288665316.png,screenshot,pass,1.00,Terminal screenshot showing ifconfig -a|grep eth output with NICs eth0 through eth4 | Matches the RST description of a production site server with five NICs (eth0 to eth4) | Directly referenced as Figure 1 in the Symptom section | MAC addresses and link encap:Ethernet details are clearly visible | No contradictions between image content and RST text,The RST mentions SUSE Linux Enterprise Server 12 SP3 64-bit but the OS version is not visible in the terminal output | The hostname 'wythtest-0001' is visible but not explicitly mentioned in the RST
umn/source/faqs/what_can_i_do_if_the_nic_names_of_the_dr_drill_server_and_production_site_server_are_different.rst,What Can I Do If the NIC Names of the DR Drill Server and Production Site Server Are Different?,en-us_image_0288665320.png,screenshot,pass,1.00,Terminal screenshot showing ifconfig -a|grep eth output with NICs eth5 through eth9 | Matches the RST description of a DR drill server with NIC names eth5 to eth9 | Directly referenced as Figure 2 in the Symptom section | Clearly demonstrates the NIC name difference from the production server (eth0-eth4 vs eth5-eth9) | No contradictions between image content and RST text,The RST context implies this is the DR drill server but the terminal prompt does not explicitly label it as such | OS version is not visible in the terminal output
umn/source/faqs/why_can_i_not_get_the_password_for_a_windows_dr_server_before_the_first_failover.rst,Why can I not get the password for a Windows DR server before the first failover?,sdrs_faq_win_login_restriction.png,screenshot,pass,1.00,The image is a screenshot of the Open Telekom Cloud Elastic Cloud Server console showing a 'Get Password' dialog. | The dialog displays the exact error message 'Failed to query the password.' described in the Symptom section. | The figure caption in the RST ('Get password error for DR server before the first failover') matches the depicted error state. | The dialog includes the private key selection and 'Get Password' controls consistent with the key-pair login scenario in the document.,The image does not explicitly indicate that the selected server is a Windows DR server or that it is before the first failover; this context is supplied by the RST text.
umn/source/getting_started/configuring_cross-az_dr/configuration_process.rst,Configuration Process,en-us_image_0288665371.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/getting_started/configuring_cross-az_dr/step_1_create_a_protection_group.rst,Step 1: Create a Protection Group,en-us_image_0000002148848834.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/getting_started/configuring_cross-az_dr/step_1_create_a_protection_group.rst,Step 1: Create a Protection Group,en-us_image_0288665274.png,screenshot,pass,1.00,"Image is a screenshot of the 'Create Protection Group' page in a management console, matching Figure 2 in the RST. | All fields from Table 1 are visible: Region, DR Direction (Production Site and DR Site), Deployment Model, VPC, and Protection Group Name. | The 'Create Now' button and 'Back to Protection Group List' link are visible, matching the procedure steps. | Example values in the image (eu-de, eu-de-01, eu-de-02, VPC migration, vpc-sdrs, Protection-Group-3089) are consistent with the RST table structure.","The RST table uses slightly different example values (az-01, az-02, vpc-test, protection_group_001) than the image (eu-de-01, eu-de-02, vpc-sdrs, Protection-Group-3089), but this is a minor cosmetic difference in example data."
umn/source/getting_started/configuring_cross-az_dr/step_1_create_a_protection_group.rst,Step 1: Create a Protection Group,en-us_image_0288665395.png,icon,pass,1.00,"Image is a small circular icon with a checkmark, representing a status indicator. | The RST references this image as |image1| in the context of the protection group status being 'Available'. | The checkmark-in-circle icon is a standard visual representation for a successful/available status. | The icon is appropriately small and symbolic, fitting the 'icon' classification.","The icon is very small and low-resolution, making it difficult to discern fine details, but the checkmark-in-circle shape is clearly identifiable."
umn/source/getting_started/configuring_cross-az_dr/step_2_create_a_protected_instance.rst,Step 2: Create a Protected Instance,en-us_image_0288665321.png,other,pass,1.00,"The diagram illustrates the cross-AZ DR architecture with a protection group spanning Production site (AZ 1) and DR site (AZ 2) within a VPC, matching the document's topic of creating protected instances for DR. | The diagram shows ECS instances, ELB, and disks on both sites with a 'Replication pair creation' link between them, consistent with the RST description that disks form replication pairs automatically. | The figure is placed in the Scenarios section to provide a conceptual overview of how protected instances work across two AZs. | All elements in the diagram (VPC, ELB, ECS, disks, replication pairs) are semantically aligned with the RST content.",The diagram does not show the 'Stopped' state of the DR site server mentioned in the RST. | No specific server specifications or names are shown in the diagram.
umn/source/getting_started/configuring_cross-az_dr/step_3_enable_protection.rst,Step 3: Enable Protection,en-us_image_0288665401.png,other,pass,1.00,"Diagram shows a protection group with Production site (AZ 1) and DR site (AZ 2) under a VPC, matching the cross-AZ DR scenario described in the RST | ECS instances, ELB, and disk-level data replication are depicted, consistent with the RST description of SDRS synchronizing data between production and DR site disks | The figure is labeled 'Figure 1 Enabling protection' in the Scenarios section, which is exactly where the RST places it | No interactive controls are present; it is a static architecture diagram","No CSBS or VBS backup services are explicitly labeled in the diagram, though the RST mentions them"
