document,title,image,image_type,result,score,reasons,missing_evidence
umn/source/agent_management/performing_operations_on_agents.rst,Performing Operations on Agents,en-us_image_0000001677017637.png,screenshot,pass,1.00,"Shows the Agent Management page with the Agent list table (Host Name, IP Address, Agent Status, etc.), matching Figure 1 'Viewing Agents'. | Left navigation pane shows Application Monitoring > Agent Management as described in the steps. | Status column shows 'Normal' entries consistent with the agent status table in the document.","The document's status table uses 'Enabled/Offline/Disabled' while the screenshot shows 'Normal/Offline/Disable' labels, a minor wording difference."
umn/source/agent_management/performing_operations_on_agents.rst,Performing Operations on Agents,en-us_image_0000001628418878.png,screenshot,pass,1.00,"Shows target rows selected via checkboxes and an arrow pointing to the 'Operation Agent' button, matching Figure 2 'Batch operations'. | Corresponds to step 2 of Batch Operations: select target objects and click Operation.",
umn/source/agent_management/performing_operations_on_agents.rst,Performing Operations on Agents,en-us_image_0000001628420042.png,screenshot,pass,1.00,"Shows the 'Operation Agent' dropdown with Enable Agent, Disable Agent, and Delete Agent options, matching Figure 3 'Operating Agents in batches'. | Arrow highlights the Delete Agent option, consistent with step 3 of the batch operations.",
umn/source/agent_management/performing_operations_on_agents.rst,Performing Operations on Agents,en-us_image_0000001628420554.png,screenshot,pass,1.00,"Shows the 'Delete Agent' confirmation dialog with a warning and Yes/Cancel buttons, matching Figure 4 'Deleting Agents'. | Corresponds to step 4: click Yes to delete the selected Agents.",
umn/source/agent_management/performing_operations_on_agents.rst,Performing Operations on Agents,en-us_image_0000001542497618.png,icon,pass,0.93,"A hamburger (three-line) menu icon, used as |image1| in step 2 to open the left navigation menu. | Matches the reference to clicking the menu icon on the left to choose Application > Application Performance Management.",The icon alone does not show the menu it opens; context is provided only by the RST text.
umn/source/agent_management/performing_operations_on_agents.rst,Performing Operations on Agents,en-us_image_0000001277861629.png,icon,pass,1.00,"A magnifying-glass search icon, used as |image2| in step 4b to filter Agents in the search box. | Consistent with the description of clicking the search icon in the upper right corner.",
umn/source/alarm_management/alarm_list.rst,Alarm List,en-us_image_0000001213058152.png,other,pass,1.00,"Flowchart clearly depicts the alarm process: set policy, condition check, alarm generation, notification, and SMN delivery | Matches Figure 1 caption 'Alarm process' exactly | All decision points (Yes/No branches) are clearly labeled | Consistent with the RST description of how alarms are reported and handled",
umn/source/alarm_management/alarm_list.rst,Alarm List,en-us_image_0000001676789233.png,screenshot,pass,1.00,"Shows the Alarm List page with left navigation (Alarm Center > Alarm List) as described in step 3 | Application dropdown, Scheduled Refresh toggle, search box, and table columns all visible | Table headers match RST: Alarm Policy, Alarm Severity, Alarm Source, Alarm Status, Operation | 'No alarm is reported' empty state is consistent with a clean alarm list view",
umn/source/alarm_management/alarm_list.rst,Alarm List,en-us_image_0000001479891701.png,icon,pass,1.00,Hamburger menu icon (three horizontal lines) used for navigation in step 2 | Matches RST instruction: 'Click |image1| on the left and choose Application > Application Performance Management' | Standard UI navigation icon appropriate for the described action,
umn/source/alarm_management/alarm_list.rst,Alarm List,en-us_image_0000001204273024.png,icon,pass,1.00,Magnifying glass / search icon used in step 4b | Matches RST: 'click |image2| to view the alarms that meet the criteria' | Standard search icon appropriate for the described search action,
