document,title,image,image_type,result,score,reasons,missing_evidence
umn/source/faqs/is_there_a_quota_limit_on_the_number_of_backups.rst,Is There a Quota Limit on the Number of Backups?,en-us_image_0275513364.png,icon,partial,0.77,"The image is a location pin icon, consistent with the RST instruction to 'select the desired region and project' in the upper left corner. | The icon is used in the 'How Do I View My Quotas?' section as a navigation element for region selection. | A location pin is a standard UI symbol for region/area selection in management consoles. | The image clearly shows a map pin/location marker symbol.","The image does not show the full UI context (upper left corner placement, surrounding interface elements). | No text label is visible on the icon to confirm it specifically represents region selection."
umn/source/faqs/is_there_a_quota_limit_on_the_number_of_backups.rst,Is There a Quota Limit on the Number of Backups?,en-us_image_0152727234.png,icon,pass,0.83,"The image is a bar chart icon, which is a reasonable representation for a 'Quotas' page showing resource usage. | The RST states clicking this icon in the upper right corner displays the 'Quotas' page, and a bar chart icon aligns with quota/resource visualization. | The icon is directly relevant to the 'How Do I View My Quotas?' section as the trigger to access quota information. | The image clearly shows three vertical bars of decreasing height, a standard chart/quotas symbol.","The image does not show the full UI context (upper right corner placement, surrounding interface elements). | No text label is visible on the icon to confirm it specifically represents 'Quotas'."
umn/source/getting_started/creating_a_vbs_backup.rst,Creating a VBS Backup,en-us_image_0152878917.png,screenshot,pass,1.00,"Shows the 'Disks' panel with 'Available Disks' and 'Selected Disks' lists, matching Figure 1 'Selecting a disk'. | Columns (Name, Status, ECS/BMS, Capacity) and checkboxes align with the RST step of selecting EVS disks. | Right panel shows 'No data available' consistent with zero selected disks.",No backup configuration area visible (expected in a later step).
umn/source/getting_started/creating_a_vbs_backup.rst,Creating a VBS Backup,en-us_image_0152879159.png,screenshot,pass,1.00,"Shows 'Configure Backup' with Auto Backup and Immediate Backup options, matching Figure 2. | Includes Backup Policy dropdown, Create Policy button, Name, Description, Full Backup Enable, and Tag fields as described in the RST. | Encrypted note and tag key/value inputs match the parameter tables.",No selected-disk list visible in this cropped view.
umn/source/getting_started/creating_a_vbs_backup.rst,Creating a VBS Backup,en-us_image_0152878946.png,screenshot,pass,1.00,"Shows a disk selected in 'Available Disks' and moved to 'Selected Disks (1)', matching Figure 3. | A delete (trash) icon appears in the Operation column, matching the RST description of removing disks. | Status 'Available' aligns with the precaution that disks must be Available or In-use.",No backup configuration area visible in this cropped view.
umn/source/getting_started/creating_a_vbs_backup.rst,Creating a VBS Backup,en-us_image_0152879164.png,screenshot,pass,1.00,"Shows 'Configure Backup' with Immediate Backup selected and Auto Backup unchecked, matching Figure 4. | Name, Description, Full Backup Enable, and Tag fields match the RST parameter descriptions. | Encrypted note 'Backups of 1 disks will be encrypted' is consistent with the encryption note.",No selected-disk list visible in this cropped view.
umn/source/getting_started/operation_procedure.rst,Operation Procedure,en-us_image_0162814404.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/operation_guide/data_backup_using_a_backup_policy/associating_evs_disks_with_a_backup_policy_or_disassociating_them_from_a_backup_policy.rst,Associating EVS Disks with a Backup Policy or Disassociating Them from a Backup Policy,en-us_image_0152879230.png,screenshot,pass,1.00,"Image is the 'Associate Disk' dialog box, matching Figure 1 referenced in step f of the associating disks procedure. | Shows 'Available Disks' list with Name, Status, ECS/BMS, Capacity (GB), Associated columns and a 'Selected Disks' panel on the right, consistent with the described selection workflow. | Includes OK and Cancel buttons and search boxes matching the described confirmation and search steps.","The backup policy name shown is 'defaultPolicy', which is a generic example not specified in the RST."
umn/source/operation_guide/data_backup_using_a_backup_policy/associating_evs_disks_with_a_backup_policy_or_disassociating_them_from_a_backup_policy.rst,Associating EVS Disks with a Backup Policy or Disassociating Them from a Backup Policy,en-us_image_0148548673.png,icon,partial,0.72,"Image is a location/region pin icon, used in step 2 to select a region and a project in the upper left corner. | A generic location marker is a reasonable representation of a region selector but does not show the actual console UI.","No visible region/project selection interface, only an isolated pin symbol."
umn/source/operation_guide/data_backup_using_a_backup_policy/associating_evs_disks_with_a_backup_policy_or_disassociating_them_from_a_backup_policy.rst,Associating EVS Disks with a Backup Policy or Disassociating Them from a Backup Policy,en-us_image_0128947790.png,icon,pass,1.00,"Image shows a 'Service List' label with a dropdown arrow, matching step 3 where the user clicks to open the service list and then selects Storage > Volume Backup Service. | The dropdown control is the interactive element referenced in the procedure.","The expanded list containing 'Storage' and 'Volume Backup Service' is not shown, only the collapsed 'Service List' control."
