document,title,image,image_type,result,score,reasons,missing_evidence
api-ref/source/before_you_start/concepts.rst,Concepts,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/resource_formation_service/index.rst,Resource Formation Service,,,fail,,kein valides Bild,No model result was produced.
umn/source/iam_agency.rst,IAM Agency,en-us_image_0000001955571530.png,screenshot,pass,1.00,"Shows the IAM console Agencies page with the 'Create Agency' button in the upper right corner, matching step 2 and Figure 1. | Left navigation pane highlights 'Agencies' under IAM, consistent with the procedure. | Table of existing agencies (cce_admin_trust, rf_admin_trust) is visible, supporting the agency context.",
umn/source/iam_agency.rst,IAM Agency,en-us_image_0000002202025297.png,screenshot,pass,0.88,"Shows the 'Create Agency' form with Agency Name, Agency Type, Delegated Account, Validity Period, and Description fields, matching Figure 2 and step 3. | Agency Name 'rfs-stack-agency' aligns with the RFS agency theme. | The RST states Agency Type should be set to 'Cloud Service' and Cloud Service to 'RFS', but the image shows 'Account' selected and no RFS cloud-service field visible, a minor mismatch.",The 'Cloud Service' selection set to RFS described in the RST is not visible; the form shows Account/Cloud service radio options instead.
umn/source/iam_agency.rst,IAM Agency,en-us_image_0000001955571534.png,screenshot,pass,1.00,"Shows the 'Select Policy/Role' step with 'Assign selected permissions to rf_admin_trust', matching Figure 3 and step 4. | A policy (VPC FullAccess, system-defined policy) is highlighted, illustrating permission selection. | Filter controls (All policies/roles, All services, Fuzzy search) are present, consistent with granting specific permissions.",
umn/source/iam_agency.rst,IAM Agency,en-us_image_0000001991890873.png,screenshot,pass,1.00,"Shows the 'Select Scope' step with 'All resources' and 'Region-specific projects' options, matching Figure 4 and step 5. | The recommended-scope info banner and scope descriptions are visible. | 'All resources' is selected, consistent with the authorization scope choice described.",
umn/source/iam_agency.rst,IAM Agency,en-us_image_0000001991770693.png,screenshot,pass,1.00,"Shows the Select Scope page with 'Previous' and 'OK' buttons at the bottom, with OK highlighted, matching step 6 ('Click OK'). | This is the inline image1 referenced in the RST for completing agency creation. | Scope options (All resources / Region-specific projects) are visible, consistent with the prior step.",
umn/source/managing_stacks/creating_a_stack.rst,Creating a Stack,en-us_image_0000002160009781.png,screenshot,pass,1.00,"Shows the RFS Dashboard with 'Create Stack' and 'Create Template' buttons in the upper right, matching Figure 1. | Displays the 'Guide to Create a Stack' flow chart with the 'Select Template' tile containing a 'Create Stack' button, as described in step 3a. | Left navigation shows Dashboard, Stacks, Templates consistent with the RFS console.",
umn/source/managing_stacks/creating_a_stack.rst,Creating a Stack,en-us_image_0000002194226997.png,screenshot,pass,1.00,"Shows the Private Templates page with an 'Operation' column containing 'Create Stack' links, matching Figure 3. | Template list with Name/ID, Version, and Operation columns aligns with the RST description of creating a stack from an existing template.",
umn/source/managing_stacks/creating_a_stack.rst,Creating a Stack,en-us_image_0000002194091653.png,screenshot,pass,1.00,"Shows the template details page (template_test_example) with a Version Info table and 'Create Stack' under the Operation column, matching Figure 4. | Version Preview pane displays the .tf template content consistent with the RST example.",
umn/source/managing_stacks/creating_a_stack.rst,Creating a Stack,en-us_image_0000002194180509.png,screenshot,pass,1.00,"Shows the 'Select Template' step with Template Source options: Private Templates, URL, Upload Template, matching Figure 5 and step 4. | Includes the note 'RFS only uses the data you upload for resource management' and the tf/tf.json deployment code requirement.",
umn/source/managing_stacks/creating_a_stack.rst,Creating a Stack,en-us_image_0000002120705156.png,screenshot,pass,1.00,"Shows the 'Configure Parameters' step with Stack Name, Description, and a parameter table (vpc_name, subnet_name, ecs_name, etc.), matching Figure 6. | Mandatory vpc_name marked with red asterisk and the encryption checkbox align with the RST cautions.",
umn/source/managing_stacks/creating_a_stack.rst,Creating a Stack,en-us_image_0000002156056533.png,screenshot,pass,1.00,"Shows the 'Configure Parameters' table with the 'Encrypt some resources based on the template requirements' checkbox enabled, matching Figure 7 (Encrypt requirements). | The masked vpc_name value with eye icon reflects the sensitive parameter encryption described in the RST.",
umn/source/managing_stacks/creating_a_stack.rst,Creating a Stack,en-us_image_0000001991770641.png,screenshot,pass,1.00,"Shows the vpc_name parameter text box outlined in red, matching Figure 8 (Text box with an invalid value). | The red border indicates an invalid value as described in the RST.",No interactive buttons visible in this cropped view.
umn/source/managing_stacks/creating_a_stack.rst,Creating a Stack,en-us_image_0000002158816238.png,screenshot,pass,1.00,"Shows the 'Configure Stack' step with Agency, Auto-Rollback, and Deletion Protection controls, matching Figure 9. | The IAM agency description and toggle switches align with the RST step 6 text.",
umn/source/managing_stacks/creating_a_stack.rst,Creating a Stack,en-us_image_0000002158975806.png,screenshot,pass,1.00,"Shows the 'Confirm Configurations' step with Template Info, Parameters, and Stack Settings, matching Figure 10. | Includes 'Create Execution Plan' and 'Directly Deploy Stack' buttons as described in step 7.",
umn/source/managing_stacks/creating_a_stack.rst,Creating a Stack,en-us_image_0000002156063229.png,screenshot,pass,1.00,"Shows the 'Directly Deploy Stack' confirmation dialog with Yes/No buttons, matching Figure 11. | The warning text about immediately enabling all resources matches the RST description.",
umn/source/managing_stacks/creating_a_stack.rst,Creating a Stack,en-us_image_0000002120746402.png,screenshot,pass,1.00,"Shows the stack details page on the Events tab with deployment event log entries, matching Figure 13 (Stack Events). | Resource creation events (ECS, volume attach) align with the example template resources.",
umn/source/managing_stacks/creating_a_stack.rst,Creating a Stack,en-us_image_0000002158816218.png,screenshot,pass,1.00,"Shows the 'Create Execution Plan' dialog with Execution Plan Name and Description fields and OK/Cancel buttons, matching Figure 15. | The info note about previewing resource changes matches the RST caution.",
umn/source/managing_stacks/creating_a_stack.rst,Creating a Stack,en-us_image_0000002120743398.png,screenshot,pass,1.00,"Shows the 'Execution Plan' dialog with an execution plan table (Status: Available) and Execute/No buttons, matching Figure 18. | The fee warning note aligns with the RST caution about executing the plan.",
umn/source/managing_stacks/creating_a_stack.rst,Creating a Stack,en-us_image_0000002156141613.png,screenshot,pass,1.00,"Shows the Stacks list with stack_test_example status 'Deployment In Progress', matching Figure 19. | Consistent with the RST step describing the stack status after executing the plan.",
umn/source/managing_stacks/creating_a_stack.rst,Creating a Stack,en-us_image_0000002120901494.png,screenshot,pass,1.00,"Shows the Execution Plans table with status 'Applied', matching Figure 21. | Consistent with the RST step e describing the execution plan status after deployment.",
umn/source/managing_stacks/creating_a_stack.rst,Creating a Stack,en-us_image_0000002120901474.png,screenshot,pass,1.00,"Shows the Elastic Cloud Server console with the deployed rf_test_stack_example_ecs instance in Running status, matching Figure 23. | Confirms the deployed ECS resource referenced in the RST example.",
umn/source/managing_stacks/creating_a_stack.rst,Creating a Stack,en-us_image_0000002194091645.png,icon,pass,1.00,A hamburger menu icon (three horizontal lines) used as |image1| in step 2 to open the navigation menu. | Matches the RST instruction to click the menu icon in the upper left corner.,
umn/source/managing_stacks/creating_a_stack.rst,Creating a Stack,en-us_image_0000002158650788.png,screenshot,pass,1.00,"Shows the Stacks page with a 'Create Stack' button in the upper right, matching Figure 2 (image2). | Stack list with Status and Operation columns aligns with the RST step 3b.",
umn/source/managing_stacks/creating_a_stack.rst,Creating a Stack,en-us_image_0000002120901486.png,screenshot,pass,1.00,"Shows the Stacks list with stack_test_example status 'Deployment In Progress', matching Figure 12 (image3). | Consistent with the RST step 7a describing the new stack status after direct deployment.",
umn/source/managing_stacks/creating_a_stack.rst,Creating a Stack,en-us_image_0000002120743394.png,screenshot,pass,1.00,"Shows the Stacks list with stack_test_example status 'Deployment Complete', matching Figure 14 (image4). | Consistent with the RST step 7b describing the final deployment status.",
