document,title,image,image_type,result,score,reasons,missing_evidence
api-ref/source/before_you_start/concepts.rst,Concepts,,,fail,,kein valides Bild,No model result was produced.
umn/source/advanced_queries/creating_a_custom_query.rst,Creating a Custom Query,en-us_image_0000001924943432.png,screenshot,pass,1.00,"Shows the Advanced Queries page with the Custom Queries tab selected, matching Figure 1 'Create Query'. | The 'Create Query' button in the upper right corner is highlighted, consistent with step 4 of the Creating a Custom Query section. | Left navigation shows 'Advanced Queries' under Config, matching the documented navigation path.",
umn/source/advanced_queries/creating_a_custom_query.rst,Creating a Custom Query,en-us_image_0000001924872408.png,screenshot,pass,1.00,"Shows the Query Editor with a ResourceQL statement and a 'Save Query' dialog containing Query Name and Description fields, matching Figure 2 'Saving a query'. | The 'Save Query' and 'OK' buttons are highlighted, consistent with steps 6-7 of the Creating a Custom Query section. | Left panel shows Schema/Query Scope resource list, matching the description of schema information on the left.",
umn/source/advanced_queries/creating_a_custom_query.rst,Creating a Custom Query,en-us_image_0000001952151661.png,screenshot,pass,1.00,"Shows the Default Queries tab with a list of predefined queries and an Operation column, matching Figure 3 'Running a default query'. | The 'Query' button in the Operation column is highlighted, consistent with step 2 of the Using a Predefined Query section. | Query names and descriptions (e.g., 'ecs instance with evs') align with the example queries described in the document.",
umn/source/advanced_queries/creating_a_custom_query.rst,Creating a Custom Query,en-us_image_0000001925032772.png,screenshot,pass,1.00,"Shows the Query Editor with a query and a 'Save As' dialog containing Query Name and Description fields, matching Figure 4 'Save As'. | The 'Save As' and 'OK' buttons are highlighted, consistent with steps 4-5 of the Using a Predefined Query section. | The displayed query corresponds to the ECS/EVS example query in the document.",
umn/source/advanced_queries/creating_a_custom_query.rst,Creating a Custom Query,en-us_image_0000001711484518.png,icon,pass,1.00,A hamburger menu icon (three horizontal lines) used as |image1| in step 2 to open the navigation menu in the upper left corner. | Matches the documented instruction 'Click |image1| in the upper left corner' for navigating to Config.,
umn/source/advanced_queries/deleting_a_query.rst,Deleting a Query,en-us_image_0000001925034256.png,screenshot,pass,1.00,"Screenshot shows the Advanced Queries page with Custom Queries tab selected, matching the RST procedure | The Delete button in the Operation column is highlighted with a red box, matching step 5 | A 'Delete Custom Query' dialog box is displayed with OK and Cancel buttons, matching step 6 | The dialog confirms 'Custom query ww will be deleted' with the query name and description | Figure caption in RST ('Deleting a custom query') directly matches the image content",
umn/source/advanced_queries/deleting_a_query.rst,Deleting a Query,en-us_image_0000001711484518.png,icon,pass,1.00,"Hamburger menu icon (three horizontal lines) referenced as |image1| in step 2 of the procedure | The RST instructs to 'Click |image1| in the upper left corner' to open navigation, which matches a hamburger menu icon | The icon is used to access Management & Deployment > Config as described in the procedure | Small isolated UI symbol consistent with a navigation menu toggle",
umn/source/advanced_queries/modifying_a_custom_query.rst,Modifying a Custom Query,en-us_image_0000001952313421.png,screenshot,pass,1.00,"Screenshot shows the Advanced Queries page with the Custom Queries tab active, matching steps 3-4 of the procedure | The table displays a row with a query name and a 'Query' button in the Operation column, exactly as described in step 5 | The 'Query' button is highlighted with a red border, drawing attention to the action described in the RST | Figure caption 'Modifying a custom query' aligns with the document title and procedure | The 'Create Query' button and info banner are consistent with the management console UI described","The left navigation pane is not visible in this screenshot, so the 'Advanced Queries' selection in the nav pane (step 3) is not directly shown"
umn/source/advanced_queries/modifying_a_custom_query.rst,Modifying a Custom Query,en-us_image_0000001711484518.png,icon,pass,0.95,"Three horizontal lines (hamburger menu) icon is used in step 2 as |image1| to indicate clicking the menu in the upper left corner | This is a standard navigation menu icon used in management consoles to access Management & Deployment > Config | The icon is referenced inline in the RST procedure and serves its navigational purpose | The image is very small and low-resolution, making fine detail hard to discern, but the three-line pattern is recognizable","The image is extremely small (appears to be roughly 30x30 pixels), limiting visual detail assessment | No surrounding UI context is visible to confirm the exact placement in the upper left corner"
