document,title,image,image_type,result,score,reasons,missing_evidence
api-ref/source/public_parameters/obtaining_a_project_id.rst,Obtaining a Project ID,,,fail,,kein valides Bild,No model result was produced.
umn/source/faqs/message_sending/what_can_i_do_when_pictures_in_an_email_message_cannot_be_displayed.rst,What Can I Do When Pictures in an Email Message Cannot Be Displayed?,en-us_image_0000001509822909.png,screenshot,pass,1.00,"Shows the Outlook Trust Center dialog on the Automatic Download tab, matching the RST steps about enabling automatic picture download. | The 'Don't download pictures automatically in standard HTML email messages or RSS items' checkbox is visible and checked, consistent with the state before deselecting it. | OK and Cancel buttons are present, matching the dialog described in the procedure.","No red highlight is present, so it does not itself indicate the deselection action described in step 4."
umn/source/faqs/message_sending/what_can_i_do_when_pictures_in_an_email_message_cannot_be_displayed.rst,What Can I Do When Pictures in an Email Message Cannot Be Displayed?,en-us_image_0000001507929213.png,screenshot,pass,1.00,"Shows the same Trust Center Automatic Download tab with the 'Don't download pictures automatically...' checkbox deselected and highlighted, exactly matching step 4. | The OK button is highlighted, matching the instruction to click OK after deselecting the checkbox. | Directly illustrates the action of enabling automatic picture download described in the RST.",None significant; the image clearly depicts the described action.
umn/source/getting_started.rst,Getting Started,en-us_image_0000001976318720.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/getting_started.rst,Getting Started,en-us_image_0000002624942854.png,screenshot,pass,1.00,"Image is the 'Create Topic' form (Figure 2) referenced in Step 1. | Shows Topic Name, Display Name, Enterprise Project, and Tag fields matching Table 1. | Helper text for display name and tag limits aligns with the RST descriptions.","No OK button visible in the cropped view, though the form context implies it."
umn/source/getting_started.rst,Getting Started,en-us_image_0000002655065061.png,screenshot,pass,1.00,"Image is the 'Add Subscription' dialog (Figure 3) referenced in Step 2. | Displays Topic Name, Protocol (SMS), Endpoint, Description, and Filter Policy matching Table 2. | Includes Cancel and OK buttons consistent with the step instructions.","Request Header and Version fields not shown (protocol-dependent, SMS selected)."
umn/source/getting_started.rst,Getting Started,en-us_image_0000002624784058.png,screenshot,pass,1.00,"Image is the 'Create Message Template' dialog (Figure 4) referenced in Step 3. | Shows Template Name, Protocol (Default), and Content fields matching Table 3. | Placeholder guidance text matches the RST description of {xxx} variables.","No example template name filled in, but the form structure is complete."
umn/source/getting_started.rst,Getting Started,en-us_image_0000002624799164.png,screenshot,pass,1.00,"Image is the 'Generate Template Message' dialog (Figure 5) referenced in Step 4. | Shows template tem_001 with startdate (February 10) and enddate (February 21) variables, Default protocol. | Matches the RST example of replacing variables in tem_001.",Preview tab not active in this view (Variables tab shown).
umn/source/getting_started.rst,Getting Started,en-us_image_0000002624799530.png,screenshot,pass,1.00,Image is the 'Preview' tab of Generate Template Message (Figure 6) referenced in Step 4. | Displays the generated message text matching the RST example exactly. | Shows protocol radio options and Message Preview button.,None significant; preview content matches the documented example.
umn/source/getting_started.rst,Getting Started,en-us_image_0000002655079145.png,screenshot,pass,1.00,"Image is the 'Publish Message' dialog (Figure 7) referenced in Step 4. | Shows Message Format set to Template and JSON message with tem_001, startdate, enddate. | Includes Message Attributes section matching Table 4.",Topic Name value is redacted/blurred in the image.
umn/source/getting_started.rst,Getting Started,en-us_image_0114842271.png,screenshot,pass,1.00,"Image is the email message example (Figure 8) referenced in Step 5. | Contains the exposition message text and an unsubscribe link, matching the RST email description. | Demonstrates the email protocol subscription endpoint content.","No email subject line or sender header visible, only the body content."
umn/source/getting_started.rst,Getting Started,en-us_image_0151546390.png,icon,partial,0.77,"Image is a location/map-pin icon used as |image1|/|image3|/|image5|/|image7| for region and project selection. | Relevant to the 'select the desired region and project' step in each procedure. | Isolated symbolic graphic, not a full UI screenshot.",No surrounding UI context shown; only the icon symbol is visible.
umn/source/getting_started.rst,Getting Started,en-us_image_0000002659158837.png,icon,partial,0.77,Image is a save (floppy disk) icon used as |image2| for 'Save as Quick Filter Set'. | Relevant to the search/filter step in Step 1. | Isolated symbolic graphic.,No surrounding search box context shown; only the icon is visible.
umn/source/getting_started.rst,Getting Started,en-us_image_0000002659278785.png,icon,partial,0.77,Image is a save (floppy disk) icon used as |image4| for 'Save as Quick Filter Set'. | Relevant to the search/filter step in Step 2. | Isolated symbolic graphic.,No surrounding search box context shown; only the icon is visible.
umn/source/getting_started.rst,Getting Started,en-us_image_0000002628919572.png,icon,partial,0.77,Image is a save (floppy disk) icon used as |image6| for 'Save as Quick Filter Set'. | Relevant to the search/filter step in Step 3. | Isolated symbolic graphic.,No surrounding search box context shown; only the icon is visible.
umn/source/message_template_management/creating_a_message_template.rst,Creating a Message Template,en-us_image_0000002624784058.png,screenshot,pass,1.00,"The image shows the 'Create Message Template' dialog box, which is exactly what Figure 1 in the RST describes. | All three fields (Template Name, Protocol, Content) are visible and match the parameter table in the RST. | The help text about {xxx} placeholders, 21-character limit, and allowed characters matches the Content parameter description. | The Protocol dropdown shows 'Default' as the default value, consistent with the RST stating the default protocol is Default. | Cancel and OK buttons are present, matching step 7 (Click OK) in the procedure.",
umn/source/message_template_management/creating_a_message_template.rst,Creating a Message Template,en-us_image_0151546390.png,icon,pass,1.00,"The image is a location pin / map marker icon, which is the standard icon for region/project selection in Huawei Cloud management consoles. | The RST references this as |image1| in step 2: 'click |image1| and select the desired region and project.' | The icon is small and symbolic, consistent with an inline UI icon rather than a full screenshot. | No contradiction between the icon's purpose (region/project selector) and its usage in the document.",
umn/source/message_template_management/creating_a_message_template.rst,Creating a Message Template,en-us_image_0000002628919572.png,icon,pass,1.00,"The image is a small save (floppy disk) icon, which is the standard icon for saving filter sets in Huawei Cloud consoles. | The RST references this as |image2| in the final paragraph: 'click |image2| in the search box. The Save as Quick Filter Set dialog box is displayed.' | The icon's save semantics align perfectly with the action of saving current filter criteria as a quick filter set. | No contradiction between the icon and its described function in the document.",
umn/source/message_template_management/deleting_a_message_template.rst,Deleting a Message Template,en-us_image_0000002624786890.png,screenshot,pass,1.00,"Image shows the 'Delete Message Template' confirmation dialog exactly as described in the RST procedure | Table displays template Name, ID, Protocol, and Last Modified columns matching the expected template information | Input field shows 'DELETE' typed in, matching step 6 of the procedure | 'Auto Enter' link is visible next to the confirmation text as described in the RST | Cancel and OK buttons are present at the bottom, matching step 7 (click OK)",
umn/source/message_template_management/deleting_a_message_template.rst,Deleting a Message Template,en-us_image_0151546390.png,icon,partial,0.77,"Image is a small location pin/marker icon used for region and project selection | Matches the RST reference in step 2 where the user clicks this icon in the upper left corner | The icon is a generic navigation element, not specific to message template deletion | Serves as a UI symbol for selecting region/project context before navigating to SMN","The icon is very small and low-resolution, making fine details hard to discern | No surrounding UI context is visible to confirm its exact placement in the upper left corner"
umn/source/message_template_management/modifying_a_message_template.rst,Modifying a Message Template,en-us_image_0151546390.png,icon,pass,0.83,"The image is a small gray location-pin / map-marker symbol, consistent with a region/project selector icon. | In the RST, |image1| is used in step 2 to indicate clicking the region/project selector in the upper-left corner, which semantically matches a location pin. | The icon is a generic UI symbol rather than a screenshot of the message template page, so it only partially matches the document's main topic. | No visible interactive controls, labels, or text are present in the image itself.","The image does not show the actual region/project dropdown or any console interface, so the surrounding UI context is not visible. | No text or label accompanies the icon to confirm it is the region/project selector."
umn/source/overview/region_and_az.rst,Region and AZ,en-us_image_0184026531.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/permissions_management/creating_a_user_and_granting_smn_permissions.rst,Creating a User and Granting SMN Permissions,en-us_image_0000001569113488.png,other,fail,0.00,Local color check detected #3298ff.,
