document,title,image,image_type,result,score,reasons,missing_evidence
umn/source/cloud_eye_monitoring/viewing_metrics.rst,Viewing Metrics,en-us_image_0000002384432926.png,icon,pass,0.93,"The image is a location pin/marker icon, consistent with step 2 which instructs clicking to select a region and project. | A location pin is a standard UI symbol for region/project selection in cloud management consoles. | The icon is small and isolated, fitting the 'icon' classification.",The icon is generic (a location pin) without any text label confirming it specifically represents region/project selection in this particular console.
umn/source/cloud_eye_monitoring/viewing_metrics.rst,Viewing Metrics,en-us_image_0000001820780384.png,icon,pass,1.00,"The image is a hamburger menu icon (three horizontal lines), consistent with step 3 which instructs clicking to open the service list. | A hamburger menu is the standard UI symbol for opening a navigation or service list. | The icon is small and isolated, fitting the 'icon' classification.",No text or additional context in the image to confirm it is specifically the service list toggle for this console.
umn/source/enterprise_switches/creating_an_enterprise_switch.rst,Creating an Enterprise Switch,en-us_image_0000002516958061.png,screenshot,pass,1.00,"Image is labeled 'Figure 1 Purchasing an enterprise switch' in the RST and shows the Create Enterprise Switch form | All parameters from Table 1 are visible: Region, Active AZ, Standby AZ, Specifications (Basic/Standard/Enhanced), VPC, Tunnel Subnet, Local Tunnel IP Address, Name, Description | Specification values match the RST table exactly (Basic: 3 Gbit/s, 500,000 PPS, 1 subnet; Standard: 5 Gbit/s, 1,000,000 PPS, 3 subnets; Enhanced: 10 Gbit/s, 2,000,000 PPS, 6 subnets) | The form is in the Procedure section, step 5, which instructs to configure parameters as prompted",
umn/source/enterprise_switches/creating_an_enterprise_switch.rst,Creating an Enterprise Switch,en-us_image_0000002007168470.png,icon,pass,0.88,"Referenced as |image1| in step 2: 'Click |image1| in the upper left corner and select the desired region and project' | The image is a location pin (map marker) icon, consistent with a region/project selector | Small symbolic graphic used as a UI element in the management console","The icon is very small and low-resolution, making it difficult to confirm exact visual details beyond the general shape of a location pin"
umn/source/enterprise_switches/creating_an_enterprise_switch.rst,Creating an Enterprise Switch,en-us_image_0000002555557291.png,icon,pass,0.88,"Referenced as |image2| in step 3: 'Click |image2| in the upper left corner of the page to open the service list and choose Network > Enterprise Switch' | The image is a hamburger menu icon (three horizontal lines), consistent with a service list / navigation menu trigger | Small symbolic graphic used as a UI element in the management console","The icon is very small and low-resolution, making it difficult to confirm exact visual details beyond the general shape of three horizontal lines"
umn/source/enterprise_switches/deleting_an_enterprise_switch.rst,Deleting an Enterprise Switch,en-us_image_0000002007326742.png,icon,partial,0.77,"The image is a location pin icon, consistent with the RST instruction to 'select the desired region and project' in step 2. | A location pin is a standard UI symbol for region/area selection, matching the described action. | The icon is used in the Procedure section as an inline reference for a navigation step. | The image clearly shows a location pin/marker symbol.","The icon is very small and low-resolution, making fine details hard to discern. | No surrounding UI context is visible to confirm it appears in the upper left corner as described."
umn/source/enterprise_switches/deleting_an_enterprise_switch.rst,Deleting an Enterprise Switch,en-us_image_0000002524317986.png,icon,pass,0.83,"The image is a hamburger menu icon (three horizontal lines), consistent with the RST instruction to 'open the service list' in step 3. | A hamburger menu is the standard UI symbol for opening a navigation or service list, matching the described action precisely. | The icon is used in the Procedure section as an inline reference for a navigation step. | The image clearly shows three horizontal lines representing a menu toggle.",The icon is very small and low-resolution. | No surrounding UI context is visible to confirm it appears in the upper left corner as described.
umn/source/enterprise_switches/modifying_an_enterprise_switch.rst,Modifying an Enterprise Switch,en-us_image_0000002007168466.png,icon,pass,1.00,"Location pin icon matches the RST description of selecting region and project in step 2 | Standard UI symbol for region/location selection in cloud management consoles | Icon is appropriately small and symbolic, consistent with its use as a clickable element in the upper left corner",
umn/source/enterprise_switches/modifying_an_enterprise_switch.rst,Modifying an Enterprise Switch,en-us_image_0000002555437385.png,icon,pass,1.00,Hamburger menu icon (three horizontal lines) matches the RST description of opening the service list in step 3 | Standard navigation menu symbol used in upper left corner of management consoles | Consistent with the described action of clicking to reveal a service list for Network > Enterprise Switch,
umn/source/enterprise_switches/modifying_an_enterprise_switch.rst,Modifying an Enterprise Switch,en-us_image_0000002533128107.png,icon,pass,1.00,Pencil/edit icon directly matches the RST description of clicking to enter a new name in step 5 | Core action of the document (modifying the switch name) is represented by this edit symbol | Standard UI convention for inline editing of a field,
