document,title,image,image_type,result,score,reasons,missing_evidence
umn/source/adding_audit_scope.rst,Adding Audit Scope,en-us_image_0000001173318613.png,screenshot,pass,1.00,"Image is titled 'Add Audit Scope' matching the document title exactly | Dialog box fields (Name, Database Name, Operations with Login/Operation checkboxes, Database Account, Exception IP Address, Source IP Address) match the parameters table in the RST | Referenced in step 6 of the Procedure as Figure 1 for setting the audit scope | OK and Cancel buttons are visible at the bottom of the dialog | The Source Port field mentioned in the table is not visible, likely below the visible area of the screenshot",Source Port field is not visible in the screenshot (may be below the fold) | No visible dialog title bar or window chrome beyond the heading text
umn/source/adding_audit_scope.rst,Adding Audit Scope,en-us_image_0000001074398929.png,icon,partial,0.72,Image is a hamburger menu icon (three horizontal lines) used as a navigation element | Referenced in step 2 as the icon to click before choosing Security > Database Security Service | The icon is a standard navigation menu symbol consistent with management console UI patterns | It is a prerequisite navigation step rather than directly related to the audit scope topic,No surrounding UI context visible to confirm it is specifically the service menu in the management console | No label or tooltip visible to confirm its exact function
umn/source/adding_risky_operations.rst,Adding Risky Operations,en-us_image_0000001531047000.png,screenshot,pass,1.00,"Image is a screenshot of the Add Risky Operation page matching Figure 1 caption in the RST. | Shows Basic Info section with Name, Risk Level (High/Moderate/Low/No risk), Status toggle, and Select Database fields as described in Table 1. | Shows Client IP Address or IP Range text area matching the parameter description. | Shows Operations section with Login and Operation checkboxes matching Table 2. | Shows Objects section with Add Object button and table columns (Destination Database, Target Table, Field, Operation) matching Table 2.",
umn/source/adding_risky_operations.rst,Adding Risky Operations,en-us_image_0000001562224796.png,icon,pass,1.00,"Image is a small toggle switch icon in the on/active position. | Referenced in RST as |image1| representing the 'enabled' status in Table 1. | Visually consistent with an enabled toggle state (filled, active position). | Used in the Status parameter row to illustrate the enabled option.",
umn/source/adding_risky_operations.rst,Adding Risky Operations,en-us_image_0000001561906096.png,icon,pass,1.00,"Image is a small toggle switch icon in the off/inactive position. | Referenced in RST as |image2| representing the 'disabled' status in Table 1. | Visually consistent with a disabled toggle state (gray, inactive position). | Used in the Status parameter row to illustrate the disabled option.",
umn/source/adding_risky_operations.rst,Adding Risky Operations,en-us_image_0000001562385088.png,icon,pass,1.00,"Image is a small toggle switch icon in the on/active position. | Referenced in RST as |image3| serving as the example value for the Status parameter in Table 1. | Visually consistent with an enabled toggle state, matching the example context. | Used as the example value illustration for the Status field.",
umn/source/applying_for_a_database_audit_instance.rst,Applying for a Database Audit Instance,en-us_image_0000001078852871.png,icon,pass,0.83,"The image is a small hamburger-menu icon (three horizontal bars with a small accent dot), matching the |image1| reference used in step 2 to open the navigation menu. | The RST instructs the user to 'click |image1|, and choose Security > Database Security Service', which is consistent with a menu icon that opens a navigation panel. | The icon is placed in the Procedure section and directly supports the navigation step toward the Database Security Service dashboard. | The visual content (a generic menu pictogram) is clear and unambiguous.","The icon is a generic hamburger menu and does not itself depict the Database Security Service or any database-audit-specific UI, so topic specificity is limited. | No surrounding UI context (e.g., the menu panel it opens) is shown in the image."
umn/source/best_practices/auditing_an_rds_db_instance_without_agents.rst,Auditing an RDS DB Instance (Without Agents),en-us_image_0000001438417909.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/best_practices/auditing_an_rds_db_instance_without_agents.rst,Auditing an RDS DB Instance (Without Agents),en-us_image_0000001560437302.png,screenshot,pass,0.88,"Image shows a Reports/Report Management page with a table of generated reports, matching the RST description of viewing report status and downloading reports | The instance dropdown shows 'DBSS-test17' consistent with a DBSS audit instance | The Operation column shows 'Download' and 'Delete' links, with the first 'Download' highlighted in a red box, matching the RST instruction to download a report | The RST mentions 'click Preview or choose More > Download' but the image shows 'Download' and 'Delete' directly without a 'More' dropdown or 'Preview' button","The RST mentions a 'Preview' option that is not visible in the image | The RST mentions a 'More' dropdown for downloading, but the image shows a direct 'Download' link"
umn/source/best_practices/auditing_an_rds_db_instance_without_agents.rst,Auditing an RDS DB Instance (Without Agents),en-us_image_0000001438388809.jpg,icon,partial,0.78,"Image shows a hamburger menu icon (three horizontal lines), which is a standard navigation icon | The RST references this as |image1| in the step 'Select a region and click |image1|. Choose Security > Database Security Service', consistent with a menu icon for navigation | The icon is small and symbolic, fitting the 'icon' classification","The image is very small and low-resolution, making it difficult to confirm exact details of the icon | Cannot verify if this is the exact icon used in the specific console version referenced"
umn/source/best_practices/auditing_an_rds_db_instance_without_agents.rst,Auditing an RDS DB Instance (Without Agents),en-us_image_0297146326.png,icon,pass,1.00,"Image shows a calendar icon, which is the standard UI element for date/time selection | The RST references this as |image2| in the step 'click |image2| to set the start time and end time of the report', which perfectly matches a calendar icon | The icon is small and symbolic, fitting the 'icon' classification | No contradictions between the RST description and the visual content of the icon","The image is small and slightly blurry, but the calendar shape is clearly identifiable"
umn/source/configuring_privacy_data_protection_rules.rst,Configuring Privacy Data Protection Rules,en-us_image_0000001531043744.png,screenshot,pass,1.00,"Image is the Add Rule dialog box (Figure 1) referenced in step 6 of the Procedure section | Shows all three parameters from Table 1: Rule Name, Regular Expression, Substitution Value | Includes an Example section demonstrating password masking with regular expression and substitution value | Contains OK and Cancel buttons matching the RST instruction to click OK",
umn/source/configuring_privacy_data_protection_rules.rst,Configuring Privacy Data Protection Rules,en-us_image_0000001581444553.png,screenshot,pass,1.00,"Image is Figure 2 showing the Privacy Data Protection tab with an enabled Passport NO. rule | Mask Privacy Data toggle is enabled (on), matching the verification step requirement | Store Result Set toggle is disabled, consistent with the advisory in the Procedure section | Table shows Passport NO. rule with Default type, Enabled status, and Disable/Edit/Delete operations matching the Common Operations section",
umn/source/configuring_privacy_data_protection_rules.rst,Configuring Privacy Data Protection Rules,en-us_image_0000001193982039.png,icon,pass,1.00,Image is a toggle switch in the OFF/disabled (gray) state | Used as |image1| in the RST where it says 'You are advised to disable |image1|' for Store Result Set | The disabled state visually represents the recommended action for Store Result Set,
umn/source/configuring_privacy_data_protection_rules.rst,Configuring Privacy Data Protection Rules,en-us_image_0000001530562784.png,icon,pass,1.00,Image is a toggle switch in the ON/enabled (magenta) state | Used as |image2| in the RST where it says 'You are advised to enable |image2|' for Mask Privacy Data | The enabled state visually represents the recommended action for Mask Privacy Data,
umn/source/enabling_or_disabling_sql_injection_detection.rst,Enabling or Disabling SQL Injection Detection,en-us_image_0000001127129398.png,screenshot,pass,1.00,"Shows a table of SQL injection detection rules with Name, Command Feature, Risk Severity, Status, and Operation columns | Two rules visible: 'HAVING error SQL injection' (Moderate) and 'Boolean SQL injection' (High), both Enabled | Disable buttons are highlighted with red boxes in the Operation column, matching Figure 1 caption | Directly corresponds to the step of disabling an SQL injection detection rule",
umn/source/enabling_or_disabling_sql_injection_detection.rst,Enabling or Disabling SQL Injection Detection,en-us_image_0000001671055773.png,screenshot,pass,1.00,"Shows an 'Add Rule' form with fields: Rule Name, Risk Level, Status, Regular expression | Risk Level options (High, Moderate, Low, No risk) match Table 1 in the RST | Test Regular expression section with Data input, Test button, and Result field matches the table description | OK and Cancel buttons at the bottom match the step instruction to click OK | Status toggle is visible, matching the Status parameter in Table 1",
umn/source/enabling_or_disabling_sql_injection_detection.rst,Enabling or Disabling SQL Injection Detection,en-us_image_0000001173169443.png,screenshot,pass,1.00,"Shows the same SQL injection rules table as Figure 1 but with 'Boolean SQL injection' in Disabled status | Enable button is highlighted with a red box in the Operation column, matching Figure 3 caption | Directly corresponds to the Follow-Up Procedure section about enabling a rule | Status column shows 'Disabled' for the second rule, confirming the rule was previously disabled",
umn/source/enabling_or_disabling_sql_injection_detection.rst,Enabling or Disabling SQL Injection Detection,en-us_image_0000001074398929.png,icon,partial,0.77,"Hamburger menu icon (three horizontal lines) used as a navigation trigger | Referenced in step 2: 'click |image1|, and choose Security > Database Security Service' | It is a generic navigation icon, not specific to SQL injection detection | Serves as the entry point to access the Database Security Service",The icon is generic and does not show any SQL injection-specific content
umn/source/enabling_or_disabling_sql_injection_detection.rst,Enabling or Disabling SQL Injection Detection,en-us_image_0000001671056613.png,icon,pass,1.00,"Toggle switch icon in the 'on' position (knob to the right, magenta fill) | Used in Table 1 as |image2| representing the 'enabled' status | Directly corresponds to the Status parameter description in the RST table | Visually represents an active/enabled state",
umn/source/enabling_or_disabling_sql_injection_detection.rst,Enabling or Disabling SQL Injection Detection,en-us_image_0000001671056725.png,icon,pass,1.00,"Toggle switch icon in the 'off' position (knob to the left, gray fill) | Used in Table 1 as |image3| representing the 'disabled' status | Directly corresponds to the Status parameter description in the RST table | Visually represents an inactive/disabled state",
umn/source/enabling_or_disabling_sql_injection_detection.rst,Enabling or Disabling SQL Injection Detection,en-us_image_0000001622617012.png,icon,pass,1.00,"Toggle switch icon in the 'on' position (knob to the right, magenta fill) | Used in Table 1 as |image4| for the Status example value | Represents the enabled state as an example in the parameter table | Identical in appearance to |image2|, both representing the enabled toggle state",
umn/source/faqs/logs/how_do_i_back_up_the_database_audit_logs.rst,How Do I Back Up the Database Audit Logs?,en-us_image_0000001294284718.png,screenshot,pass,1.00,"Image is the Configure Automatic Backup dialog box referenced as Figure 1 in the RST. | All parameters listed in Table 1 are visible: Automatic Backup toggle, Backup Period, Started, Bucket Name, Export Directory. | The dialog shows OBS backup notification consistent with the document text. | Buttons (Create Default Bucket, Select Bucket, OK, Cancel) match the described workflow.",
umn/source/faqs/logs/how_do_i_back_up_the_database_audit_logs.rst,How Do I Back Up the Database Audit Logs?,en-us_image_0000001581367781.png,icon,pass,1.00,"Small toggle-switch icon in the enabled (on) position, matching |image1| described as 'enabled' in Table 1. | Used in the Automatic Backup parameter row to illustrate the enabled state. | Visually consistent with the toggle shown in the main dialog screenshot.",
umn/source/faqs/logs/how_do_i_back_up_the_database_audit_logs.rst,How Do I Back Up the Database Audit Logs?,en-us_image_0000001530888000.png,icon,pass,1.00,"Small toggle-switch icon in the disabled (off) position, matching |image2| described as 'disabled' in Table 1. | Used in the Automatic Backup parameter row to illustrate the disabled state. | Visually distinct from the enabled toggle, correctly representing the off state.",
umn/source/faqs/logs/how_do_i_back_up_the_database_audit_logs.rst,How Do I Back Up the Database Audit Logs?,en-us_image_0000001530889940.png,icon,pass,1.00,"Small toggle-switch icon in the enabled (on) position, matching |image3| used as the example value for the Automatic Backup parameter. | Serves as the visual example in Table 1 showing what the enabled state looks like. | Consistent with the enabled toggle shown in the main dialog screenshot.",
